0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0.2832,0.3098,0.2514,0.3211,0.24,0.2932,0.2842,0.3495,0.3017,0.3253,0.2444,0.417,0.2867,0.3761,0.2691,0.3281,0.2223,0.362,0.2083,0.3813,0.3458,0.323,0.3842,0.2841,0.3184,0.2867,0.3122,0.2841,0.3081,0.2867,0.4119,0.2797,0.3848,0.2735,0.3002,0.2223,0.3655,0.3326,0.3278,0.3282,0.2677,0.2249,0.3604,0.3988,0.2845,0.3087,0.2302,0.3414,0.3296,0.2785,0.2993,0.2558,0.295,0.2391,0.4129,0.2849,0.2574,0.3573,0.3814,0.2726,0.2801
0.2832,0.3098,0.2514,0.3482,0.24,0.2932,0.2842,0.3495,0.3785,0.3253,0.2444,0.417,0.2867,0.3761,0.2691,0.3281,0.2266,0.362,0.247,0.3813,0.3458,0.323,0.3842,0.2841,0.3184,0.2867,0.3871,0.2841,0.4145,0.3167,0.4337,0.2797,0.3848,0.3326,0.3002,0.3105,0.3655,0.3326,0.3278,0.3282,0.2783,0.2356,0.3604,0.3988,0.2845,0.3087,0.2302,0.3414,0.3296,0.2785,0.2993,0.2558,0.295,0.2391,0.4129,0.2849,0.2818,0.3573,0.3814,0.2726,0.2862
0.2832,0.3098,0.2514,0.3482,0.3063,0.3657,0.4032,0.3495,0.3785,0.3253,0.2665,0.417,0.2867,0.4057,0.2992,0.3281,0.2674,0.4049,0.247,0.3813,0.3458,0.323,0.3962,0.2841,0.3281,0.322,0.4546,0.2841,0.4145,0.3167,0.4337,0.2797,0.4034,0.3326,0.3657,0.3176,0.4512,0.3326,0.3278,0.3282,0.3412,0.247,0.3604,0.3988,0.2845,0.3087,0.3517,0.3414,0.3533,0.2785,0.2993,0.2558,0.3315,0.2823,0.4129,0.2911,0.2818,0.3573,0.3814,0.2867,0.2862
0.2832,0.3098,0.2735,0.3482,0.3063,0.3657,0.4032,0.3495,0.3785,0.3253,0.2665,0.417,0.2867,0.4057,0.2992,0.3706,0.2674,0.4049,0.3097,0.3813,0.3458,0.323,0.3962,0.2841,0.3281,0.322,0.4546,0.2958,0.4162,0.3167,0.4337,0.2955,0.4034,0.3326,0.3657,0.3176,0.4512,0.3326,0.3278,0.3282,0.3412,0.2558,0.3604,0.3988,0.2845,0.3087,0.3517,0.3414,0.3533,0.2785,0.4057,0.2558,0.3358,0.2867,0.4129,0.2911,0.2914,0.3573,0.3814,0.3502,0.2862
0.2832,0.3098,0.2735,0.3482,0.3063,0.3657,0.4032,0.3495,0.3785,0.3253,0.2665,0.417,0.2881,0.4057,0.2992,0.3706,0.2674,0.4049,0.3231,0.3813,0.3458,0.323,0.4109,0.2841,0.3281,0.322,0.4546,0.3019,0.4329,0.3167,0.4337,0.2955,0.4034,0.3529,0.4858,0.3176,0.4704,0.3326,0.3278,0.3282,0.3412,0.2735,0.3706,0.3988,0.3262,0.3087,0.3517,0.3556,0.3533,0.2785,0.4057,0.2558,0.3947,0.2867,0.4129,0.2911,0.4545,0.3573,0.4337,0.3502,0.2896
0.2832,0.3098,0.3591,0.3482,0.3063,0.3657,0.4032,0.3495,0.4102,0.3253,0.3107,0.417,0.2881,0.4057,0.2992,0.4564,0.2877,0.4049,0.3231,0.4027,0.3458,0.3602,0.4109,0.2841,0.3281,0.322,0.4546,0.3019,0.4329,0.322,0.4337,0.3194,0.4034,0.3529,0.4858,0.3635,0.4852,0.3326,0.3278,0.3308,0.3412,0.2735,0.3892,0.3988,0.3262,0.3167,0.3517,0.3556,0.3533,0.2785,0.4127,0.3591,0.4038,0.2867,0.4129,0.2929,0.4728,0.3573,0.4337,0.3917,0.2988
0.2832,0.3098,0.3591,0.4626,0.3063,0.3657,0.4032,0.3495,0.4102,0.3941,0.3107,0.417,0.2881,0.4057,0.2992,0.4564,0.2877,0.4957,0.3708,0.4127,0.3723,0.4462,0.4109,0.2841,0.3281,0.322,0.4546,0.3019,0.4329,0.322,0.4337,0.3194,0.4214,0.3529,0.4858,0.3635,0.4852,0.3326,0.4126,0.3458,0.3776,0.2779,0.3892,0.3988,0.3262,0.3167,0.3936,0.3556,0.3533,0.2785,0.4527,0.3591,0.4038,0.2867,0.4129,0.2929,0.4728,0.3573,0.4337,0.3917,0.3273
0.3635,0.3098,0.3591,0.4626,0.3063,0.3657,0.4032,0.3543,0.4102,0.3941,0.3107,0.417,0.3264,0.4745,0.2992,0.4599,0.2877,0.4957,0.3708,0.4127,0.3855,0.4462,0.4617,0.2841,0.4415,0.322,0.4546,0.3733,0.4329,0.3617,0.4337,0.3194,0.4214,0.3529,0.4858,0.3635,0.4852,0.3326,0.4126,0.3458,0.3776,0.2779,0.3892,0.3988,0.3262,0.3167,0.3936,0.3556,0.405,0.2799,0.4877,0.3811,0.436,0.2867,0.46,0.3352,0.4753,0.3573,0.4337,0.3917,0.334
0.3635,0.3132,0.3591,0.4626,0.3132,0.3681,0.4032,0.394,0.4102,0.3941,0.3107,0.417,0.3264,0.4745,0.2992,0.4599,0.2877,0.4957,0.3708,0.416,0.4123,0.4462,0.4617,0.2841,0.4415,0.322,0.4546,0.3733,0.4329,0.3661,0.4738,0.3194,0.4445,0.3529,0.4858,0.3635,0.4852,0.405,0.4126,0.3458,0.4461,0.2779,0.4253,0.3988,0.3262,0.3326,0.3936,0.3556,0.405,0.4077,0.4877,0.3811,0.436,0.2867,0.47,0.3352,0.4753,0.3573,0.4607,0.3917,0.3577
0.3635,0.3132,0.3591,0.4626,0.3132,0.3681,0.4032,0.4049,0.4102,0.4167,0.3107,0.417,0.3264,0.4745,0.2992,0.4599,0.3185,0.4957,0.3708,0.4198,0.4296,0.4462,0.4617,0.2841,0.4415,0.322,0.4607,0.3733,0.4329,0.3661,0.4738,0.3194,0.4602,0.3529,0.4858,0.3635,0.5149,0.405,0.4231,0.3458,0.4461,0.3049,0.4253,0.3988,0.4005,0.3326,0.3936,0.3556,0.405,0.4077,0.4877,0.3811,0.436,0.2867,0.4931,0.3352,0.4753,0.412,0.4808,0.4322,0.3857
0.3635,0.3315,0.3591,0.4626,0.3132,0.4181,0.4032,0.4388,0.4102,0.4232,0.3176,0.4633,0.3264,0.4745,0.2992,0.4599,0.3185,0.4957,0.3708,0.4198,0.4296,0.4465,0.4728,0.2841,0.4415,0.322,0.4607,0.3733,0.4329,0.3661,0.4738,0.3194,0.4956,0.3529,0.5465,0.3635,0.5149,0.405,0.4231,0.3458,0.4461,0.3049,0.4253,0.3988,0.4005,0.3326,0.3936,0.3556,0.405,0.4077,0.4877,0.3811,0.436,0.2867,0.4931,0.3352,0.4753,0.412,0.4919,0.4322,0.3857
0.3635,0.3315,0.3591,0.4626,0.322,0.4181,0.4032,0.4686,0.4102,0.6009,0.3176,0.4633,0.3269,0.4745,0.3345,0.4599,0.3326,0.4957,0.3708,0.4198,0.4296,0.4465,0.4728,0.2841,0.4825,0.322,0.4607,0.3733,0.4555,0.3661,0.4738,0.3194,0.4956,0.3573,0.5511,0.3635,0.5149,0.405,0.4815,0.4252,0.4461,0.3049,0.4253,0.3988,0.4005,0.3326,0.4569,0.3556,0.405,0.4077,0.5812,0.4562,0.436,0.2867,0.4931,0.3705,0.4753,0.412,0.4919,0.4322,0.472
0.4526,0.3315,0.3591,0.4626,0.322,0.4494,0.4032,0.4955,0.4464,0.6009,0.3361,0.4633,0.3326,0.4955,0.3345,0.4757,0.3326,0.4957,0.3708,0.4476,0.4296,0.4465,0.4728,0.2841,0.4903,0.3546,0.5105,0.3733,0.4555,0.3855,0.4738,0.3194,0.5094,0.3591,0.5511,0.4429,0.5984,0.405,0.5465,0.4252,0.4461,0.3049,0.4253,0.3988,0.432,0.3326,0.4569,0.3556,0.405,0.4077,0.5812,0.4562,0.436,0.3406,0.4931,0.3705,0.5408,0.412,0.5175,0.4322,0.472
0.4526,0.3394,0.3812,0.4626,0.322,0.4511,0.4032,0.5331,0.4464,0.6009,0.3495,0.4633,0.3749,0.4955,0.3345,0.5044,0.3454,0.4957,0.3708,0.4548,0.4296,0.5012,0.4728,0.2841,0.4903,0.4058,0.5105,0.3733,0.4555,0.3855,0.4738,0.3194,0.527,0.3591,0.5511,0.4429,0.6184,0.4376,0.5465,0.4252,0.4461,0.3049,0.4253,0.3988,0.432,0.337,0.4717,0.4244,0.4355,0.412,0.5812,0.4562,0.4779,0.3406,0.4931,0.427,0.5408,0.412,0.5175,0.4322,0.472
