0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0.0188796,0.0173836,0.0169998,0.0184066,0.0200584,0.0171922,0.0206074,0.0201204,0.0200558,0.0187952,0.0190006,0.0153262,0.0214316,0.0205018,0.0223622,0.0210112,0.019865,0.0187594,0.019719,0.0184036,0.0196604,0.017432,0.0199798,0.0208102,0.0171398,0.0204516,0.0192182,0.0210424,0.0201374,0.0198676,0.021002,0.021838,0.0199422,0.0177522,0.0212074,0.0194084,0.0190914,0.0217308,0.0238984,0.0210964,0.0192176,0.0198856,0.0194814,0.0226276,0.0179884,0.0204176,0.0203528,0.0204292,0.0199116,0.0203804,0.0214366,0.0219796,0.0195294,0.0189982,0.0196376,0.022737,0.0177748,0.0213984,0.0229218,0.022996,0.017054
0.0229992,0.0211748,0.0202822,0.0219988,0.023734,0.0210894,0.023561,0.0242222,0.0243854,0.0227538,0.0224642,0.019555,0.0242694,0.025535,0.0253534,0.0266162,0.0246164,0.0229386,0.0238054,0.024504,0.0226724,0.0225408,0.0235894,0.0233532,0.019528,0.023036,0.0254504,0.02598,0.02492,0.0250536,0.0254542,0.024789,0.023871,0.0213316,0.0254766,0.0241806,0.023344,0.024434,0.0283662,0.023926,0.024683,0.0239238,0.022975,0.0256816,0.0213294,0.0228916,0.024802,0.022618,0.0233792,0.0226788,0.0254004,0.024808,0.0232758,0.0237974,0.0252034,0.026682,0.0213484,0.0240886,0.0274814,0.0262498,0.0233246
0.0272662,0.0256252,0.0234568,0.0275408,0.0269782,0.0252242,0.026226,0.0273754,0.0279766,0.028231,0.026575,0.0225404,0.02617,0.028436,0.0295792,0.0325036,0.0281166,0.027793,0.0268486,0.0297866,0.0255764,0.0283368,0.0279052,0.0247212,0.0236768,0.026478,0.0289172,0.028713,0.029728,0.028579,0.0299746,0.0294058,0.0292118,0.0241144,0.0304798,0.0281786,0.0297412,0.0283058,0.031952,0.0254054,0.0276496,0.0278584,0.0264254,0.029629,0.0243182,0.0262528,0.0305586,0.0276094,0.027145,0.0264702,0.0310766,0.0281182,0.028943,0.0278112,0.0300694,0.0291262,0.02592,0.0274628,0.0312366,0.0316008,0.0264046
0.0301946,0.0281418,0.0251926,0.0305666,0.0302106,0.0292792,0.0290446,0.0330592,0.0319152,0.0325162,0.0305624,0.025719,0.029637,0.0332516,0.03315,0.0358446,0.0314464,0.0317444,0.0303742,0.0334566,0.030877,0.0336458,0.0326704,0.02774,0.0286562,0.0289888,0.0329586,0.0318726,0.0337716,0.0319586,0.0341032,0.0328918,0.0325108,0.0298242,0.0345092,0.0325354,0.0338206,0.0321156,0.035173,0.0279204,0.0324718,0.0315594,0.0291174,0.0343044,0.0264168,0.0300132,0.0377576,0.0306692,0.0311306,0.0287286,0.035522,0.0313862,0.0349556,0.0314568,0.033202,0.0339932,0.0314614,0.0297494,0.0347688,0.0357756,0.0321028
0.0337416,0.0329744,0.0289258,0.0363372,0.0350116,0.0338242,0.031854,0.0381274,0.0347562,0.037621,0.0333294,0.03073,0.0323818,0.0397154,0.0369524,0.0429288,0.0366214,0.0341278,0.0345124,0.0370766,0.0362496,0.0378642,0.0369578,0.0295518,0.0330312,0.0328408,0.0408854,0.0358192,0.0381608,0.0359416,0.039098,0.0365998,0.0360626,0.0347836,0.0405894,0.0357182,0.0407212,0.0351882,0.0406618,0.0328168,0.0368726,0.0336774,0.033621,0.0394934,0.0327514,0.0343282,0.0418054,0.0349996,0.036439,0.0338202,0.0409154,0.0351908,0.0457168,0.034609,0.0362922,0.0362914,0.0378386,0.0328972,0.0405954,0.0412264,0.036638
0.0369626,0.0380468,0.0327854,0.0420544,0.038908,0.0392248,0.036614,0.04374,0.0403042,0.0437642,0.0383462,0.0356576,0.0358096,0.0438092,0.040325,0.0512044,0.0398812,0.0403234,0.0399492,0.0443404,0.03978,0.0449868,0.0433322,0.0331676,0.0394878,0.0357848,0.047324,0.0389632,0.0427954,0.0408598,0.0446754,0.0389828,0.0439108,0.0380494,0.0454628,0.0389274,0.0453462,0.0380006,0.0458412,0.0387734,0.0409308,0.0371686,0.0403634,0.0422742,0.0372924,0.0376646,0.0482172,0.0382462,0.0411402,0.0374686,0.04636,0.0408196,0.0521132,0.0377926,0.0406934,0.0416876,0.0463264,0.0367726,0.0468852,0.0446802,0.043444
0.0409684,0.0433,0.036607,0.0493874,0.043039,0.042785,0.0411396,0.0496528,0.0445334,0.0527396,0.044595,0.0395226,0.0412172,0.0490966,0.0432378,0.0572728,0.0432656,0.0468716,0.0411746,0.053231,0.0435832,0.0568696,0.048024,0.0366156,0.0433192,0.0384684,0.054982,0.0426196,0.0500048,0.044092,0.050922,0.042884,0.048499,0.0416994,0.0499014,0.0427542,0.0525026,0.0428536,0.0508994,0.0427648,0.0491372,0.0412742,0.0442386,0.0479468,0.043207,0.0405386,0.0553074,0.041803,0.0459068,0.0433696,0.0556866,0.0435398,0.0580822,0.040661,0.0444718,0.0448598,0.0536936,0.0403488,0.0525978,0.048885,0.0485528
0.0453848,0.0485954,0.0426658,0.0531966,0.0470438,0.050296,0.0441436,0.056614,0.0485202,0.0591778,0.0470746,0.0449634,0.0441112,0.0578176,0.0465218,0.0635282,0.0475144,0.0550754,0.0451528,0.0616444,0.0484496,0.0623586,0.052962,0.039026,0.0522374,0.0414498,0.0624154,0.045327,0.055317,0.0492076,0.057591,0.0461982,0.0555212,0.04424,0.0559918,0.0471082,0.0592662,0.0465398,0.0593222,0.0459682,0.056203,0.0441746,0.0491206,0.051229,0.0481146,0.0435144,0.0606508,0.043622,0.0515826,0.0473776,0.0665452,0.0455454,0.0660816,0.0436564,0.053346,0.0476942,0.0622834,0.0434808,0.0616534,0.0542574,0.05566
0.0494572,0.0529918,0.0453164,0.0598192,0.0504916,0.0560368,0.0475956,0.062624,0.0510194,0.0678308,0.050903,0.0523608,0.047527,0.0626366,0.0499276,0.0689018,0.05141,0.0608956,0.0498536,0.0685792,0.0521492,0.07178,0.058067,0.04216,0.0584208,0.0434884,0.0691536,0.0500888,0.061408,0.053881,0.0638062,0.0509114,0.0635054,0.0462632,0.058775,0.047789,0.0668118,0.0517024,0.0659596,0.0490126,0.0612704,0.0478464,0.0541,0.0539626,0.0531248,0.0476206,0.0638008,0.0470648,0.0562834,0.0533478,0.0725346,0.0491406,0.0731184,0.048674,0.0597348,0.0529696,0.0692868,0.0473718,0.0662392,0.0591042,0.0639874
0.0538824,0.0569828,0.0483276,0.0668032,0.055608,0.061954,0.053552,0.0676258,0.0539232,0.0770924,0.0531716,0.059841,0.0503036,0.070506,0.0533936,0.079649,0.0553466,0.066444,0.052746,0.0761766,0.0545466,0.0789172,0.0642816,0.0464724,0.0679816,0.0470458,0.0783818,0.054822,0.0674118,0.0573434,0.0711958,0.0552804,0.0717786,0.0504244,0.0641298,0.0500398,0.0732964,0.0548996,0.0728058,0.0527172,0.0685774,0.0515532,0.0590294,0.0586572,0.0584816,0.0510904,0.0687412,0.0516836,0.0605694,0.0581974,0.0771312,0.0542782,0.0811442,0.0508788,0.0667584,0.0571282,0.0775902,0.0514366,0.074013,0.0621812,0.0733688
