Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
0,"[269.49594629180001, 551.87928739849997]",0,car, , , , 
6,"[35.602714538600004, 96.56336975100001]",0,car, , , , 
8,"[329.09064707660002, 656.76944940249996]",0,car,1.0,0.7778,57.4393,0.5906
7,"[20.759910397999999, 86.576561093500004]",0,fad, , , , 
8,"[184.8170409368, 385.13345984230006]",0,fad, , , , 
3,"[28.593126134699997, 89.558463454699989]",0,fad,0.9333,0.5185,36.3611,0.3841
8,"[141.7661848939, 553.35820987670002]",0,mas, , , , 
6,"[9.1021757125999994, 49.327861785900005]",0,mas,1.0,0.3462,25.639,0.346
6,"[18.2264919281, 33.331142425500005]",0,gla, , , , 
3,"[20.588524106800001, 53.599600020899999]",0,gla,0.9375,0.75,48.095,0.4521
0,"[649.36939734789996, 1647.9398111585999]",0,con,0.9286,0.9286,50.7071,0.4208
0,"[1600.0, 2800.0]",0,adi,1.0,0.9167,65.357,0.6422
