0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.0074298,0.0158698,0.0179375,0.0252786,0.0370682,0.0246696,0.0233876,0.0444724,0.0151285,0.0488699,0.0321282,0.0195518,0.0215361,0.0206722,0.0204779,0.0308839,0.0108283,0.0308956,0.0252325,0.0219328,0.0269574,0.0379283,0.0307953,0.0115515,0.0299109,0.0240616,0.0242592,0.0382802,0.006291,0.0362145,0.0073625,0.0169724,0.0197698,0.032137,0.0130094,0.0310659,0.0250019,0.0361076,0.0139677,0.0354281,0.023937,0.0272463,0.003471,0.032321,0.0070694,0.0406357,0.0237765,0.0135964,0.0091085,0.0330078,0.0220973,0.0388207,0.0349859,0.0281121,0.012795,0.0358411,0.0044635,0.0398519,0.0067758,0.0224594
-0.0100284,0.0213288,0.0062531,0.0120278,0.0180087,0.0328253,0.0026803,0.0469231,0.0065549,0.0484499,0.0033928,0.0280934,0.012942,0.0258423,0.0062103,0.0459941,0.0079457,0.0196581,0.0131097,0.0335374,0.0169446,0.042729,0.0154178,0.0155019,0.0170077,0.0322758,0.0221772,0.0307982,0.0076324,0.0278769,0.0066535,0.0140785,0.0177068,0.0321125,0.0050237,0.0337444,0.0229568,0.0404885,0.0041735,0.0327876,0.0033175,0.0298487,0.0038671,0.0403518,0.0038506,0.0587025,0.029738,0.0269546,-0.0098802,0.0207507,0.0181257,0.0596551,0.0102465,0.0276832,0.0165025,0.0350807,-0.013307,0.0269431,-0.0063813,0.031074
0.0026401,0.0343336,0.0008173,0.0448967,0.0173877,0.0292386,0.0053344,0.0416101,-0.0020898,0.0560471,0.0035708,0.0421749,-0.0130618,0.0306369,0.0079428,0.0485073,0.0082093,0.00139,0.0174567,0.0507621,0.0296795,0.04074,0.0066154,0.0341487,0.0139023,0.0467501,0.014164,0.0490163,0.0262546,0.0485713,0.0170509,0.0443856,-0.0030833,0.049049,0.0150016,0.0493119,0.0121933,0.0396518,0.0084867,0.0576433,0.0053841,0.037159,0.0095248,0.0238969,0.0009591,0.0631685,0.0243398,0.0236874,0.0100162,0.0368949,0.0213667,0.0702635,0.0235375,0.0256776,0.0203266,0.0544903,0.0004752,0.0519907,-0.0043989,0.0291329
0.0029286,0.0506885,0.0131923,0.050761,0.0051208,0.0481941,0.0180946,0.0635735,0.0018711,0.07472,0.0221195,0.0584955,-0.0024549,0.0426126,0.00550405,0.0837233,0.0019506,0.017699,0.0103972,0.0658197,0.0282287,0.0514702,-0.0032551,0.0411213,0.0278508,0.0496052,0.036096,0.0635673,0.0261195,0.0729805,0.0268377,0.0688208,0.0092074,0.049122,0.0097113,0.0623663,0.0110789,0.0457499,0.0216058,0.0536782,0.010574,0.0563895,0.0226459,0.0352508,-0.0057142,0.0993858,0.027656,0.0381429,0.0066325,0.0472808,0.0115946,0.0822446,0.0140408,0.0557518,0.0216293,0.0587976,0.0069858,0.0613153,-0.0116982,0.0590361
0.0281583,0.0748162,0.0238608,0.073955,0.0071652,0.06420865,0.02132045,0.0875469,0.00172365,0.1133776,0.0073132,0.0834486,0.00594,0.0602183,0.00467495,0.0929191,0.0035809,0.0570517,0.0205794,0.0850763,0.038672,0.0775618,0.0287672,0.0821907,0.0156248,0.0709998,0.0543253,0.0759191,0.0288045,0.1056317,0.0205369,0.0805674,0.01271,0.0738109,0.0172446,0.0995147,0.0119092,0.0798231,-0.0035018,0.073619,0.0349395,0.0782458,0.02547715,0.0750022,0.0055828,0.1172811,0.0347652,0.05831595,0.0143676,0.0567927,0.0197572,0.095115,0.0372835,0.050617,0.0228358,0.0587699,0.0315323,0.0926737,0.0092066,0.0783604
0.0345133,0.0868887,0.028863,0.0986732,0.0135031,0.0767202,0.02208745,0.097499,-0.00688875,0.1190826,0.0261624,0.1072364,0.0275884,0.0869518,0.0127149,0.1153204,-0.002029,0.0651822,0.0369562,0.1074799,0.0282391,0.0862408,0.0236982,0.102805,0.0218142,0.1014905,0.0409092,0.1029242,0.0443745,0.1426766,0.0199441,0.086633,0.0215657,0.0847161,0.0035968,0.1038918,0.0243516,0.0680255,0.0132171,0.0989281,0.0266483,0.1093383,0.0018424,0.0867974,0.0011888,0.1236087,0.0386726,0.08470895,0.0513378,0.0738559,0.0195125,0.1198021,0.0493536,0.0946762,0.019952,0.0845936,0.0418681,0.1225518,-0.0032206,0.1042638
0.013052,0.0998479,0.0567273,0.1303748,0.0325894,0.1044502,0.03411815,0.1247764,-0.0034539,0.1503658,0.0440912,0.1417949,0.0526337,0.1222754,0.0537282,0.145395,-0.0075918,0.0798404,0.04237,0.1342163,0.0338029,0.1105015,-0.0006098,0.125772,0.0472096,0.1259104,0.0596633666667,0.1143484,0.0457533,0.15371365,0.0184917,0.0967728,0.0437827,0.1122811,0.0191717,0.1397202,0.0378073,0.0983985,-0.0005674,0.1102226,0.0387756,0.129257,-0.0089775,0.1140219,0.011441,0.1253985,0.0632719,0.0918204,0.0536226,0.0993663,0.0365096,0.1577,0.0549598,0.1202668,0.03403545,0.1107848,0.0476697,0.1591833,0.01257255,0.1163054
0.0371902,0.1260903,0.0572655,0.1402147,0.0344554,0.1319027,0.0401778,0.1409453,0.02196955,0.1405886,0.0303702,0.1550022,0.0580087,0.1551262,0.04580855,0.1625507,0.0173097,0.0854219,0.0264338,0.1526932,0.0444031,0.1572258,-0.00068725,0.1601366,0.0329724,0.1547679,0.0568023666667,0.1248503,0.0603354,0.1921531,0.0495267,0.1085562,0.0140143,0.1410991,0.0034945,0.1670153,0.0527707,0.11708115,0.0049449,0.1294553,0.0569798,0.1580439,-0.0104098,0.1444621,0.0100034,0.1642167,0.0496681,0.13280504,0.0627474,0.1288093,0.0184422,0.1705725,0.0349544,0.1347071,0.02889335,0.1360428,0.0699258,0.1760033,0.0191396,0.1466844
0.0378379,0.15844,0.05855835,0.158298,0.0459125,0.1579576,0.0613686,0.1601526,0.0445641,0.1863887,0.0503099,0.17375295,0.0611296,0.1651742,0.05792665,0.1755904,0.0237052,0.1126534,0.0173206,0.17588075,0.0703273,0.18751486,0.01357885,0.1665228,0.0218566,0.1857995,0.0453498,0.1685831,0.0758422,0.1962854,0.0489944,0.1167319,0.0258471,0.1681662,0.0197207,0.2087477,0.0391188,0.150057,0.0304386,0.1593101,0.0872038,0.1909154,0.0214934,0.151745,0.02337345,0.1926907,0.0415433,0.14376034,0.0849159,0.162265,0.0238969,0.185061,0.0384039,0.17177585,0.0232879,0.1516168,0.071214,0.1843218,0.0237143,0.1783968
0.0718373,0.2072945,0.0629925,0.1703737,0.0629096,0.1960545,0.0706578,0.1706951,0.0349109,0.1703137,0.0413991,0.2054993,0.0692133,0.1901633,0.0525428,0.2063719,0.05123865,0.1259631,0.00792053333333,0.1958819,0.0668369,0.1965003,0.02088685,0.1916488,0.02963505,0.2104073,0.0473531,0.1885462,0.0673018,0.2090393,0.0591366666667,0.1149415,0.0461099,0.1894601,0.01405815,0.2166075,0.0511227,0.192841,0.0409711,0.1740888,0.07228485,0.2137011,0.0242416,0.1767861,0.0609612,0.2138539,0.0342887,0.15002614,0.0812784,0.1810198,0.0512474,0.198198,0.0598907,0.1911722,0.0495185,0.1883781,0.0654509,0.200798,0.029458,0.2097507
