0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.1552,0.1405,0.1509,0.2366,0.1801,0.1946,0.1412,0.2509,0.1685,0.1852,0.1106,0.1946,0.19,0.1946,0.1835,0.2366,0.1412,0.1946,0.1936,0.1946,0.1749,0.1807,0.1814,0.162,0.1793,0.1946,0.1767,0.162,0.2005,0.2568,0.1864,0.1946,0.1785,0.1946,0.1699,0.1946,0.1965,0.2366,0.0992,0.2366,0.1884,0.1756,0.1835,0.2366,0.2119,0.162,0.1848,0.163,0.1459,0.1946,0.1663,0.1946,0.1596,0.2366,0.2046,0.1946,0.1615,0.162,0.172,0.1946
0.1627,0.1946,0.1509,0.2366,0.1801,0.1946,0.1412,0.2509,0.1685,0.1852,0.1466,0.1946,0.19,0.1946,0.1835,0.2366,0.1412,0.1946,0.1945,0.1946,0.1749,0.1807,0.1814,0.1946,0.1793,0.1946,0.1767,0.1946,0.2107,0.2568,0.1864,0.1946,0.1785,0.1946,0.1767,0.1946,0.1965,0.2366,0.1195,0.2857,0.1884,0.1756,0.1835,0.2366,0.2119,0.1946,0.1848,0.163,0.1459,0.2366,0.1741,0.1946,0.1596,0.2366,0.2046,0.1946,0.1615,0.1763,0.172,0.1946
0.1627,0.2366,0.1509,0.2366,0.1801,0.1946,0.1412,0.2509,0.1685,0.1852,0.1466,0.1946,0.19,0.1946,0.1835,0.2366,0.1412,0.1946,0.1945,0.1946,0.1749,0.1807,0.1814,0.1946,0.1793,0.1946,0.1767,0.1946,0.2117,0.2568,0.1864,0.1946,0.1785,0.1946,0.1767,0.1946,0.1965,0.2366,0.1195,0.2857,0.1884,0.18,0.1835,0.2366,0.2119,0.1948,0.1848,0.1946,0.1459,0.2509,0.1767,0.1946,0.1596,0.2366,0.2046,0.2133,0.1615,0.1763,0.172,0.1946
0.1627,0.2366,0.1558,0.2366,0.1895,0.1946,0.1412,0.2509,0.1685,0.1852,0.1466,0.2415,0.19,0.2509,0.1835,0.2574,0.1462,0.1946,0.2135,0.2219,0.1749,0.1807,0.1814,0.1946,0.1793,0.1946,0.1767,0.1946,0.2336,0.2568,0.1864,0.1946,0.1785,0.2041,0.1767,0.1946,0.1965,0.2366,0.1214,0.2857,0.2415,0.1946,0.2281,0.2366,0.2119,0.1948,0.1848,0.2366,0.2762,0.2509,0.1976,0.1946,0.2003,0.2366,0.2046,0.2133,0.1615,0.1763,0.172,0.1946
0.1704,0.2366,0.1796,0.2366,0.1895,0.1946,0.1412,0.2692,0.1685,0.1946,0.2135,0.2415,0.19,0.2509,0.1835,0.2574,0.1749,0.1946,0.2135,0.2219,0.1752,0.1807,0.2033,0.1946,0.2015,0.1946,0.2097,0.2366,0.2336,0.2568,0.2122,0.1946,0.1785,0.2069,0.1767,0.2509,0.1965,0.2366,0.1835,0.2857,0.2415,0.1946,0.2281,0.2366,0.2119,0.1948,0.1848,0.2509,0.2762,0.2509,0.2438,0.1946,0.2003,0.2366,0.2046,0.2366,0.1656,0.1763,0.172,0.2366
0.1991,0.2366,0.1796,0.2366,0.1895,0.1946,0.1417,0.2692,0.1767,0.1946,0.2135,0.2509,0.1998,0.2509,0.2201,0.2574,0.1749,0.1946,0.2135,0.2366,0.1752,0.1807,0.2033,0.1946,0.2015,0.1946,0.2097,0.2366,0.2336,0.2568,0.2122,0.2088,0.1798,0.2069,0.1767,0.2509,0.1965,0.2509,0.1835,0.2857,0.2415,0.2366,0.2281,0.2366,0.2119,0.1948,0.1879,0.2509,0.2762,0.2509,0.2438,0.1946,0.2003,0.2366,0.2046,0.2366,0.1656,0.1838,0.1749,0.2366
0.1991,0.2366,0.1796,0.2366,0.197,0.1946,0.197,0.2692,0.1767,0.211,0.2135,0.2539,0.1998,0.2509,0.2201,0.2574,0.1979,0.2366,0.2135,0.2366,0.1752,0.1829,0.2033,0.1946,0.2015,0.218,0.2097,0.2366,0.2336,0.2568,0.2284,0.2153,0.2072,0.2069,0.1767,0.2509,0.1965,0.2509,0.1835,0.2857,0.2415,0.2366,0.2281,0.2509,0.2119,0.2366,0.1879,0.2509,0.2762,0.2509,0.2438,0.1946,0.2003,0.2366,0.2046,0.2366,0.205,0.1838,0.1749,0.2509
0.1991,0.2509,0.1796,0.2366,0.197,0.2366,0.197,0.2692,0.1767,0.2204,0.2135,0.2539,0.1998,0.2509,0.2201,0.2574,0.1979,0.2366,0.2135,0.2857,0.2266,0.1829,0.2033,0.1954,0.2085,0.218,0.2097,0.2366,0.2336,0.2568,0.2284,0.2153,0.2072,0.2366,0.1767,0.2509,0.1965,0.2509,0.1835,0.2857,0.2415,0.2366,0.2281,0.2509,0.2119,0.2366,0.2333,0.2509,0.2762,0.2509,0.2438,0.1946,0.2003,0.2366,0.2046,0.2509,0.205,0.1946,0.1749,0.2602
0.1991,0.2509,0.1796,0.2366,0.197,0.2366,0.197,0.2692,0.2487,0.2317,0.2135,0.2539,0.1998,0.2524,0.2201,0.2574,0.1979,0.2509,0.2135,0.2857,0.2266,0.1939,0.2033,0.2366,0.2485,0.218,0.2097,0.2366,0.2336,0.2568,0.2284,0.2153,0.2072,0.2366,0.1767,0.2509,0.1965,0.2509,0.1835,0.2857,0.2415,0.2366,0.2281,0.2509,0.2119,0.2366,0.2333,0.2509,0.2762,0.2509,0.2438,0.2366,0.2003,0.2366,0.2046,0.2509,0.205,0.2156,0.1749,0.2602
0.1991,0.2509,0.1796,0.2366,0.197,0.2366,0.197,0.2692,0.2487,0.237,0.2135,0.2539,0.1998,0.2524,0.2201,0.2574,0.2154,0.2509,0.2164,0.2857,0.2367,0.1939,0.2033,0.2366,0.2485,0.218,0.2286,0.2366,0.2336,0.2568,0.2284,0.2366,0.2072,0.2453,0.1767,0.2509,0.1965,0.2509,0.1835,0.2857,0.2415,0.2366,0.2281,0.2509,0.2308,0.2366,0.2333,0.2509,0.2762,0.2509,0.2438,0.2366,0.2003,0.2366,0.2046,0.2509,0.205,0.2353,0.1749,0.2602
0.1991,0.2509,0.1796,0.2602,0.2067,0.2509,0.197,0.2692,0.2487,0.237,0.2135,0.2692,0.1998,0.2524,0.2201,0.2574,0.2154,0.2509,0.2164,0.2857,0.2367,0.2366,0.2067,0.2366,0.2485,0.218,0.2476,0.2366,0.2336,0.2568,0.2284,0.2366,0.2072,0.2453,0.1767,0.2509,0.1965,0.2692,0.2155,0.2857,0.2415,0.2366,0.2281,0.2509,0.2308,0.3015,0.2367,0.2509,0.2762,0.2661,0.2779,0.2692,0.2003,0.2366,0.2046,0.2509,0.205,0.2353,0.1749,0.2602
0.1991,0.2509,0.1796,0.2602,0.2067,0.2509,0.2302,0.2692,0.2487,0.2486,0.2135,0.2692,0.1998,0.2648,0.2201,0.2574,0.2154,0.2509,0.2164,0.3023,0.2439,0.2366,0.2067,0.2366,0.2485,0.2524,0.2476,0.2366,0.2458,0.2568,0.2284,0.2366,0.2072,0.2453,0.1767,0.2509,0.1965,0.2692,0.2155,0.2857,0.2415,0.2367,0.2281,0.2509,0.2308,0.3015,0.2367,0.2857,0.2762,0.2661,0.2779,0.2692,0.2216,0.2509,0.2046,0.2509,0.205,0.2353,0.1749,0.2602
