0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.010263,0.0100126,0.0125312,0.0100614,0.0116978,0.0094278,0.011132,0.0094318,0.011294,0.0098782,0.0110198,0.0087516,0.0122394,0.0081478,0.0102598,0.0099952,0.0121794,0.00963,0.0115424,0.0108374,0.0118456,0.0075166,0.0107862,0.0085334,0.0115216,0.0090722,0.010702,0.009848,0.0126774,0.008187,0.010771,0.0083318,0.0108208,0.0084418,0.010704,0.0090214,0.0125104,0.0117322,0.010204,0.0090858,0.0112852,0.009528,0.0125032,0.0096538,0.0134446,0.0102886,0.0101296,0.0112694,0.0133422,0.0100164,0.0117252,0.0103548,0.0104308,0.0088838,0.0114658,0.0099756,0.012129,0.0095416,0.0126476,0.0103976
0.0127804,0.0142148,0.0162174,0.013251,0.0144204,0.0140124,0.0141504,0.0121862,0.0131172,0.0140848,0.0134926,0.0122812,0.0152358,0.0114254,0.0122032,0.013981,0.0144258,0.012998,0.0148548,0.015131,0.0162154,0.010232,0.0138866,0.012026,0.0149982,0.0132336,0.0136716,0.0142072,0.0164396,0.0107666,0.0135554,0.0120788,0.0142146,0.0112128,0.0138348,0.013383,0.0153884,0.0153522,0.0130518,0.013526,0.0142348,0.013998,0.015081,0.0130134,0.0157326,0.0137716,0.0140526,0.0149194,0.016273,0.0143536,0.0148104,0.0146196,0.0132792,0.0123104,0.0144316,0.0131938,0.0147652,0.012886,0.0146818,0.0138832
0.015264,0.0189104,0.0183682,0.0165384,0.0174038,0.0171272,0.0167124,0.0156218,0.016354,0.017463,0.0164682,0.0160452,0.0172436,0.0149404,0.0143596,0.0165422,0.0170222,0.016268,0.0178496,0.019467,0.0191802,0.0138546,0.0173772,0.015579,0.0190368,0.0166406,0.0153434,0.0182096,0.0183158,0.0146396,0.0170728,0.0164096,0.016179,0.0146318,0.0170416,0.0171208,0.017607,0.0214378,0.0159244,0.014849,0.0168912,0.0184554,0.0170218,0.0156408,0.0188252,0.017231,0.016626,0.017524,0.0180764,0.0184958,0.016835,0.018474,0.0169926,0.0151672,0.0173204,0.0179258,0.0177962,0.015928,0.016427,0.0165614
0.017741,0.02046,0.0219182,0.0209284,0.0199184,0.020667,0.0187492,0.0194082,0.0190142,0.0198418,0.0197658,0.0219058,0.0194944,0.0197278,0.0164704,0.0209766,0.021145,0.02044,0.020983,0.0235742,0.022466,0.0163028,0.0201652,0.0186162,0.0226382,0.0208964,0.0183474,0.0208292,0.0214314,0.0169182,0.0200456,0.0199782,0.0175624,0.018655,0.0190898,0.0208234,0.020022,0.026805,0.0184298,0.0197196,0.0202636,0.0239014,0.019546,0.0187444,0.0208022,0.0215446,0.0189528,0.0202644,0.0222242,0.024096,0.01895,0.02192,0.0198098,0.018887,0.0207698,0.0225508,0.0207864,0.0184786,0.0195056,0.0210952
0.0204186,0.023845,0.024365,0.0246694,0.0231242,0.0237718,0.0215818,0.0255318,0.0224378,0.0232946,0.023049,0.0255786,0.0224614,0.022734,0.01853,0.026589,0.023861,0.0223934,0.0242394,0.0283364,0.0262096,0.0195384,0.0225528,0.0223642,0.025711,0.0244074,0.0211472,0.0251138,0.0243562,0.0214188,0.0236826,0.0252874,0.0199258,0.0206446,0.0221206,0.0263712,0.0220644,0.0324556,0.0212084,0.0235728,0.0223798,0.0300898,0.0213874,0.0228266,0.0238184,0.025469,0.0224086,0.0240892,0.026396,0.0289128,0.0211078,0.0255812,0.0212646,0.0235512,0.0223308,0.025281,0.0232106,0.0223158,0.0224608,0.0244878
0.0219746,0.027929,0.0275848,0.0288732,0.0256658,0.0267766,0.0233028,0.0295216,0.0251078,0.0267532,0.0258542,0.0302898,0.0247242,0.0261338,0.0204282,0.030678,0.0264726,0.0261368,0.0264512,0.0338604,0.0290092,0.0231268,0.026614,0.026304,0.0294624,0.0281106,0.0233624,0.0299946,0.027136,0.0241592,0.0265558,0.0300666,0.0226644,0.0254236,0.0253888,0.0303992,0.0240626,0.039346,0.0240174,0.0277844,0.0257216,0.0361078,0.024341,0.0274692,0.0265834,0.0310084,0.025369,0.0276668,0.028996,0.0350248,0.0241752,0.0287998,0.0241348,0.0273798,0.0243652,0.0278248,0.0263344,0.0268398,0.0255824,0.0296264
0.0238762,0.0315228,0.0301532,0.0331196,0.028794,0.0316988,0.0265276,0.0342922,0.0287786,0.0313294,0.029132,0.035288,0.0285528,0.0298546,0.0224434,0.0350186,0.0291602,0.0306498,0.0288566,0.0410882,0.0324334,0.0271508,0.029288,0.0304164,0.0320168,0.03065,0.0256358,0.0340956,0.0295676,0.0289476,0.0294122,0.0355658,0.0250928,0.0282924,0.028529,0.035167,0.0252744,0.04455,0.0271006,0.034153,0.0282852,0.040897,0.027511,0.032017,0.029004,0.0359428,0.0284624,0.032467,0.031848,0.0406272,0.026731,0.0351128,0.0271864,0.031046,0.0263512,0.0339836,0.0291114,0.0303732,0.0270272,0.0340694
0.0269316,0.0380388,0.0334328,0.0372922,0.03139,0.0355506,0.0290432,0.0393122,0.0320368,0.0338754,0.0316524,0.0399996,0.030361,0.0326612,0.024499,0.0397578,0.03196,0.0348006,0.0315836,0.0470348,0.0356658,0.0322136,0.0308044,0.0343158,0.0353024,0.0354996,0.027963,0.0379654,0.031639,0.0332664,0.031707,0.0411768,0.0264976,0.032787,0.0309812,0.039187,0.0272776,0.0476322,0.0298574,0.037875,0.0303354,0.0462228,0.0290564,0.0359436,0.031834,0.0388894,0.0310262,0.0373654,0.0352306,0.046982,0.028442,0.0398314,0.0306934,0.0335018,0.0278264,0.040429,0.0319848,0.0343854,0.029295,0.0408832
0.0286896,0.0419738,0.0355864,0.0425848,0.0338716,0.0418722,0.0311508,0.0432064,0.0361704,0.039408,0.034601,0.0443802,0.0328866,0.038558,0.026991,0.0435154,0.0358104,0.040535,0.0347838,0.0534322,0.0385068,0.0347438,0.0335668,0.0383336,0.0391532,0.0391312,0.0298314,0.0416798,0.0341246,0.0375876,0.0336742,0.045558,0.0285948,0.037536,0.0340212,0.0449948,0.030048,0.0531306,0.0322916,0.0410208,0.0324716,0.0495684,0.0321126,0.04088,0.034863,0.043199,0.0331262,0.0420282,0.0386012,0.0512596,0.031631,0.042968,0.0336676,0.0365326,0.0309178,0.0447356,0.0340082,0.0388564,0.0311598,0.0456718
0.0315206,0.0484524,0.036776,0.0468112,0.0367238,0.0473606,0.0327322,0.047387,0.037866,0.0438068,0.037472,0.0501548,0.0358692,0.042205,0.0290396,0.0482174,0.0377904,0.0440998,0.0359886,0.0608716,0.0396478,0.0399616,0.035764,0.043779,0.0422928,0.041018,0.0318568,0.0449356,0.0372738,0.0414086,0.0358014,0.0498686,0.030749,0.0409778,0.0368916,0.0493818,0.0322324,0.0601904,0.0340048,0.0434042,0.0355524,0.0534852,0.0355884,0.0455498,0.0375246,0.0468084,0.0353156,0.0471042,0.042018,0.0563722,0.0338466,0.0454686,0.0350638,0.0409592,0.0337156,0.0485368,0.0356478,0.0423352,0.0341706,0.0508336
