0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
0.4075,0.3784,0.1494,0.1218,0.1572,0.3555,0.3918,0.3469,0.1503,0.1184,0.1572,0.3555,0.3896,0.3759,0.1459,0.1206,0.1572,0.3428,0.4191,0.3656,0.1569,0.1218,0.1572,0.3599,0.4011,0.3482,0.1411,0.1206,0.1572,0.3428,0.4248,0.3663,0.1444,0.1218,0.1572,0.3543,0.3813,0.3627,0.1699,0.1206,0.1572,0.3543,0.4068,0.373,0.1337,0.1206,0.1572,0.3555,0.3993,0.3501,0.1607,0.1206,0.1572,0.3447,0.4324,0.373,0.14,0.1093,0.1572,0.3428,0.4201,0.3609,0.1441,0.1206,0.1572,0.3555,0.4262,0.3759,0.3597,0.1488,0.1218,0.1572,0.3479,0.3857,0.3639,0.142,0.1206,0.1572,0.3555,0.4133,0.3831,0.1522,0.1138,0.1572,0.3317,0.4116,0.3663,0.1488,0.1218,0.1572,0.3555,0.4378,0.3813,0.1687,0.1195,0.1572,0.3403,0.4,0.3717,0.1411,0.1206,0.1572,0.3517,0.4317,0.3777,0.1711,0.1218,0.1572,0.3479,0.4068,0.3609,0.1456,0.1218,0.1572,0.3555,0.4317,0.3651,0.1501,0.1195,0.1572,0.3479,0.4317,0.3747,0.1399,0.1184,0.1572,0.3467,0.382,0.3772,0.1571,0.1172,0.1572,0.3479,0.431,0.3663,0.1444,0.1218,0.1572,0.3479,0.4371,0.3723,0.1577,0.1218,0.1572,0.3479,0.414,0.3705,0.1533,0.1218,0.1572,0.3428,0.4041,0.3772,0.1473,0.1206,0.1572,0.3543,0.3745,0.3627,0.1316,0.1218,0.1572,0.3428,0.4137,0.3717,0.1613,0.1206,0.1572,0.3555,0.3806,0.3747,0.1494,0.1195,0.1572,0.3543,0.4201,0.4133,0.371,0.153,0.1218,0.1572,0.3428
0.4075,0.3784,0.1548,0.1218,0.1572,0.3555,0.3932,0.3487,0.1675,0.1218,0.1572,0.3555,0.3896,0.3831,0.1459,0.1206,0.1572,0.3428,0.4191,0.3784,0.1598,0.1218,0.1572,0.3599,0.4201,0.3555,0.1652,0.1206,0.1572,0.3428,0.4248,0.3663,0.1607,0.1218,0.1572,0.3555,0.3932,0.3627,0.1699,0.1206,0.1572,0.3543,0.4126,0.3759,0.1376,0.1206,0.1572,0.3555,0.3993,0.3501,0.1607,0.1206,0.1572,0.3479,0.4324,0.373,0.1631,0.1138,0.1572,0.3555,0.4324,0.3831,0.1628,0.1206,0.1572,0.3555,0.4262,0.3759,0.3597,0.161,0.1218,0.1572,0.3479,0.4112,0.3651,0.1577,0.1206,0.1572,0.3555,0.4133,0.3831,0.1522,0.1218,0.1572,0.3479,0.418,0.3663,0.1696,0.1218,0.1572,0.3555,0.4378,0.3813,0.1687,0.1218,0.1572,0.3403,0.4,0.3717,0.172,0.1206,0.1572,0.3517,0.4317,0.3777,0.1711,0.1218,0.1572,0.3479,0.4068,0.3614,0.1456,0.1218,0.1572,0.3555,0.4317,0.3675,0.1684,0.1195,0.1572,0.3479,0.4432,0.3747,0.1399,0.1184,0.1572,0.3467,0.3922,0.3772,0.1571,0.1184,0.1572,0.3555,0.431,0.3663,0.1539,0.1218,0.1572,0.3479,0.4371,0.3723,0.1605,0.1218,0.1572,0.3479,0.4187,0.3772,0.1533,0.1218,0.1572,0.3428,0.4306,0.3772,0.1473,0.1206,0.1572,0.3555,0.4058,0.3717,0.1509,0.1218,0.1572,0.3428,0.4137,0.3717,0.1613,0.1206,0.1572,0.3555,0.414,0.3747,0.1637,0.1195,0.1572,0.3555,0.4201,0.4133,0.3868,0.1646,0.1218,0.1572,0.3428
0.4324,0.3784,0.1548,0.1218,0.1572,0.3555,0.3932,0.3614,0.1681,0.1218,0.1572,0.3555,0.4098,0.3831,0.1551,0.1206,0.1572,0.3555,0.4191,0.3784,0.1598,0.1218,0.1572,0.3599,0.4201,0.3555,0.1652,0.1206,0.1572,0.3428,0.431,0.3663,0.177,0.1218,0.1572,0.3555,0.4007,0.3627,0.1699,0.1206,0.1572,0.3543,0.4126,0.3759,0.1503,0.1206,0.1572,0.3555,0.4065,0.3578,0.1607,0.1218,0.1572,0.3498,0.4324,0.373,0.1631,0.1184,0.1572,0.3555,0.4324,0.3831,0.1628,0.1218,0.1572,0.3555,0.4262,0.3838,0.3644,0.161,0.1218,0.1572,0.3479,0.435,0.3693,0.1577,0.1218,0.1572,0.3555,0.4306,0.3831,0.1554,0.1218,0.1572,0.3555,0.418,0.3868,0.1696,0.1218,0.1572,0.3555,0.4378,0.3813,0.1687,0.1218,0.1572,0.3403,0.4,0.3717,0.172,0.1206,0.1572,0.3517,0.4317,0.3777,0.1711,0.1218,0.1572,0.3555,0.4068,0.3614,0.1764,0.1218,0.1572,0.3555,0.4317,0.3784,0.1684,0.1206,0.1572,0.3479,0.4432,0.3747,0.1399,0.1184,0.1572,0.3479,0.3922,0.3772,0.1571,0.1184,0.1572,0.3555,0.431,0.3663,0.1598,0.1218,0.1572,0.3555,0.4371,0.3813,0.1711,0.1218,0.1572,0.3479,0.4187,0.3838,0.1607,0.1218,0.1572,0.3428,0.4306,0.3772,0.1473,0.1206,0.1572,0.3555,0.4123,0.3813,0.1509,0.1218,0.1572,0.3555,0.4137,0.3838,0.1613,0.1206,0.1572,0.3555,0.414,0.3747,0.1696,0.1195,0.1572,0.3555,0.4201,0.4133,0.3868,0.1696,0.1218,0.1572,0.3479
0.4324,0.3784,0.1675,0.1218,0.1572,0.3555,0.4317,0.3663,0.1681,0.1218,0.1572,0.3555,0.4191,0.3831,0.1637,0.1206,0.1572,0.3555,0.4191,0.3784,0.1607,0.1218,0.1572,0.3599,0.4201,0.3572,0.1652,0.1206,0.1572,0.3428,0.431,0.3663,0.177,0.1218,0.1572,0.3555,0.4201,0.3651,0.1699,0.1218,0.1572,0.3543,0.4191,0.3759,0.1779,0.1206,0.1572,0.3555,0.4198,0.3705,0.1607,0.1218,0.1572,0.3555,0.4324,0.3934,0.1631,0.1184,0.1572,0.3555,0.4324,0.3831,0.1628,0.1218,0.1572,0.3555,0.4262,0.3838,0.3717,0.1726,0.1218,0.1572,0.3479,0.435,0.3705,0.1595,0.1218,0.1572,0.3555,0.4317,0.3831,0.18,0.1218,0.1572,0.3555,0.418,0.3868,0.1696,0.1218,0.1572,0.3555,0.4378,0.3813,0.1687,0.1218,0.1572,0.3555,0.4018,0.3717,0.172,0.1206,0.1572,0.3517,0.4317,0.3777,0.1711,0.1218,0.1572,0.3555,0.4068,0.3651,0.1764,0.1218,0.1572,0.3555,0.4317,0.3784,0.1684,0.1206,0.1572,0.3479,0.4432,0.3747,0.1637,0.1184,0.1572,0.3555,0.3922,0.3772,0.1571,0.1302,0.1572,0.3555,0.431,0.3663,0.1598,0.1218,0.1572,0.3555,0.4371,0.3813,0.1711,0.1218,0.1572,0.3555,0.4187,0.3838,0.1607,0.1218,0.1572,0.3555,0.4306,0.3772,0.1616,0.1218,0.1572,0.3555,0.4201,0.3831,0.1509,0.1218,0.1572,0.3555,0.4262,0.3838,0.1616,0.1206,0.1572,0.3555,0.414,0.3747,0.1741,0.1291,0.1572,0.3555,0.4201,0.4187,0.3868,0.1696,0.1218,0.1572,0.3555
0.4324,0.3784,0.1675,0.1218,0.1572,0.3555,0.4317,0.3717,0.172,0.1218,0.1572,0.3555,0.4247,0.3831,0.1673,0.1206,0.1572,0.3555,0.4191,0.3784,0.1889,0.1218,0.1572,0.3599,0.4201,0.3813,0.1652,0.1206,0.1572,0.3555,0.431,0.3663,0.177,0.1218,0.1572,0.3555,0.4201,0.3705,0.1699,0.1218,0.1572,0.3543,0.4432,0.3777,0.1779,0.1218,0.1572,0.3555,0.4198,0.3735,0.1607,0.1218,0.1572,0.3565,0.4381,0.3934,0.1741,0.1184,0.1572,0.3555,0.4324,0.3831,0.1628,0.1218,0.1572,0.3555,0.4324,0.3838,0.3759,0.1726,0.1218,0.1572,0.3555,0.435,0.3747,0.1832,0.1218,0.1572,0.3555,0.4317,0.3831,0.18,0.1218,0.1572,0.3555,0.431,0.3868,0.1696,0.1218,0.1572,0.3555,0.4378,0.3813,0.177,0.1218,0.1572,0.3555,0.4201,0.3777,0.172,0.1206,0.1572,0.3517,0.4317,0.3777,0.1726,0.1218,0.1572,0.3555,0.4245,0.3705,0.1764,0.1218,0.1572,0.3555,0.4317,0.385,0.1711,0.1206,0.1572,0.3555,0.4432,0.3747,0.1637,0.1184,0.1572,0.3555,0.3922,0.3772,0.1951,0.1302,0.1572,0.3555,0.431,0.3717,0.1794,0.1218,0.1572,0.3555,0.4442,0.3813,0.1711,0.1218,0.1572,0.3555,0.4187,0.3838,0.1607,0.1218,0.1572,0.3555,0.4306,0.3772,0.1616,0.1218,0.1572,0.3555,0.4201,0.3831,0.1679,0.1218,0.1572,0.3555,0.4262,0.3838,0.1809,0.1206,0.1572,0.3555,0.414,0.3772,0.1756,0.1291,0.1572,0.3555,0.4455,0.4241,0.3922,0.1696,0.1218,0.1572,0.3555
0.4324,0.3784,0.1675,0.1218,0.1572,0.3555,0.4317,0.373,0.172,0.1218,0.1572,0.3555,0.4526,0.3831,0.1749,0.1206,0.1572,0.3555,0.4371,0.3784,0.1889,0.1218,0.1572,0.3599,0.4201,0.3813,0.1652,0.1206,0.1572,0.3555,0.431,0.3663,0.177,0.1218,0.1572,0.3555,0.4252,0.3705,0.1699,0.1218,0.1572,0.3543,0.4432,0.3777,0.1779,0.1218,0.1572,0.3555,0.4198,0.3772,0.1711,0.1218,0.1572,0.3565,0.4381,0.3934,0.1741,0.1206,0.1572,0.3555,0.4324,0.3831,0.1779,0.1218,0.1572,0.3555,0.4324,0.3838,0.3813,0.1726,0.1218,0.1572,0.3555,0.435,0.3826,0.1832,0.1218,0.1572,0.3555,0.4317,0.3988,0.18,0.1218,0.1572,0.3555,0.431,0.3868,0.1696,0.1218,0.1572,0.3555,0.4378,0.3826,0.1794,0.1218,0.1572,0.3555,0.4201,0.3777,0.172,0.1206,0.1572,0.3517,0.4317,0.3777,0.1726,0.1218,0.1572,0.3555,0.4245,0.3705,0.1764,0.1218,0.1572,0.3555,0.4317,0.385,0.1711,0.1206,0.1572,0.3555,0.4432,0.3747,0.1694,0.1195,0.1572,0.3555,0.4068,0.3772,0.1951,0.1302,0.1572,0.3555,0.431,0.3717,0.1794,0.1218,0.1572,0.3555,0.4442,0.3813,0.1779,0.1218,0.1572,0.3555,0.4414,0.3946,0.1652,0.1234,0.1572,0.3555,0.4442,0.3772,0.1696,0.1218,0.1572,0.3555,0.4262,0.3838,0.1679,0.1218,0.1572,0.3555,0.4262,0.3838,0.1809,0.1206,0.1572,0.3555,0.414,0.385,0.1785,0.1291,0.1572,0.3555,0.4455,0.4241,0.3922,0.1696,0.1218,0.1572,0.3555
0.4324,0.385,0.177,0.1218,0.1572,0.3555,0.4317,0.373,0.1756,0.1218,0.1572,0.3555,0.4526,0.3831,0.1839,0.1206,0.1572,0.3555,0.4371,0.385,0.1889,0.1218,0.1572,0.3599,0.4201,0.3813,0.1652,0.1206,0.1572,0.3555,0.4324,0.3717,0.177,0.1218,0.1572,0.3555,0.4252,0.3705,0.1699,0.1218,0.1572,0.3555,0.4432,0.3777,0.1779,0.1218,0.1572,0.3555,0.4306,0.3772,0.1711,0.1218,0.1572,0.3565,0.4381,0.3934,0.1749,0.1206,0.1572,0.3555,0.4324,0.3831,0.1779,0.1218,0.1572,0.3555,0.4324,0.3838,0.3838,0.1741,0.1218,0.1572,0.3555,0.435,0.3826,0.1832,0.1218,0.1572,0.3555,0.4317,0.3988,0.18,0.1302,0.1572,0.3555,0.431,0.3868,0.1711,0.1218,0.1572,0.3555,0.4378,0.3826,0.1826,0.1218,0.1572,0.3555,0.4262,0.3777,0.1749,0.1206,0.1572,0.3517,0.4317,0.3777,0.1726,0.1218,0.1572,0.3555,0.4245,0.3784,0.1764,0.1218,0.1572,0.3555,0.4317,0.385,0.1824,0.1206,0.1572,0.3555,0.4432,0.3747,0.1741,0.1195,0.1572,0.3555,0.4241,0.3772,0.1951,0.1302,0.1572,0.3555,0.4381,0.3765,0.1794,0.1218,0.1572,0.3555,0.4442,0.3838,0.1779,0.1218,0.1572,0.3555,0.4414,0.3946,0.1652,0.1234,0.1572,0.3555,0.4442,0.3934,0.1696,0.1218,0.1572,0.3555,0.4317,0.3838,0.1679,0.1218,0.1572,0.3555,0.4262,0.3838,0.1809,0.1206,0.1572,0.3555,0.4262,0.385,0.1785,0.1291,0.1572,0.3555,0.4455,0.4248,0.3922,0.1696,0.1218,0.1572,0.3555
0.4324,0.385,0.1824,0.1218,0.1572,0.3555,0.4317,0.373,0.1756,0.1218,0.1572,0.3555,0.4526,0.3831,0.1839,0.1206,0.1572,0.3555,0.4371,0.385,0.1889,0.1387,0.1572,0.3599,0.4262,0.3813,0.1652,0.1206,0.1572,0.3555,0.4324,0.3717,0.177,0.1218,0.1572,0.3555,0.4252,0.3705,0.1788,0.1218,0.1572,0.3555,0.4432,0.3826,0.1779,0.1218,0.1572,0.3555,0.4324,0.3826,0.1711,0.1218,0.1572,0.3565,0.4381,0.3934,0.1749,0.1206,0.1572,0.3555,0.4324,0.3988,0.1779,0.1218,0.1572,0.3555,0.4324,0.3838,0.3838,0.186,0.1218,0.1572,0.3555,0.4954,0.3826,0.1832,0.1218,0.1572,0.3555,0.4317,0.3988,0.18,0.1302,0.1572,0.3555,0.431,0.3868,0.1785,0.1218,0.1572,0.3555,0.4378,0.3838,0.1826,0.1218,0.1572,0.3555,0.4262,0.3777,0.1749,0.1206,0.1572,0.3555,0.4317,0.3777,0.1726,0.1218,0.1572,0.3555,0.4245,0.3784,0.1764,0.1218,0.1572,0.3555,0.4371,0.385,0.1824,0.1206,0.1572,0.3555,0.4432,0.3772,0.1756,0.1195,0.1572,0.3555,0.4241,0.3838,0.1951,0.1444,0.1572,0.3555,0.4381,0.3765,0.1794,0.1218,0.1572,0.3555,0.4442,0.3838,0.1779,0.1218,0.1572,0.3555,0.4414,0.3946,0.1824,0.1234,0.1572,0.3555,0.4442,0.3934,0.1794,0.1218,0.1572,0.3555,0.4317,0.3838,0.1794,0.1218,0.1572,0.3555,0.4262,0.3916,0.1936,0.1206,0.1572,0.3555,0.4378,0.385,0.1785,0.1291,0.1572,0.3555,0.4455,0.4324,0.3922,0.1711,0.1218,0.1572,0.3555
0.4324,0.385,0.1824,0.1218,0.1572,0.3555,0.4317,0.3838,0.1756,0.1218,0.1572,0.3555,0.4526,0.3831,0.1839,0.1206,0.1572,0.3555,0.4371,0.385,0.1889,0.1387,0.1572,0.3599,0.4306,0.3813,0.1741,0.1206,0.1572,0.3555,0.4324,0.3868,0.177,0.1218,0.1572,0.3555,0.4324,0.3705,0.1788,0.1218,0.1572,0.3555,0.4442,0.3826,0.1779,0.1218,0.1572,0.3555,0.4324,0.3826,0.1711,0.1218,0.1572,0.3565,0.4381,0.3934,0.1809,0.1206,0.1572,0.3555,0.4324,0.3988,0.1779,0.1218,0.1572,0.3555,0.4379,0.3838,0.3838,0.186,0.1218,0.1572,0.3555,0.4954,0.3826,0.1832,0.1218,0.1572,0.3555,0.4371,0.3988,0.1824,0.1302,0.1572,0.3555,0.4317,0.3868,0.1785,0.1218,0.1572,0.3555,0.4378,0.3892,0.1826,0.1218,0.1572,0.3555,0.4262,0.3777,0.1749,0.1206,0.1572,0.3555,0.4317,0.3777,0.1773,0.1218,0.1572,0.3555,0.4245,0.3784,0.1892,0.1218,0.1572,0.3555,0.4371,0.385,0.1824,0.128,0.1572,0.3555,0.4432,0.3772,0.1794,0.1444,0.1572,0.3555,0.4241,0.3838,0.1951,0.1444,0.1572,0.3555,0.4381,0.3765,0.1794,0.1218,0.1572,0.3555,0.4634,0.3838,0.1794,0.1302,0.1572,0.3555,0.4414,0.3946,0.1966,0.1234,0.1572,0.3555,0.4442,0.3934,0.1794,0.1218,0.1572,0.3555,0.4627,0.3838,0.1794,0.1218,0.1572,0.3555,0.432,0.3916,0.1936,0.1206,0.1572,0.3555,0.4378,0.385,0.1785,0.1291,0.1572,0.3555,0.4455,0.4324,0.3934,0.1711,0.1218,0.1572,0.3555
0.4324,0.385,0.1824,0.1218,0.1572,0.3555,0.4324,0.3838,0.1756,0.1218,0.1572,0.3555,0.4526,0.3831,0.1839,0.1206,0.1572,0.3555,0.4371,0.385,0.1889,0.1387,0.1572,0.3599,0.4306,0.3813,0.1839,0.1206,0.1572,0.3555,0.4378,0.3868,0.177,0.1218,0.1572,0.3555,0.4324,0.3759,0.1788,0.1218,0.1572,0.3555,0.4442,0.388,0.1779,0.1218,0.1572,0.3555,0.4324,0.3826,0.1756,0.1218,0.1572,0.3565,0.4381,0.3934,0.1809,0.1206,0.1572,0.3555,0.4324,0.3988,0.1779,0.1218,0.1572,0.3555,0.4379,0.3855,0.3838,0.186,0.1218,0.1572,0.3555,0.4954,0.3826,0.1832,0.1444,0.1572,0.3555,0.4381,0.3988,0.1824,0.1302,0.1572,0.3555,0.4317,0.3868,0.1785,0.1218,0.1572,0.3555,0.4378,0.3892,0.1826,0.1314,0.1572,0.3555,0.4324,0.3777,0.1749,0.1206,0.1572,0.3555,0.4317,0.3784,0.1773,0.1218,0.1572,0.3555,0.4262,0.3784,0.1892,0.1218,0.1572,0.3555,0.4371,0.385,0.1824,0.128,0.1572,0.3555,0.4526,0.3772,0.1794,0.1444,0.1572,0.3555,0.4248,0.3838,0.1951,0.1444,0.1572,0.3555,0.4442,0.3831,0.1794,0.1218,0.1572,0.3555,0.4634,0.3838,0.1853,0.1302,0.1572,0.3555,0.4414,0.3946,0.1981,0.1234,0.1572,0.3555,0.4442,0.3934,0.1966,0.1218,0.1572,0.3555,0.4627,0.3838,0.1794,0.1218,0.1572,0.3555,0.4371,0.3916,0.1936,0.1206,0.1572,0.3555,0.4378,0.385,0.1862,0.1291,0.1572,0.3555,0.4455,0.4324,0.3934,0.1711,0.1218,0.1572,0.3555
