0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
-1.2098127,-0.9849601,-1.1748177,-0.9686175,-1.1645732,-1.0100191,-0.9648403,-0.9876625,-1.1104081,-0.995719,-1.1145758,-1.1395493,-1.1393865,-1.2023813,-1.0565867,-1.1048855,-1.0496494,-1.1035149,-0.9533502,-1.1134226,-1.0065337,-1.0514051,-1.0235962,-1.1328199,-1.0151127,-1.0372685,-1.0900533,-1.1283486,-1.1019803,-1.0558507,-1.0278031,-1.1172702,-1.0575909,-1.0903932,-0.892784,-1.0281295,-0.9899951,-1.2047353,-1.2167499,-1.0852379,-0.9818075,-0.9076746,-0.9751249,-1.0985379,-0.9761601,-1.2524673,-1.0398237,-0.8995717,-1.0040382,-0.9428126,-1.1906009,-1.037387,-0.9469011,-1.1777156,-1.1260217,-1.1919852,-0.9813669,-1.0732739,-0.9091068,-1.089282,-1.0608382,-0.9353368,-0.9942584,-1.0340936,-0.956115,-1.0767727,-0.9675073,-1.0834563,-1.1030927,-1.0100159,-1.1327632,-1.1828457,-0.7787816,-1.1598026,-0.9026033,-0.945092,-1.0969044,-0.9208251,-1.1430179,-1.1882606,-1.042439,-1.1304823,-0.9117521,-1.0940281,-1.0302139,-0.9470201,-1.2232951,-1.0579209,-0.8818758,-1.286699,-0.8925096,-1.0072055,-1.074806,-1.0015446,-1.102306,-0.9295336,-1.0538626,-0.9099798,-1.0072677,-0.9820634,-1.0708376,-1.1133192,-0.8796283,-0.8368382,-1.1384454,-1.1916583,-0.9514415,-0.9505734,-1.0320217,-1.0160554,-1.0208758,-1.035785,-1.0405606,-1.0115718,-0.8930263,-0.8274933,-0.8000467,-1.0936474,-1.0476377,-0.9880616,-1.0747825,-0.8925876,-1.1288735,-1.2636782,-0.8402229,-1.1093382,-1.0996057,-1.0127418,-0.9477108,-1.1235403,-1.0464205,-0.8909465,-1.0849374,-1.123465,-0.928996,-1.2942318,-1.1901706,-0.9279447,-1.0043139,-0.83654,-1.0927769,-1.2068262,-1.1566522,-1.1840341,-1.1643555,-1.0021652,-1.0473757,-1.1149159,-1.0009281,-1.0507506,-0.9681099,-0.9575449,-1.0866566,-1.0732624,-0.9294141,-1.1316647,-0.7923674,-1.1591098,-1.2368635,-1.2366722,-1.1135132,-0.9674844,-1.0744312,-0.9553472,-0.9920546,-1.2595128,-1.1109898,-1.0024782,-1.2692162,-1.002595,-1.0909233,-1.1288623,-1.0551856,-1.2786822,-0.9303245,-1.0454543,-1.159499,-1.1754722,-1.1102361,-1.0124835,-0.8929895,-1.2269678
-0.7125326,-0.6241608,-0.7422334,-0.5876426,-0.6980357,-0.5918738,-0.6241869,-0.5189586,-0.6460116,-0.6091677,-0.6718924,-0.6322071,-0.6184396,-0.6918266,-0.543146,-0.7149593,-0.6621412,-0.6686558,-0.6124692,-0.7221208,-0.6012615,-0.6503769,-0.6085091,-0.7536656,-0.5055987,-0.6317268,-0.7086192,-0.7196495,-0.5826634,-0.7342323,-0.6484649,-0.6721858,-0.6420121,-0.6598696,-0.5410468,-0.6619069,-0.5695975,-0.7191066,-0.7038773,-0.579264,-0.6014315,-0.5215294,-0.5771095,-0.7086199,-0.5659625,-0.7648878,-0.565588,-0.6322601,-0.6230783,-0.5326935,-0.7270428,-0.7420072,-0.4768477,-0.6346042,-0.6600119,-0.8046335,-0.6643195,-0.65391,-0.5627491,-0.6102749,-0.6537182,-0.5903741,-0.6173316,-0.6000476,-0.5370093,-0.6705506,-0.5705919,-0.6526242,-0.7324725,-0.5641353,-0.8080952,-0.7242361,-0.4792584,-0.6555576,-0.4959732,-0.5780836,-0.6635295,-0.4880304,-0.706775,-0.7775996,-0.6185098,-0.6885383,-0.5993441,-0.6262832,-0.5762401,-0.5998674,-0.7291249,-0.6075617,-0.5780812,-0.8075773,-0.5207591,-0.4980814,-0.631914,-0.5773563,-0.6277979,-0.5962563,-0.6121864,-0.3739864,-0.5358935,-0.564788,-0.6605644,-0.6382661,-0.5414062,-0.4578543,-0.6455416,-0.689442,-0.5314687,-0.5469254,-0.6347208,-0.5480543,-0.6448779,-0.6663808,-0.6175369,-0.6049773,-0.4610643,-0.4338237,-0.460096,-0.675343,-0.5948184,-0.6091684,-0.7028312,-0.5705549,-0.638044,-0.7732232,-0.4463199,-0.5893286,-0.7037059,-0.5339785,-0.6060848,-0.6975962,-0.5936367,-0.5012906,-0.6152389,-0.6981859,-0.5392192,-0.7322914,-0.8213283,-0.6157945,-0.5000239,-0.512179,-0.6707195,-0.7434233,-0.7500052,-0.6593029,-0.6871372,-0.6237181,-0.6154312,-0.6643908,-0.5310554,-0.6449684,-0.517259,-0.5913488,-0.7094127,-0.7095677,-0.6469386,-0.7592909,-0.3992613,-0.7033502,-0.844611,-0.7331425,-0.7098799,-0.6055628,-0.704536,-0.5637888,-0.6976945,-0.6947558,-0.6895612,-0.5872104,-0.7139229,-0.6737179,-0.6434419,-0.6635567,-0.6933679,-0.7733971,-0.5034261,-0.6482882,-0.7158528,-0.5910839,-0.6758084,-0.7137449,-0.5216708,-0.7652465
-0.4153479,-0.3799394,-0.3542412,-0.4281498,-0.4532333,-0.3416273,-0.2771401,-0.2652939,-0.4142323,-0.2981555,-0.4422877,-0.3265919,-0.3107344,-0.4050993,-0.3287002,-0.4186883,-0.3165805,-0.3898232,-0.3520965,-0.3791578,-0.4087795,-0.4368061,-0.35997,-0.4336493,-0.2916922,-0.4205525,-0.4084554,-0.377325,-0.3031347,-0.4557741,-0.4842488,-0.3531208,-0.3961851,-0.35615,-0.2398586,-0.3845203,-0.3175232,-0.4324311,-0.2913661,-0.3632554,-0.3222518,-0.2546364,-0.3052786,-0.4376588,-0.3923757,-0.4879753,-0.4033837,-0.4114869,-0.3302326,-0.3530901,-0.4899435,-0.4939418,-0.2220686,-0.334141,-0.3506253,-0.4018091,-0.4268816,-0.3923195,-0.2982741,-0.2988823,-0.438335,-0.3317044,-0.3746088,-0.3424425,-0.325511,-0.385712,-0.3435939,-0.3219461,-0.4893141,-0.2900573,-0.4767934,-0.4539851,-0.3117931,-0.321481,-0.2529537,-0.2923488,-0.3540177,-0.2719473,-0.3041745,-0.4589252,-0.3768511,-0.4525634,-0.351085,-0.3879657,-0.336589,-0.3295275,-0.287808,-0.325755,-0.3330633,-0.3490535,-0.2862542,-0.2738854,-0.3483705,-0.3467638,-0.3166656,-0.3153576,-0.3257764,-0.2221614,-0.2347647,-0.3597739,-0.3465989,-0.4567904,-0.3138987,-0.2494393,-0.3970189,-0.4807766,-0.2524763,-0.28136,-0.3552168,-0.2533459,-0.3161924,-0.3802377,-0.3736421,-0.2974455,-0.2148214,-0.1726659,-0.2131349,-0.3660795,-0.3635143,-0.3459412,-0.3432453,-0.3571068,-0.3899191,-0.4526392,-0.29878,-0.2501226,-0.2966975,-0.2458482,-0.3495992,-0.4461579,-0.3107617,-0.2873535,-0.3626928,-0.3252547,-0.3131954,-0.3983395,-0.4263476,-0.386129366667,-0.2624773,-0.3076937,-0.5119753,-0.4615362,-0.4622528,-0.3517658,-0.3295808,-0.3233974,-0.3446999,-0.429181,-0.3170994,-0.2916026,-0.2123207,-0.3196643,-0.3979966,-0.3872337,-0.3164824,-0.4205845,-0.2700293,-0.280331,-0.4278731,-0.4909449,-0.3992253,-0.3678179,-0.410369,-0.2759692,-0.401197,-0.4347559,-0.395055,-0.3451011,-0.4479463,-0.4255422,-0.4221417,-0.4551957,-0.4037328,-0.4732926,-0.2463257,-0.2499899,-0.338146,-0.3837035,-0.365115,-0.407812,-0.3374271,-0.4978729
-0.2335138,-0.1815778,-0.2258352,-0.2418051,-0.2083884,-0.1715051,-0.1314649,-0.1388559,-0.2044853,-0.1622113,-0.2703321,-0.1120358,-0.148151,-0.1469522,-0.1733381,-0.2788915,-0.134022,-0.1882766,-0.2105992,-0.1667911,-0.1955532,-0.2952989,-0.1526833,-0.1885961,-0.1564606,-0.202979,-0.2203307,-0.1690517,-0.1904729,-0.2571071,-0.2527933,-0.1779032,-0.2373033,-0.1744124,-0.0769907333333,-0.1943962,-0.1288096,-0.1981334,-0.1366086,-0.1770594,-0.1751047,-0.1476772,-0.1652923,-0.2576898,-0.2293238,-0.3275347,-0.1875025,-0.2509802,-0.1516879,-0.1737881,-0.3295811,-0.2561038,-0.0872688,-0.109745,-0.1901093,-0.1569062,-0.2484497,-0.1716878,-0.1519109,-0.1279316,-0.223688,-0.1660989,-0.2420759,-0.2207244,-0.1669307,-0.1758695,-0.1838592,-0.1979455,-0.2158169,-0.1399503,-0.2419225,-0.3487841,-0.1627347,-0.1197056,-0.1355995,-0.1819146,-0.1863247,-0.1375011,-0.1672032,-0.224367,-0.1977457,-0.2383501,-0.2450032,-0.2228652,-0.2011846,-0.1792328,-0.1300675,-0.1959661,-0.1761655,-0.2200649,-0.1628464,-0.1078799,-0.1806828,-0.2451368,-0.2140365,-0.1687793,-0.1209623,-0.0968744,-0.1457357,-0.2007265,-0.1321354,-0.301608,-0.1567366,-0.1469615,-0.1676991,-0.2996199,-0.1315053,-0.1271997,-0.1351058,-0.1418959,-0.1007281,-0.1970463,-0.2017695,-0.1887974,-0.0945507,-0.0125527,-0.0628258,-0.2400394,-0.2033818,-0.2272651,-0.1961491,-0.1309347,-0.2073171,-0.2456614,-0.1335089,-0.1854284,-0.138912,-0.1132844,-0.1430595,-0.2559527,-0.1482079,-0.1739087,-0.1893094,-0.1313273,-0.1471147,-0.2178132,-0.2674228,-0.1767875,-0.1304169,-0.1436639,-0.2252156,-0.3100298,-0.3302251,-0.1475221,-0.0947781,-0.143245,-0.1975853,-0.1879764,-0.2083519,-0.1038474,-0.121297,-0.154492,-0.2054844,-0.2719516,-0.1883146,-0.225209,-0.0877899,-0.1084664,-0.2273842,-0.3711238,-0.2051201,-0.2062853,-0.1647232,-0.0905828,-0.2221187,-0.2739404,-0.2355164,-0.2012865,-0.2154639,-0.2864208,-0.2541856,-0.2075281,-0.3024305,-0.2893666,-0.1044621,-0.1430851,-0.1948491,-0.2061225,-0.1385048,-0.2692294,-0.2025669,-0.2165467
-0.1139245,-0.06214,-0.1146632,-0.1016427,-0.0544004,-0.0399541,-0.0538831,-0.0373046,-0.0847246,-0.1005334,-0.1795433,-0.0081332,-0.0062445,-0.0356695,-0.0531396,-0.1274411,-0.0277666,-0.1321416,-0.0523241,-0.0295686,-0.1219336,-0.1944284,-0.0731555,-0.0879878,-0.0795229,-0.0627114,-0.1245803,-0.0968004,-0.1010312,-0.1420675,-0.1061188,-0.010831,-0.1098532,-0.0971023,0.0172214,-0.0606581,-0.010849,-0.0885527,-0.0708955,-0.0945058,-0.0418097,-0.0492636,-0.0090263,-0.1038086,-0.1402875,-0.10353,-0.1352194,-0.1297284,-0.0735516,-0.0629,-0.1753549,-0.1402416,-0.0073951,0.0060532,-0.0517377,-0.0660644,-0.1237511,-0.1075782,-0.0506583,0.0066188,-0.1063308,-0.0125451,-0.1087298,-0.1052688,-0.0829783,-0.0355215,-0.057686,-0.0898712,-0.1049434,-0.0503385,-0.1616904,-0.2576292,-0.0404483,0.0053761,-0.0129458,-0.0773351,-0.0810903,-0.0436369,-0.0339556,-0.137452,-0.0496185,-0.12006,-0.1535245,-0.1091826,-0.0823149,-0.0692536,-0.0582434,-0.0652416,-0.0367283,-0.1071869,-0.084277,0.0230718,-0.0516684,-0.1484509,-0.1198718,-0.0747262,0.0058507,-0.0197668,-0.0085549,-0.1350854,-0.0484658,-0.1706476,-0.0782836,-0.0241816,-0.0340144,-0.1323304,-0.0754495,-0.0510148,-0.0211997,-0.005348,-0.0189706,-0.0981432,-0.1262665,-0.0755081,0.0215058,0.0708011,0.0501236,-0.1103141,-0.0767703,-0.1043644,-0.1188418,-0.0126047,-0.0617932,-0.1253245,-0.0926949,-0.1096574,-0.0421088,-0.0182391,-0.0983592,-0.0786553,-0.0834058,-0.087974,-0.0836619,0.0607952,-0.0365594,-0.1214121,-0.1524037,-0.0767375,-0.0018541,0.0123862,-0.1244582,-0.2011197,-0.2355498,-0.0331593,-0.0311399,-0.0239102,-0.0709134,-0.1434689,-0.1057622,-0.0134744,-0.0351291,-0.0377007,-0.0846857,-0.1214764,-0.11334,-0.1244871,0.0028951,0.0005248,-0.1099404,-0.2726401,-0.0927301,-0.1585991,-0.0701201,-0.0020168,-0.106902,-0.1369914,-0.1907401,-0.1205027,-0.125433,-0.1262857,-0.0910132,-0.1112748,-0.1776962,-0.0819482,-0.0261836,0.0338983,0.0221197,-0.0509247,-0.0451092,-0.1504318,-0.1077714,-0.09579
0.0208886,-0.0114394,-0.0248257,-0.0409449,0.0108396,0.0387596,0.0642589,0.0306253,-0.0275974,-0.0097459,-0.1015008,0.0429778,0.1046895,0.0395477,-0.0009416,-0.0492288,0.0317,0.0042365,0.0323954,0.0431482,-0.0127615,-0.0995908,-0.0445865,-0.0469427,0.019183,-0.0134154,-0.0622488,-0.0288734,-0.007626,-0.011239,0.0085499,0.038047,-0.0399995,-0.0425022,0.0521542,0.0282675,0.0693527,-0.0296853,-0.0150798,-0.042122,0.0127624,0.0495384,0.0940351,-0.0288469,-0.0499095,-0.0588516,-0.0547246,-0.0541541,-0.0194488,0.0245892,-0.1135106,-0.1153758,0.0609591,0.0742036,0.0561635,0.0183591,-0.0432392,-0.0783143,0.0025073,0.0619692,0.0037408,0.05552,-0.0623963,-0.0305736,-0.0301672,0.019091,0.0046377,0.0543247,0.0106426,-0.0172355,-0.110808,-0.1271091,-0.0086051,0.0739914,0.020608,-0.0232904,-0.0075784,0.0356182,0.0487994,-0.0644916,0.0177213,-0.058218,-0.1116881,0.013551,-0.0055595,0.0368887,0.0484892,-0.0134895,0.0088788,-0.0330356,0.0539402,0.0572317,0.0563944,-0.0126991,-0.0584937,-0.0322727,0.0632206,0.0217547,0.043749,-0.080373,-0.0265774,-0.0628945,0.0088665,0.0247749,0.0206312,-0.0707714,-0.0329559,0.0103309,0.0349459,0.0602978,0.075457,-0.0371678,-0.0538448,-0.01059,0.0799956,0.1352254,0.0958569,-0.0368356,-0.0023083,-0.0390565,0.0043616,0.0522423,0.029902,-0.0596496,-0.0144995,-0.0290057,0.0025536,0.0736478,0.0108756,-0.0316751,-0.0296668,0.0091862,0.013871,0.1179936,0.0375094,-0.0390942,-0.064835,-0.0027333,0.0611383,0.0995553,0.0143366,-0.0769966,-0.1083508,0.0217168,0.0314576,0.0737541,0.024053,-0.0889867,-0.0341712,0.0129162,0.0202399,0.0212593,-0.002175,-0.0449754,-0.048804,-0.0174084,0.030843,0.0532918,-0.0406298,-0.070709,-0.0465613,-0.1049404,0.0413824,0.0580951,-0.0155759,-0.057479,-0.0960588,-0.0002144,-0.016879,0.0469051,-0.0190862,-0.0261987,-0.0985768,-0.028097,0.0333151,0.1125952,0.0749681,0.0434246,-0.0145348,-0.0605217,-0.0005916,-0.0218386
0.1316261,0.0492694,-0.010266,-0.0086377,0.0326146,0.0762916,0.0998605,0.0854329,0.0249302,0.0113418,-0.0078946,0.080018,0.1310364,0.0776256,0.0366804,-0.021548,0.0596062,0.0547571,0.1221254,0.0683862,0.0135814,-0.0651411,0.0184738,0.03051,0.093146,0.0190111,-0.0242796,-0.0052992,0.0437885,0.018616,0.1047637,0.0936164,0.0333212,-0.0244371,0.0649474,0.1175552,0.1471613,0.0406961,0.0178777,-0.0242859,0.0347402,0.0809545,0.1412327,0.0285794,0.0145506,0.0035289,-0.0142828,0.0440846,0.0264358,0.0525686,-0.0510492,-0.0692239,0.0930056,0.1166185,0.1200586,0.0796664,-0.0036364,-0.0640449,0.0328109,0.1067983,0.0805981,0.1028576,0.0301259,-0.0033662,0.0489886,0.0398372,0.070905,0.1026901,0.057209,0.0362689,-0.0391364,-0.0166925,0.0598321,0.139881,0.0673548,0.005782,0.0072512,0.071119,0.118207,0.0389444,0.067593,0.0092779,-0.0380987,0.049309,0.057848,0.1055813,0.1002232,0.037683,0.0178854,0.0411797,0.1000614,0.1366022,0.0734874,0.0192087,-0.0423182,0.017219,0.1423186,0.1054055,0.0924937,-0.0318948,0.0187342,-0.0151223,0.048749,0.100266,0.0432096,-0.02561,0.0069844,0.043307,0.0804724,0.1192508,0.1152868,0.0030802,-0.0037114,0.0190539,0.1029408,0.1775064,0.132294,0.0059906,0.0132649,0.0199556,0.0746286,0.1104338,0.0959356,0.0114202,0.0104454,0.0101216,0.0201354,0.1465728,0.0442126,0.0183345,0.0128227,0.044043,0.0525304,0.1562104,0.097083,0.0067035,-0.0440522,0.0289757,0.1186846,0.150666,0.0476498,-0.0028204,-0.0730046,0.070934,0.0841,0.1162885,0.0539842,-0.025023,-0.0050676,0.0593699,0.0909202,0.0883984,0.052208,-0.0072549,-0.0363324,0.0236644,0.0866164,0.0991419,0.0037436,-0.0457537,-0.0375644,0.0140952,0.0943352,0.1076365,0.0334454,-0.0141908,-0.0478037,0.0406656,0.0958438,0.1243349,0.0322965,0.0217133,-0.0463352,0.0210686,0.0935785,0.1377238,0.1220868,0.1080735,0.0120438,-0.0112099,0.0528222,0.0550146
0.1906965,0.1043922,0.014941,0.0283662,0.054708,0.1097888,0.13734,0.1517216,0.0462834,0.0257258,0.0496516,0.1234594,0.182396,0.1304184,0.0565434,0.0109416,0.0983331,0.1067106,0.188308,0.1267386,0.0377886,-0.032029,0.0511885,0.0878332,0.1281572,0.102575,0.0099751,0.0041318,0.0704435,0.0649338,0.1821868,0.115197,0.0655648,-0.015832,0.0826212,0.1298156,0.1830973,0.0924846,0.0484666,0.0277964,0.043464,0.1115141,0.1710032,0.0848392,0.0208022,0.0396436,0.0592604,0.0788302,0.0970483,0.1229646,-0.0150589,-0.0136563,0.1035086,0.1381546,0.153363,0.1037424,0.0133346,-0.0218002,0.0685922,0.1446941,0.1363766,0.160533,0.0376593,0.0275312,0.0943174,0.0827284,0.1329681,0.1270017,0.1392422,0.0532302,0.0112322,0.0009581,0.0908607,0.1808768,0.1005199,0.0488558,0.0284694,0.0926164,0.1649275,0.134339,0.138359,0.0257722,0.0009768,0.083716,0.0932158,0.1741622,0.1513928,0.0405378,0.0355588,0.0743772,0.1273028,0.1740352,0.129948,0.0291254,-0.0223084,0.0783048,0.165277,0.1551849,0.1321738,-0.0271836,0.0287642,-0.0006347,0.0895926,0.1219172,0.0826016,0.0084819,0.0271614,0.063435,0.0979958,0.1511698,0.1505702,0.018241,0.01928,0.0572472,0.1337059,0.210094,0.1678804,0.0483078,0.033046,0.0683838,0.1061763,0.1578594,0.1209702,0.0281632,0.0256293,0.0346898,0.0857565,0.188017,0.0740426,0.0269025,0.0171531,0.0589896,0.0877946,0.19863,0.1258288,0.0275446,-0.0326842,0.0509291,0.1462276,0.1785466,0.0837282,0.0303318,-0.0532712,0.0900702,0.132089,0.1713398,0.1050278,0.009447,0.019582,0.0839296,0.1450384,0.1770929,0.1107849,0.0110604,-0.012841,0.0600733,0.1353238,0.1499604,0.1152376,0.0087125,0.022507,0.0537226,0.1353972,0.1496595,0.0744756,0.0170322,-0.0336108,0.0608305,0.1685014,0.1666595,0.0778751,0.0349023,0.0269342,0.0597078,0.1382306,0.2007196,0.153561,0.1430437,0.0402602,0.012337,0.0813256,0.079379
0.2149021,0.153647,0.0465926,0.0365674,0.067335,0.1534976,0.1593848,0.1738746,0.062543,0.0564636,0.0731238,0.1354366,0.2072624,0.17392,0.0679338,0.0153906,0.1043726,0.1240096,0.2194942,0.1695546,0.05081,0.0063964,0.0795468,0.1301758,0.1613712,0.1451848,0.0491589,0.0155494,0.0809205,0.1051226,0.225918,0.1387509,0.0718182,-0.0013372,0.0997018,0.1670945,0.2198533,0.1434326,0.0746284,0.0327072,0.0628112,0.1280913,0.1907262,0.1272078,0.0408278,0.0516936,0.0813288,0.1050417,0.1486219,0.149286,0.0229421,0.0222524,0.1149996,0.1591662,0.1793274,0.13983,0.0411858,0.0048924,0.0837708,0.1798517,0.1918816,0.187242,0.0566274,0.0361414,0.1037552,0.1172475,0.172616,0.1450665,0.158563,0.0627766,0.0376608,0.0648336,0.1387299,0.2141534,0.1408544,0.0706996,0.0449772,0.1015474,0.1835695,0.1702162,0.1594572,0.0485084,0.0204833,0.0977916,0.1442102,0.2006014,0.1737036,0.0669958,0.046262,0.095193,0.1653304,0.189,0.17075,0.0622756,0.0319856,0.0877338,0.1808812,0.1843572,0.1525154,-0.020292,0.048739,0.0371022,0.1295438,0.1881848,0.1082443,0.0570542,0.0396404,0.075251,0.1503772,0.1997044,0.1737338,0.040168,0.0647034,0.0710286,0.1643165,0.2326166,0.2049368,0.0575314,0.0381756,0.0809244,0.1249146,0.1845416,0.1483976,0.0411894,0.0414652,0.0607337,0.1260454,0.2124492,0.1392562,0.0365311,0.047591,0.0820788,0.1246642,0.2204584,0.1483786,0.053945,-0.0138807,0.0957853,0.1724902,0.2017458,0.1233282,0.0536466,-0.0287401,0.0949418,0.1659748,0.2239916,0.1195928,0.023205,0.0451482,0.100173,0.1752478,0.2072784,0.1583638,0.057982,0.0168168,0.0751502,0.1663092,0.1970694,0.147937,0.0351304,0.0309924,0.0996454,0.16449,0.1962302,0.1144088,0.0305126,0.0019021,0.0823624,0.1815214,0.2128052,0.1219647,0.0470916,0.0264334,0.075647,0.1547876,0.2168372,0.1947344,0.1712026,0.0454234,0.0504672,0.0903558,0.1065866
0.2284659,0.1759092,0.0717942,0.039686,0.0741558,0.1667236,0.1789624,0.1900958,0.083572,0.0639256,0.0928282,0.1608572,0.2291704,0.1951158,0.0770856,0.0218696,0.1201322,0.1544302,0.2406908,0.191493,0.060392,0.0165548,0.0871876,0.147029,0.1927424,0.162776,0.0668396,0.041206,0.0871171,0.122848,0.2435088,0.1632923,0.0799074,0.0059683,0.1104098,0.1763791,0.2424179,0.1691238,0.0826028,0.0368362,0.0687156,0.1294683,0.2361846,0.1486006,0.0500972,0.0590638,0.0910661,0.1384117,0.1821147,0.1697298,0.0737797,0.0521546,0.130281,0.1967212,0.20849,0.1621782,0.0490746,0.0116946,0.0907912,0.1956186,0.2120362,0.2269848,0.0613986,0.056189,0.109257,0.139975866667,0.1959408,0.1748664,0.1743272,0.079514,0.0412538,0.0824196,0.165902,0.2364898,0.1572648,0.0910872,0.0605218,0.1061732,0.1979695,0.1920722,0.1763464,0.0608616,0.0455978,0.103428,0.157329,0.2361282,0.1904226,0.0774584,0.0540746,0.1031108,0.1779456,0.2060364,0.2008984,0.0742124,0.0481354,0.1015402,0.195681,0.2079137,0.1722598,-0.0050045,0.0596086,0.0522506,0.15023,0.2016528,0.1417628,0.066019,0.0570962,0.085014,0.169307,0.2194028,0.1970516,0.0714536,0.0690008,0.082042,0.1864862,0.2475592,0.2261544,0.0655224,0.0442938,0.102836,0.1561793,0.2332004,0.1898236,0.066279,0.0452342,0.1008816,0.1660296,0.2246526,0.1605966,0.0463051,0.051583,0.0897194,0.1410272,0.256979,0.1721582,0.0841596,0.020419,0.1162735,0.1958886,0.2309234,0.1454948,0.0657954,0.0316933,0.1063018,0.1799858,0.2391374,0.1356424,0.0535564,0.0501906,0.108253,0.1845488,0.2340438,0.1758234,0.0767178,0.0257404,0.083476,0.1786408,0.2153484,0.1868914,0.0584623,0.0400316,0.1144272,0.1966048,0.237133,0.1529798,0.0562742,0.0314276,0.0955308,0.1949786,0.2336606,0.1862039,0.0599766,0.0337646,0.0782314,0.186097,0.2351318,0.2150044,0.193905,0.068837,0.0559714,0.100929,0.1338526
