0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.035,0.0764,0.0417,0.0764,0.0394,0.0764,0.0385,0.0764,0.0371,0.0764,0.0363,0.0764,0.0405,0.0764,0.0373,0.0764,0.0331,0.0755,0.0328,0.0764,0.0402,0.0764,0.0371,0.0764,0.0328,0.0764,0.0354,0.0764,0.0386,0.0764,0.0381,0.0764,0.0331,0.0764,0.0365,0.0758,0.0363,0.0782,0.0393,0.0764,0.0371,0.0718,0.0329,0.0764,0.0363,0.0764,0.0361,0.0764,0.0363,0.0764,0.0344,0.0754,0.0344,0.0764,0.0424,0.0764,0.0342,0.0764,0.0394,0.0764
0.035,0.0764,0.0417,0.0764,0.0394,0.0764,0.0385,0.0764,0.0371,0.0764,0.0373,0.0764,0.0405,0.0764,0.0373,0.0764,0.0331,0.0764,0.0328,0.0804,0.0402,0.0764,0.0371,0.0764,0.0343,0.0764,0.0367,0.0764,0.0386,0.0764,0.0381,0.0764,0.0376,0.0764,0.0365,0.0758,0.0371,0.0797,0.0393,0.0764,0.0371,0.0718,0.0329,0.0764,0.0402,0.0764,0.0361,0.0764,0.0363,0.0764,0.0371,0.0764,0.0344,0.0764,0.0424,0.0764,0.0348,0.0833,0.0394,0.0764
0.036,0.0764,0.0417,0.0764,0.0437,0.0764,0.0464,0.0764,0.0371,0.0764,0.0373,0.0764,0.0405,0.0787,0.0373,0.0764,0.0359,0.0764,0.0331,0.0804,0.0402,0.0764,0.0371,0.0764,0.0384,0.0764,0.0386,0.0764,0.0393,0.0764,0.0381,0.0764,0.0398,0.0764,0.0367,0.0764,0.0371,0.0797,0.0393,0.0764,0.0379,0.0743,0.0359,0.0764,0.0402,0.0764,0.0405,0.0764,0.0363,0.0764,0.0371,0.0764,0.0344,0.0764,0.0424,0.0764,0.0363,0.0833,0.0415,0.0764
0.0376,0.0764,0.0418,0.0764,0.0437,0.0764,0.0464,0.0764,0.039,0.0764,0.0373,0.0787,0.0405,0.0787,0.0402,0.0764,0.0403,0.0764,0.0349,0.0804,0.0402,0.0764,0.0406,0.0764,0.0384,0.0764,0.0386,0.0764,0.0393,0.0764,0.0396,0.0764,0.0398,0.0764,0.0373,0.0764,0.0402,0.0997,0.0393,0.0764,0.0379,0.0866,0.0383,0.0764,0.0402,0.0764,0.0405,0.0764,0.0413,0.0764,0.0384,0.0764,0.0344,0.0764,0.0424,0.0764,0.0386,0.0833,0.0415,0.0764
0.0376,0.0876,0.0418,0.0764,0.0437,0.0764,0.0464,0.0764,0.039,0.0764,0.0376,0.0787,0.0405,0.0787,0.0402,0.0764,0.0403,0.0764,0.0383,0.0928,0.0402,0.0764,0.0406,0.0764,0.0384,0.0764,0.0386,0.0764,0.0393,0.0764,0.0396,0.0764,0.0405,0.0772,0.0381,0.0764,0.0402,0.0997,0.0395,0.0764,0.0379,0.0866,0.0383,0.0764,0.0402,0.0764,0.041,0.0764,0.0413,0.0764,0.0384,0.0764,0.0371,0.078,0.0424,0.0766,0.0405,0.0833,0.0415,0.0764
0.0394,0.0876,0.0418,0.0764,0.0437,0.0764,0.0464,0.0843,0.039,0.0806,0.0405,0.0787,0.0495,0.0837,0.0402,0.0764,0.0403,0.0764,0.0404,0.0948,0.0402,0.0764,0.0437,0.0764,0.0384,0.0764,0.0386,0.0764,0.0393,0.0764,0.0396,0.0764,0.0459,0.0779,0.0389,0.0764,0.0402,0.1131,0.0395,0.0764,0.0383,0.0891,0.0383,0.0764,0.0402,0.077,0.041,0.0764,0.0413,0.0764,0.0405,0.0764,0.0371,0.078,0.0424,0.0863,0.0461,0.0833,0.0437,0.0764
0.0429,0.0876,0.0418,0.0886,0.0455,0.0764,0.0464,0.0843,0.0447,0.0806,0.0417,0.0787,0.0495,0.0837,0.0402,0.0764,0.0403,0.0764,0.0404,0.0948,0.0436,0.0767,0.0437,0.0764,0.0384,0.0764,0.0386,0.0764,0.0405,0.0879,0.0396,0.0764,0.0459,0.0886,0.0389,0.0764,0.0402,0.1131,0.0398,0.0764,0.0433,0.1031,0.0383,0.0764,0.0402,0.077,0.041,0.0764,0.0413,0.0764,0.0405,0.0764,0.0371,0.094,0.0461,0.0863,0.0461,0.0884,0.0437,0.0773
0.0429,0.0876,0.0486,0.0886,0.0455,0.0764,0.0464,0.0886,0.0447,0.0806,0.0417,0.0787,0.0495,0.0876,0.0412,0.0798,0.0408,0.0764,0.0404,0.0948,0.0463,0.0767,0.0437,0.0764,0.0398,0.0764,0.04,0.0764,0.052,0.0879,0.0407,0.0764,0.0459,0.0886,0.0389,0.0772,0.0402,0.1131,0.0412,0.0764,0.0434,0.1031,0.0398,0.0764,0.0402,0.0821,0.041,0.0764,0.0413,0.0764,0.0446,0.0764,0.0371,0.094,0.0461,0.1008,0.0461,0.0979,0.0464,0.0773
0.0459,0.0876,0.0486,0.0886,0.0455,0.0764,0.0464,0.0897,0.0447,0.0806,0.0417,0.0787,0.0495,0.0876,0.0423,0.0798,0.0408,0.0764,0.0404,0.1017,0.0467,0.0867,0.0437,0.0764,0.0398,0.0764,0.04,0.079,0.052,0.0879,0.0477,0.0764,0.0459,0.0944,0.0389,0.0772,0.0402,0.1131,0.0428,0.0764,0.0434,0.123,0.0434,0.0811,0.0449,0.0935,0.041,0.0791,0.0413,0.0764,0.0446,0.0764,0.0394,0.094,0.0461,0.1008,0.0511,0.1043,0.0464,0.084
0.0555,0.0876,0.0486,0.0886,0.0455,0.0764,0.0464,0.0897,0.0447,0.0917,0.0428,0.0843,0.0495,0.0876,0.0423,0.0798,0.0431,0.0764,0.0404,0.1017,0.0467,0.0867,0.0437,0.0764,0.0458,0.0764,0.0402,0.079,0.052,0.0879,0.0477,0.0764,0.0476,0.0944,0.0417,0.0772,0.0413,0.1131,0.0428,0.0968,0.0486,0.123,0.0435,0.0832,0.0449,0.0935,0.041,0.0791,0.0413,0.0764,0.0446,0.0764,0.0394,0.094,0.0461,0.1008,0.0511,0.1043,0.0464,0.0893
0.0555,0.0876,0.0486,0.099,0.0455,0.0764,0.0464,0.0897,0.0474,0.0917,0.0451,0.0852,0.0495,0.0876,0.0464,0.0864,0.0477,0.0785,0.0423,0.1075,0.0473,0.0867,0.0478,0.0764,0.0458,0.0764,0.0402,0.079,0.052,0.0879,0.0477,0.0764,0.0476,0.0944,0.0417,0.0964,0.0413,0.1131,0.0428,0.0968,0.0486,0.123,0.0479,0.0915,0.0449,0.0935,0.0415,0.0791,0.0413,0.0764,0.0448,0.0764,0.0467,0.094,0.0461,0.1008,0.0511,0.1043,0.0464,0.0893
0.0627,0.0982,0.0486,0.099,0.0455,0.0872,0.0496,0.0897,0.0474,0.0917,0.0493,0.0852,0.0495,0.0876,0.0468,0.0864,0.0515,0.0793,0.0423,0.1075,0.0473,0.0867,0.0478,0.0764,0.0458,0.0764,0.0484,0.079,0.052,0.0879,0.0477,0.0764,0.0476,0.116,0.0477,0.0964,0.0435,0.1131,0.0428,0.0968,0.0486,0.123,0.0526,0.1024,0.0449,0.1031,0.0471,0.0791,0.0413,0.0781,0.0448,0.0764,0.0467,0.094,0.0589,0.1008,0.0511,0.1043,0.0464,0.0893
0.0627,0.0982,0.0493,0.099,0.0455,0.0872,0.0496,0.099,0.0533,0.0978,0.0493,0.0852,0.0495,0.0876,0.0468,0.0864,0.0515,0.0793,0.0477,0.119,0.053,0.0867,0.0478,0.1031,0.051,0.0826,0.0484,0.079,0.052,0.0961,0.0477,0.0764,0.0476,0.1198,0.0477,0.0964,0.0435,0.1131,0.0428,0.0968,0.053,0.123,0.0526,0.1024,0.0449,0.1117,0.0471,0.0791,0.0413,0.092,0.0448,0.0764,0.0467,0.094,0.0589,0.1008,0.0511,0.1084,0.0478,0.0893
