0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-0.193979,-0.210657,-0.193801,-0.2190504,-0.1939224,-0.2213432,-0.20655,-0.2095612,-0.1750112,-0.2086215,-0.2063176,-0.2075895,-0.197303,-0.2107827,-0.161457,-0.2126632,-0.19672705,-0.2242132,-0.1938983,-0.2002473,-0.1964562,-0.21814685,-0.1894465,-0.2254657,-0.2000508,-0.2015414,-0.2016296,-0.2234814,-0.1965957,-0.2174383,-0.1949488,-0.211022,-0.1856687,-0.183163,-0.1789771,-0.211281,-0.186575,-0.1877197,-0.2114221,-0.2080264,-0.1876302,-0.2286761,-0.1866986,-0.2091264,-0.1914799,-0.2190548,-0.1871127,-0.2199376,-0.2059978,-0.1961314,-0.1838625,-0.232504,-0.1930562,-0.1914459,-0.203739,-0.2135292,-0.1957211,-0.21343,-0.181328,-0.2146024
-0.1577654,-0.1958559,-0.1700734,-0.2129606,-0.1563862,-0.1964492,-0.1767619,-0.1956123,-0.1485648,-0.19132205,-0.1737498,-0.1896996,-0.1592364,-0.2001888,-0.1503202,-0.2087273,-0.1782059,-0.2069142,-0.1785471,-0.1917378,-0.1595442,-0.1954458,-0.1683047,-0.2107017,-0.1805413,-0.1897501,-0.1730098,-0.2020296,-0.1731551,-0.1950571,-0.1697171,-0.1949612,-0.17618695,-0.1729567,-0.158256,-0.1943912,-0.1619124,-0.1617657,-0.1845798,-0.1860887,-0.1719598,-0.20849225,-0.1598085,-0.1850594,-0.1735031,-0.2120637,-0.1700772,-0.2154834,-0.1781378,-0.1839856,-0.154696,-0.2190631,-0.1802631,-0.191044,-0.19156055,-0.1920901,-0.1671263,-0.1884935,-0.1798204,-0.2158227
-0.1402686,-0.1762059,-0.152815,-0.195943,-0.1331435,-0.1837552,-0.1491331,-0.183755,-0.1451026,-0.1661353,-0.1498739,-0.1680739,-0.1303951,-0.1942232,-0.1420479,-0.1828494,-0.1485139,-0.1941621,-0.161782,-0.1814594,-0.1483512,-0.1782308,-0.1524771,-0.1949618,-0.160357,-0.175092,-0.146197,-0.1854424,-0.1456137,-0.1701497,-0.1594187,-0.1808609,-0.1455992,-0.1789206,-0.14197655,-0.1840707,-0.1619948,-0.1674365,-0.1682216,-0.1756014,-0.1506889,-0.18311315,-0.1564745,-0.1706692,-0.1532185,-0.1960272,-0.149343,-0.1962047,-0.1469013,-0.1655296,-0.1457034,-0.1912817,-0.1633498,-0.1817603,-0.16164495,-0.1830954,-0.1305168,-0.1782422,-0.1467631,-0.20411225
-0.1093338,-0.1648352,-0.1304955,-0.1690247,-0.129033,-0.1661902,-0.1257425,-0.15781555,-0.1220796,-0.16663645,-0.1444142,-0.1527179,-0.1199973,-0.1772009,-0.1226685,-0.1616205,-0.1239219,-0.1786963,-0.14349145,-0.1525878,-0.1355138,-0.1634106,-0.134324,-0.175047,-0.1551979,-0.1521993,-0.1317481,-0.1757587,-0.1278267,-0.16379118,-0.1323044,-0.1705862,-0.1270901,-0.1529148,-0.1257032,-0.15697625,-0.1461935,-0.1400771,-0.1568398,-0.149298,-0.1337411,-0.1750859,-0.137456,-0.1528578,-0.1404091,-0.1681082,-0.1167653,-0.1595211,-0.1260354,-0.1471816,-0.1274925,-0.1786649,-0.1402658,-0.1726216,-0.1335926,-0.1511629,-0.111247,-0.152682,-0.1341476,-0.19639025
-0.1004684,-0.151967,-0.1091758,-0.1608517,-0.1107922,-0.1499799,-0.1148118,-0.1337999,-0.1108656,-0.1521322,-0.1234652,-0.1330295,-0.1035542,-0.1452082,-0.1133957,-0.1471874,-0.1126106,-0.1594092,-0.12808985,-0.1341935,-0.1216772,-0.1432808,-0.1231559,-0.1543903,-0.136791,-0.1365699,-0.1097401,-0.1567531,-0.1113606,-0.15675028,-0.1082245,-0.1609979,-0.1131902,-0.1374301,-0.1166411,-0.13709585,-0.1258817,-0.1315266,-0.149636,-0.1300053,-0.114577,-0.1483675,-0.1176505,-0.1305587,-0.126705,-0.1459618,-0.0925807,-0.1419175,-0.1131721,-0.1311042,-0.113548,-0.1570902,-0.11816,-0.1527724,-0.1113035,-0.1517136,-0.0999953,-0.1312779,-0.1245468,-0.16222085
-0.0865534,-0.1389062,-0.0887286,-0.1381124,-0.0846126,-0.1313703,-0.1005605,-0.12053825,-0.1047318,-0.1293656,-0.1075759,-0.1214543,-0.0938371,-0.1389234,-0.1003331,-0.1286367,-0.0964434,-0.1431726,-0.1106782,-0.1164925,-0.08689015,-0.125063,-0.09898265,-0.1251426,-0.128901,-0.1285354,-0.0883586,-0.1401992,-0.1001242,-0.14345878,-0.1000742,-0.1269891,-0.093561,-0.1159422,-0.0943817,-0.1164815,-0.1039759,-0.1198061,-0.1242245,-0.1197913,-0.0984019,-0.1341465,-0.1097509,-0.1095719,-0.1059021,-0.1351826,-0.0881744,-0.120932,-0.090629,-0.1246882,-0.0965423,-0.13921515,-0.0938603,-0.1320706,-0.0974557,-0.1270016,-0.0913507,-0.1172035,-0.1137449,-0.12809895
-0.0715745,-0.1151123,-0.0842236,-0.1253446,-0.0758825,-0.1192721,-0.0947059,-0.1103023,-0.0931163,-0.1162191,-0.1049928,-0.0999855,-0.082237,-0.1261589,-0.0921278,-0.1215042,-0.082175,-0.1375842,-0.1048601,-0.1077256,-0.08837845,-0.1170901,-0.0829669,-0.1079728,-0.1023992,-0.1155465,-0.0806909,-0.1184662,-0.08778775,-0.121543,-0.0924135,-0.094768,-0.0899027,-0.1119631,-0.0827019,-0.0954173,-0.0852821,-0.1048379,-0.1189265,-0.1030658,-0.0879859,-0.1254388,-0.0876883,-0.1004962,-0.0897898,-0.1095603,-0.0859801,-0.1086488,-0.0740205,-0.0901078,-0.0942247,-0.1218713,-0.0860631,-0.1232338,-0.079643,-0.1126054,-0.08267395,-0.0962543,-0.0970904,-0.1156865
-0.0690069,-0.104863,-0.0607416,-0.1099249,-0.0720309,-0.1029587,-0.0830691,-0.0929264,-0.0779034,-0.1080205,-0.094538,-0.0892759,-0.084808,-0.1078625,-0.0831141,-0.1101402,-0.0729473,-0.1227873,-0.0844755,-0.0915209,-0.07871515,-0.0957046,-0.07173435,-0.1013515,-0.080635,-0.1032199,-0.0722482,-0.106477,-0.07139325,-0.0932885,-0.0935339,-0.0863692,-0.0828151,-0.098388,-0.0724784,-0.0898964,-0.0829438,-0.0893235,-0.1051662,-0.0846376,-0.0719598,-0.1083737,-0.0767525,-0.0834149,-0.063925,-0.0922887,-0.0718082,-0.0892062,-0.0580786,-0.0902033,-0.0722276,-0.11379645,-0.0728558,-0.1049328,-0.0685593,-0.0903985,-0.0761078,-0.0882788,-0.0767263,-0.1015034
-0.0710563,-0.0886243,-0.049731,-0.0988334,-0.0666586,-0.0866187,-0.0803086,-0.0819557,-0.064171,-0.0886639,-0.083859,-0.0878217,-0.0762806,-0.0926917,-0.088959,-0.0963556,-0.067578,-0.1150367,-0.0805418,-0.0814903,-0.0692754,-0.0768263,-0.06444948,-0.0858669,-0.0738928,-0.0852537,-0.0734582,-0.0966844,-0.0712861,-0.0829888,-0.0817868,-0.0869308,-0.0769892,-0.0867383,-0.058139,-0.0849198,-0.0825103,-0.0764812,-0.0900946,-0.0838354,-0.0654963,-0.0965358,-0.0615564,-0.0762582,-0.0642382,-0.0769258,-0.0771124,-0.0618703,-0.06152,-0.0818206,-0.0667738,-0.0885224,-0.0669407,-0.0927278,-0.0672371,-0.0797461,-0.0667232,-0.0833292,-0.0654731,-0.0887549
-0.0519362,-0.0694729,-0.0545605,-0.0827557,-0.0563826,-0.0796774,-0.0597183,-0.0795812,-0.0530078,-0.077719,-0.0700198,-0.0777086,-0.0640006,-0.0844779,-0.0658569,-0.08413785,-0.0638672,-0.106021,-0.0700855,-0.0696837,-0.0530508,-0.0624402,-0.05203488,-0.0666128,-0.0624113,-0.0659093,-0.0741371,-0.0754379,-0.0505895,-0.0774905,-0.0742091,-0.0834243,-0.0676497,-0.068112,-0.0558355,-0.0750172,-0.0769333,-0.0684673,-0.0741007,-0.0638455,-0.0620614,-0.0871326,-0.0520103,-0.0604,-0.0665837,-0.0673678,-0.0622926,-0.044736,-0.0587658,-0.0698645,-0.0605415,-0.0767657,-0.0646605,-0.0761722,-0.0607612,-0.0674732,-0.0531754,-0.0634151,-0.0613181,-0.0748387
