0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.0098502,0.0496828,0.0107044,0.0554464,0.0108588,0.0644168,0.009858,0.050299,0.0095774,0.0466464,0.0076896,0.0508598,0.0086942,0.049364,0.010159,0.0569846,0.007154,0.052762,0.0107154,0.0562438,0.0097438,0.0507184,0.009002,0.045682,0.0092516,0.0499616,0.0099364,0.0525272,0.0094674,0.0539094,0.010978,0.0509804,0.0084132,0.0524534,0.0074058,0.04997,0.008765,0.0480834,0.008843,0.0505682,0.0103424,0.0597818,0.00867,0.0588194,0.0128386,0.0622938,0.0083134,0.051703,0.0088226,0.055946,0.0108954,0.0541114,0.011547,0.0539064,0.0113526,0.0513536,0.0068308,0.0493808,0.0113278,0.047357
0.0112392,0.057681,0.0135816,0.0630498,0.0116292,0.0734498,0.0103204,0.058106,0.0094602,0.054311,0.0092836,0.0572586,0.0099144,0.0575536,0.0114036,0.0651202,0.0084956,0.0604086,0.0113274,0.0674704,0.0113614,0.0602512,0.0107002,0.0537988,0.0113406,0.0568768,0.012091,0.0568196,0.011391,0.060651,0.0120274,0.0575844,0.0108986,0.0603886,0.0103702,0.0561806,0.0115478,0.0553368,0.0112466,0.0588928,0.0124644,0.0667354,0.011515,0.0669938,0.0128126,0.0684394,0.0090002,0.0607158,0.0104086,0.0635728,0.0117828,0.0603418,0.0131958,0.0609406,0.0134528,0.0577654,0.0106104,0.0561506,0.0118352,0.0537924
0.0120474,0.0666498,0.0154812,0.0698874,0.0126928,0.0817166,0.01208,0.0662858,0.0116528,0.0639894,0.0114918,0.0634842,0.0103372,0.0638406,0.0130336,0.0731214,0.0101472,0.0674992,0.0141438,0.0756444,0.0133472,0.0677786,0.011766,0.0631028,0.012691,0.0652758,0.0136496,0.063307,0.0123104,0.0675828,0.0134792,0.0699706,0.0117748,0.0661428,0.0122208,0.0605274,0.01323,0.0634672,0.009886,0.06394,0.013635,0.07486,0.0129656,0.0763532,0.0137346,0.076865,0.0114126,0.0671054,0.0110006,0.069731,0.011704,0.064056,0.0156306,0.0688786,0.0143776,0.0622012,0.0128798,0.0606958,0.013047,0.0605364
0.0126598,0.0755526,0.0170274,0.0758284,0.0141766,0.0924856,0.013487,0.0710476,0.0120704,0.0725868,0.0120106,0.0696454,0.0128222,0.069492,0.0131096,0.0827848,0.0118752,0.0741204,0.0144738,0.0825936,0.0145664,0.0759782,0.0119908,0.0719712,0.0130798,0.074611,0.014156,0.0709918,0.013971,0.073529,0.014466,0.0761632,0.0130788,0.0729798,0.0124632,0.0677952,0.0140142,0.0720952,0.0129552,0.074091,0.0138986,0.0832514,0.0142304,0.0852248,0.0147526,0.0832426,0.0128734,0.0740246,0.0128746,0.0738398,0.0126794,0.0716466,0.0158952,0.0798982,0.0155844,0.0700914,0.0143718,0.0656354,0.0146136,0.0660062
0.0137152,0.083434,0.0189816,0.0826712,0.0146376,0.1007488,0.0140514,0.0777594,0.0126188,0.0805058,0.013675,0.075565,0.0159296,0.0785048,0.0135898,0.0904776,0.0131134,0.078681,0.0152544,0.0888194,0.0147792,0.0853564,0.0131404,0.078813,0.013788,0.0840712,0.0151188,0.0786144,0.0155326,0.0824332,0.0162554,0.0842624,0.0142416,0.079879,0.0131024,0.0759998,0.014962,0.0790258,0.0132334,0.0792838,0.0153002,0.0877132,0.0161676,0.0956024,0.0153072,0.0901302,0.0117934,0.079855,0.0146508,0.0820148,0.0145026,0.0769196,0.01829,0.0889532,0.0154896,0.0791222,0.016762,0.068899,0.016228,0.0722508
0.0147786,0.0907082,0.0205224,0.0908712,0.0158804,0.1073578,0.0157674,0.0820452,0.0142132,0.0839972,0.01508,0.0813484,0.0154316,0.0851742,0.0144326,0.0957708,0.0130636,0.0834506,0.0176824,0.0960124,0.0162152,0.096244,0.0140306,0.0859008,0.0146514,0.0908858,0.015909,0.0883884,0.0149578,0.0866234,0.0177612,0.0892752,0.0155432,0.0877146,0.0141778,0.0821652,0.0181246,0.0890486,0.0145112,0.08493,0.0171852,0.0947558,0.0165026,0.1059274,0.0165068,0.0949532,0.0127636,0.0884234,0.0150594,0.0875984,0.013796,0.0833294,0.0183772,0.0961536,0.0169986,0.0853868,0.017225,0.0759624,0.0175258,0.0776942
0.0148946,0.0990726,0.0225004,0.0978336,0.0179308,0.1146404,0.0188058,0.0872584,0.0152138,0.0913664,0.0163194,0.086279,0.0168424,0.092172,0.0143266,0.104999,0.0140934,0.0905578,0.0191834,0.1055948,0.0172888,0.105106,0.0160034,0.0922658,0.0165774,0.0968108,0.0179098,0.0960148,0.0163788,0.092094,0.0193984,0.0981242,0.017519,0.0939936,0.015451,0.0907124,0.0191582,0.0958826,0.015676,0.0945498,0.0184902,0.1036042,0.0189988,0.1129364,0.0174276,0.0995774,0.0140458,0.0952676,0.0165862,0.0966984,0.0155588,0.0887972,0.0203152,0.1068886,0.0181536,0.0912992,0.0176486,0.0815842,0.0179736,0.0868692
0.0159756,0.1077722,0.0236648,0.1070706,0.0200888,0.1206694,0.019913,0.0946348,0.0155668,0.0985016,0.0174952,0.0922756,0.0182026,0.0990984,0.0155122,0.1111368,0.0151458,0.095679,0.0205758,0.1116172,0.0191656,0.1099728,0.0163574,0.1029162,0.0171842,0.1040246,0.0188142,0.1014682,0.0190016,0.0982858,0.0197654,0.104656,0.0188306,0.0983468,0.016121,0.0975242,0.0210126,0.1024912,0.0159162,0.0986154,0.0189708,0.1096654,0.0192398,0.1212018,0.0200756,0.1062758,0.0149712,0.101012,0.0185484,0.1041586,0.0161912,0.0961094,0.0224828,0.1179292,0.018931,0.097224,0.0181564,0.0863194,0.0189674,0.0954304
0.017773,0.1127916,0.0250708,0.1134208,0.0205988,0.1260368,0.0219214,0.0978606,0.017035,0.1047236,0.0187038,0.09769,0.0182574,0.1044276,0.0167352,0.1199614,0.0158302,0.099384,0.0209038,0.1170346,0.0188472,0.1158194,0.0175158,0.1106096,0.0180064,0.1108922,0.0218914,0.1083042,0.0199866,0.104242,0.022455,0.1095262,0.0196076,0.1041224,0.0186106,0.1050664,0.0223614,0.1115644,0.0174278,0.1026188,0.0209426,0.1146428,0.0202394,0.129447,0.0204942,0.111654,0.0160488,0.1056452,0.0221034,0.1104124,0.0171586,0.1044896,0.0246608,0.1234672,0.0216904,0.104536,0.0207938,0.0948372,0.0195076,0.105177
0.019725,0.11853,0.0260812,0.1204536,0.0207062,0.130398,0.024071,0.0997552,0.0179284,0.1096076,0.0201128,0.1032236,0.0211622,0.1119076,0.018903,0.1275424,0.0163766,0.1050918,0.0222758,0.1260082,0.0203202,0.119288,0.0179952,0.1185586,0.0188358,0.116349,0.0228366,0.1131594,0.0213638,0.1121722,0.0244746,0.1171584,0.0214988,0.1118614,0.0189054,0.1117578,0.0225674,0.1199576,0.0177456,0.1088504,0.0221918,0.1232762,0.0223188,0.1372854,0.0214524,0.1200748,0.0168534,0.1089224,0.0261154,0.1167904,0.0177822,0.1137596,0.0265966,0.134345,0.022725,0.1104906,0.0227964,0.1002708,0.0214698,0.1115376
