0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0.1344062,0.0905508,0.0897348,0.1401138,0.0895218,0.0970746,0.142174,0.0916174,0.0941956,0.1293218,0.090283,0.0894694,0.130335,0.0890202,0.0899474,0.1282532,0.0873128,0.095883,0.1261754,0.0926144,0.0864796,0.1330882,0.086534,0.087155,0.1304754,0.091582,0.0905326,0.1394886,0.0934474,0.0816448,0.1179088,0.0864104,0.0897334,0.1310116,0.0972134,0.0834946,0.1279516,0.0876894,0.083832,0.1364496,0.0911566,0.1015196,0.1312938,0.0882568,0.0860888,0.144468,0.0900182,0.0934508,0.1346174,0.0962406,0.0883626,0.126352,0.0799932,0.0832616,0.1375546,0.0805064,0.0958108,0.1349932,0.0904458,0.0902672,0.1259958,0.0963798,0.095848,0.1186196,0.0942338,0.0874226,0.137305,0.0881498,0.0938036,0.1283804,0.0877046,0.0904788,0.1253228,0.0825676,0.0928642,0.1252152,0.0958662,0.0898562,0.1323594,0.0889148,0.0999376,0.126352,0.0900884,0.0834938,0.1378194,0.0959204,0.0895386,0.130244,0.0917584,0.0964356
0.1612658,0.1051454,0.1020724,0.1637572,0.104756,0.1117048,0.1655322,0.1070108,0.108789,0.1508492,0.1048244,0.107335,0.1508836,0.1011258,0.1058048,0.1475578,0.1001828,0.1141402,0.1561282,0.1047168,0.1015178,0.1571404,0.1023192,0.1025314,0.1556314,0.1077764,0.1049492,0.1603778,0.1093032,0.0947646,0.1423886,0.0986044,0.1056786,0.1631522,0.1155422,0.0987264,0.1486968,0.106744,0.0984074,0.1615146,0.1056426,0.11382,0.1538172,0.102585,0.1013916,0.1669202,0.1056254,0.1068902,0.1547598,0.1111006,0.1031714,0.1542448,0.1007556,0.0973048,0.1693756,0.097324,0.10742,0.1592946,0.1052866,0.1037932,0.1476672,0.1100326,0.111065,0.1459078,0.1128448,0.098247,0.1645232,0.1043968,0.108559,0.1531618,0.1023888,0.1039186,0.1595962,0.0968416,0.1040626,0.1511878,0.1079352,0.1055708,0.1548998,0.1033498,0.1109408,0.1506536,0.1024952,0.0972522,0.1620676,0.1104072,0.1031,0.1577638,0.1087004,0.1096974
0.1923414,0.1196692,0.1123298,0.1946168,0.123385,0.1238826,0.1907588,0.1179972,0.1245746,0.1768394,0.119668,0.1205058,0.17563,0.118511,0.1160246,0.1640546,0.113533,0.12557,0.1791864,0.1172858,0.1193484,0.17291,0.1122388,0.1173386,0.1803936,0.1175532,0.1187612,0.1879862,0.1221388,0.1068888,0.1671342,0.1103352,0.116664,0.1765016,0.1331952,0.1137096,0.1750962,0.1181204,0.1136614,0.17657,0.1142464,0.1283982,0.1778514,0.1198992,0.1189028,0.193836,0.1179964,0.1190296,0.1721452,0.1245394,0.122459,0.1846086,0.1143166,0.1094104,0.1903358,0.1077934,0.1202898,0.1853378,0.1186374,0.1161876,0.1699616,0.1235604,0.1243966,0.167348,0.1272786,0.1151708,0.1827266,0.1163602,0.1199898,0.1765568,0.1170008,0.1154194,0.1758976,0.1107258,0.118799,0.1734626,0.1172506,0.118387,0.173743,0.1147248,0.1248602,0.171221,0.116342,0.1092502,0.1887152,0.1189406,0.1185116,0.1848026,0.1224416,0.1256252
0.2121802,0.1370364,0.1248976,0.2254426,0.1330738,0.1348148,0.2102952,0.1299052,0.1360418,0.2021728,0.1315244,0.1311894,0.1948468,0.1335336,0.1248412,0.18457,0.1227236,0.1461032,0.1993992,0.1277208,0.1328758,0.1934068,0.1264256,0.1297812,0.2024208,0.1300846,0.1270264,0.21339,0.135632,0.120537,0.1907948,0.1273112,0.1258356,0.1925372,0.1495484,0.1296378,0.1976198,0.1321466,0.122193,0.197813,0.1275076,0.1364506,0.1998794,0.1339766,0.1255514,0.2136924,0.13053,0.1292686,0.1886616,0.1374802,0.1373926,0.2032926,0.1250356,0.119827,0.2072418,0.1226716,0.1337646,0.2115414,0.1319152,0.1276314,0.1960752,0.1376218,0.135701,0.1953824,0.1385668,0.126511,0.1974452,0.1265094,0.1340156,0.198724,0.1305812,0.1282358,0.1934786,0.1204842,0.1320222,0.1954006,0.130564,0.1331418,0.2007302,0.1257478,0.1355076,0.1891762,0.1230612,0.1209664,0.2070254,0.1331082,0.1336578,0.203485,0.1374984,0.1383002
0.2269532,0.146192,0.1312944,0.2436474,0.1408068,0.1464056,0.2315394,0.1404294,0.147455,0.218225,0.14018,0.144666,0.2102058,0.1492124,0.1327518,0.2063656,0.1328576,0.1582976,0.2176916,0.1368028,0.143381,0.2080366,0.135296,0.1372838,0.2220686,0.1406268,0.1359332,0.2352034,0.1440748,0.1315404,0.2189728,0.1362534,0.1374448,0.2137304,0.1597696,0.1384024,0.2154512,0.1415496,0.133979,0.216037,0.1400036,0.1474548,0.223968,0.1499228,0.137906,0.232074,0.1399852,0.1394352,0.2039322,0.1449122,0.1474358,0.2179236,0.1343682,0.130387,0.2281126,0.1347062,0.1465652,0.2279144,0.1441462,0.1382258,0.2136916,0.1459944,0.1473278,0.207987,0.1484508,0.1380402,0.2127336,0.1385622,0.1460502,0.2179598,0.1417824,0.1426002,0.2082496,0.1350774,0.1439514,0.2093746,0.1357374,0.1452296,0.215947,0.132253,0.1453852,0.2013698,0.1345816,0.1360756,0.228518,0.1435598,0.1443418,0.2180976,0.1489464,0.1522364
0.239985,0.155117,0.1365576,0.2559302,0.1503344,0.1563262,0.2456196,0.1519142,0.1536052,0.22811,0.150402,0.1569842,0.2261174,0.1617448,0.1416232,0.2177794,0.1407144,0.1648752,0.2351136,0.1496558,0.1566946,0.2230424,0.1439348,0.1473652,0.2383856,0.1528924,0.1470262,0.2483394,0.1531234,0.1409078,0.2325536,0.1469558,0.1483246,0.2261196,0.1705242,0.1485882,0.2338696,0.1542806,0.143365,0.2334774,0.146653,0.1564152,0.2385804,0.157762,0.1496758,0.2400028,0.147773,0.1546178,0.2153798,0.15531,0.1557084,0.2295146,0.1425802,0.1447684,0.2397564,0.1415322,0.155595,0.2456378,0.1557198,0.1461366,0.232304,0.1551142,0.1613904,0.2283772,0.16029,0.1481808,0.2284488,0.1483924,0.1551632,0.2311506,0.1521652,0.1534804,0.2270588,0.148534,0.1526642,0.2264898,0.1428996,0.1536206,0.2275404,0.142083,0.1547018,0.2163754,0.1437898,0.1444668,0.24011,0.1524128,0.152448,0.2347202,0.1592922,0.1618716
0.250348,0.1637914,0.1425844,0.2684286,0.159081,0.1685394,0.2576194,0.1580832,0.1592764,0.2440564,0.1576726,0.1645724,0.2318584,0.16434,0.152289,0.236624,0.146297,0.1710084,0.2552902,0.154579,0.1683936,0.2338504,0.1521468,0.1583164,0.2510598,0.1614064,0.1564128,0.2620646,0.1637544,0.1470086,0.2398964,0.1579786,0.1581548,0.2408386,0.1826666,0.1557708,0.2457784,0.1614968,0.1472954,0.2437338,0.1559324,0.1641644,0.2551134,0.1673618,0.1592206,0.2557524,0.1545998,0.1660476,0.2323216,0.1670434,0.1655326,0.2462438,0.15131,0.1588462,0.2557742,0.1509168,0.163204,0.2537078,0.1600564,0.1560024,0.2478772,0.1622962,0.170314,0.2440392,0.1667608,0.1566426,0.2396482,0.1564628,0.1639808,0.2369274,0.1603598,0.1679142,0.2438252,0.1610316,0.1560598,0.2361598,0.1494762,0.16114,0.2448908,0.1473094,0.1639478,0.235895,0.1478782,0.1569282,0.2521984,0.1593284,0.1593462,0.2558416,0.1696034,0.1720892
0.2616364,0.1711866,0.1520946,0.2798964,0.16429,0.1766104,0.2741884,0.162083,0.1661572,0.2578698,0.1688032,0.1729648,0.2455822,0.1707216,0.1602356,0.2556112,0.1539236,0.1772576,0.2663668,0.166259,0.179328,0.2421526,0.15851,0.1675436,0.2648902,0.1694786,0.1647272,0.269495,0.173638,0.1527848,0.2472916,0.1651074,0.1670066,0.2502084,0.1898144,0.1683034,0.2541164,0.1678966,0.1557904,0.2581522,0.1636116,0.1701362,0.264748,0.1753968,0.1677004,0.268037,0.1634886,0.1739066,0.2390768,0.173746,0.1716832,0.2537096,0.1547216,0.1651772,0.2639346,0.1568368,0.1712764,0.2629888,0.1683938,0.1614254,0.2605882,0.166013,0.180215,0.2516834,0.1746352,0.1669364,0.2498702,0.1656734,0.1748598,0.2481094,0.1682356,0.175399,0.2580294,0.1700094,0.1635252,0.2430216,0.153956,0.1691596,0.2573158,0.1568382,0.172606,0.2451206,0.154259,0.1693552,0.2599852,0.1628116,0.1707246,0.261655,0.173763,0.1792774
0.2678416,0.1725284,0.1593132,0.2875054,0.1704044,0.1835442,0.289194,0.1672564,0.1748328,0.2639146,0.1768028,0.1800762,0.2566582,0.179327,0.168377,0.2697798,0.1578006,0.1829828,0.2734604,0.1741704,0.188406,0.2502602,0.1635596,0.1749576,0.2738854,0.1820116,0.1703662,0.2838408,0.1801618,0.1657796,0.2656034,0.1718968,0.177069,0.2590614,0.1981342,0.1774428,0.2622936,0.1764824,0.163843,0.2683916,0.1712392,0.178243,0.2764644,0.180286,0.1770698,0.2728552,0.1697106,0.1871672,0.2495128,0.185355,0.1825168,0.2622602,0.161246,0.1755926,0.2702082,0.1637346,0.1793462,0.2705796,0.1737972,0.1660648,0.2672022,0.1717894,0.1902478,0.2569632,0.1812298,0.1758312,0.2550052,0.1704728,0.181276,0.266881,0.1773192,0.1819066,0.2658332,0.1793788,0.1689302,0.2545122,0.1629872,0.1768578,0.2649432,0.1659748,0.1773386,0.2504716,0.1601258,0.1814614,0.2686426,0.1681628,0.1838276,0.272268,0.180323,0.186584
0.2763396,0.1791056,0.1635438,0.2952926,0.1754524,0.1899074,0.2911136,0.1721988,0.1809646,0.2685354,0.182863,0.1856576,0.262631,0.1854606,0.1740118,0.2773166,0.1631146,0.1918378,0.277282,0.1777058,0.194877,0.254544,0.1696578,0.1817648,0.2776366,0.1831856,0.1763746,0.2845694,0.1891748,0.176963,0.27483,0.1798974,0.1794164,0.2715768,0.2084628,0.1806648,0.2686394,0.1835038,0.1693902,0.2720014,0.1794312,0.1895334,0.2811228,0.1840202,0.1844824,0.281176,0.1766266,0.1952032,0.2576184,0.1931412,0.1889874,0.266367,0.1707398,0.183488,0.2785816,0.1676812,0.1877298,0.2761628,0.1802322,0.1762354,0.2783858,0.176287,0.19943,0.268535,0.1848036,0.179646,0.2628106,0.1747942,0.1859684,0.2758772,0.1883232,0.1903268,0.2743654,0.1848012,0.1755262,0.2642906,0.1712182,0.182497,0.2715548,0.1736192,0.1848054,0.264249,0.164713,0.185727,0.27186,0.170189,0.187666,0.2836114,0.1876466,0.1904066
