0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0.7321,0.8897,0.7321,0.8704,0.7321,0.8891,0.7321,0.8856,0.7321,0.8856,0.7321,0.878,0.7321,0.8891,0.6434,0.9125,0.7321,0.8862,0.7321,0.871,0.7321,0.8891,0.7321,0.9049,0.7321,0.8891,0.7321,0.8862,0.7321,0.8862,0.7321,0.8856,0.7321,0.8856,0.7432,0.8891,0.7432,0.8833,0.7321,0.7321,0.8891,0.7321,0.8932,0.7321,0.8891,0.7321,0.9008,0.7321,0.878,0.7321,0.8856,0.7321,0.8891,0.7321,0.8856,0.7321,0.8862,0.7321,0.9043,0.7321,0.8891
0.7321,0.8897,0.7321,0.8856,0.7321,0.9125,0.7321,0.8932,0.7321,0.8856,0.7321,0.9014,0.7683,0.8967,0.6434,0.9125,0.7321,0.8932,0.7321,0.9049,0.7321,0.8891,0.7321,0.9049,0.7321,0.8891,0.7321,0.8862,0.7321,0.8891,0.7321,0.916,0.7432,0.8856,0.7432,0.8973,0.7683,0.8891,0.7321,0.7321,0.9201,0.7321,0.8932,0.7321,0.8891,0.7321,0.9084,0.7321,0.9084,0.7321,0.9049,0.7321,0.9125,0.7321,0.8862,0.7321,0.8862,0.7321,0.9043,0.7321,0.9084
0.7321,0.8932,0.7321,0.9201,0.7321,0.9125,0.7321,0.8932,0.7321,0.8891,0.7321,0.9014,0.7683,0.8967,0.7099,0.9125,0.7683,0.8932,0.7321,0.9049,0.7321,0.9119,0.7321,0.9084,0.7321,0.8891,0.7321,0.8862,0.7321,0.9125,0.7321,0.916,0.7432,0.9084,0.7432,0.9277,0.7683,0.8932,0.7321,0.7321,0.9201,0.7321,0.9084,0.7321,0.9125,0.7321,0.9084,0.7321,0.9084,0.7321,0.9236,0.7321,0.9277,0.7321,0.9084,0.7432,0.9277,0.7683,0.9195,0.7321,0.9084
0.7321,0.9277,0.7321,0.9201,0.7321,0.9125,0.7321,0.9201,0.7321,0.9277,0.7321,0.9277,0.7683,0.9201,0.7099,0.916,0.7683,0.9195,0.7683,0.916,0.7321,0.9119,0.7432,0.9084,0.7321,0.9125,0.7321,0.8932,0.7321,0.9236,0.7321,0.9277,0.7432,0.9084,0.7683,0.9277,0.7683,0.9084,0.7321,0.7321,0.9277,0.7321,0.9084,0.7321,0.9125,0.7321,0.9195,0.7321,0.9125,0.7321,0.9236,0.7321,0.9277,0.7321,0.9084,0.7683,0.9277,0.7683,0.9277,0.7321,0.9236
0.7321,0.9277,0.7432,0.9277,0.7321,0.9125,0.7321,0.9201,0.7321,0.9277,0.7432,0.9277,0.7683,0.9277,0.7683,0.916,0.7683,0.9277,0.7683,0.9195,0.7321,0.9277,0.7432,0.9084,0.7321,0.9125,0.7432,0.916,0.7321,0.9277,0.7321,0.9277,0.7432,0.916,0.7683,0.9277,0.7683,0.9277,0.7683,0.7321,0.9277,0.7432,0.9277,0.7321,0.9125,0.7432,0.9388,0.7321,0.9277,0.7321,0.9236,0.7683,0.9277,0.7321,0.9277,0.7683,0.9277,0.7683,0.9277,0.7321,0.9236
0.7683,0.9388,0.7432,0.9388,0.7321,0.9125,0.7321,0.9201,0.7683,0.9312,0.7432,0.9277,0.7683,0.9277,0.7683,0.9277,0.7683,0.9277,0.7683,0.9388,0.7321,0.9277,0.7683,0.9277,0.7683,0.916,0.7432,0.916,0.7321,0.9277,0.7321,0.9277,0.7432,0.9388,0.7683,0.9277,0.7683,0.9277,0.7683,0.7321,0.9388,0.7432,0.9277,0.7683,0.9236,0.7432,0.9388,0.7321,0.9277,0.7321,0.9236,0.7683,0.9277,0.7321,0.9388,0.7683,0.9277,0.7683,0.9388,0.7683,0.9236
0.7683,0.9388,0.7432,0.9388,0.7321,0.9125,0.7432,0.9201,0.7683,0.9312,0.7432,0.9388,0.7683,0.9277,0.7683,0.9388,0.7683,0.9277,0.7683,0.9388,0.7683,0.9388,0.7683,0.9277,0.7683,0.916,0.7432,0.9277,0.7321,0.9277,0.7321,0.9277,0.7432,0.9388,0.7683,0.9388,0.7683,0.9277,0.7683,0.7321,0.9388,0.7432,0.9388,0.7683,0.9277,0.7432,0.9388,0.7321,0.9277,0.7432,0.9388,0.7683,0.9388,0.7321,0.9388,0.7683,0.9277,0.7683,0.9388,0.7683,0.9388
0.7683,0.9388,0.7432,0.9388,0.7321,0.9236,0.7432,0.9277,0.7683,0.9312,0.7432,0.9388,0.7683,0.9277,0.7683,0.9388,0.7683,0.9277,0.7683,0.9388,0.7683,0.9388,0.7683,0.9277,0.7683,0.9277,0.7683,0.9312,0.7432,0.9388,0.7321,0.9388,0.7432,0.9388,0.7683,0.9388,0.7683,0.9277,0.7683,0.7321,0.9388,0.7683,0.9388,0.7683,0.9277,0.7432,0.9388,0.7321,0.9277,0.7432,0.9388,0.7683,0.9388,0.7321,0.9388,0.7683,0.9277,0.7683,0.9388,0.7683,0.9388
0.7683,0.9388,0.7432,0.9388,0.7683,0.9277,0.7432,0.9388,0.7683,0.9388,0.7432,0.9388,0.7683,0.9388,0.7683,0.9388,0.7683,0.9388,0.7683,0.9388,0.7683,0.9388,0.7683,0.9312,0.7683,0.9277,0.7683,0.9312,0.7683,0.9388,0.7321,0.9388,0.7432,0.9388,0.7683,0.9388,0.7683,0.9277,0.7683,0.7321,0.9388,0.7683,0.9388,0.7683,0.9277,0.7683,0.9388,0.7321,0.9277,0.7432,0.9388,0.7683,0.9388,0.7321,0.9388,0.7683,0.9388,0.7683,0.9388,0.7683,0.9388
0.7683,0.9388,0.7683,0.9388,0.7683,0.9277,0.7432,0.9388,0.7683,0.9388,0.7432,0.9388,0.7683,0.9388,0.7683,0.9388,0.7683,0.9388,0.7683,0.9388,0.7683,0.9388,0.7683,0.9312,0.7683,0.9388,0.7683,0.9388,0.7683,0.9388,0.7321,0.9388,0.7432,0.9388,0.7683,0.9388,0.7683,0.9277,0.7683,0.7683,0.9388,0.7683,0.9388,0.7683,0.9388,0.7683,0.9388,0.7683,0.9277,0.7432,0.9388,0.7683,0.9388,0.7321,0.9388,0.7683,0.9388,0.7683,0.9388,0.7683,0.9388
