0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-0.1423506,-0.0542256,-0.1443358,-0.043376,-0.1401892,-0.0441958,-0.1381172,-0.0479418,-0.1306932,-0.0576858,-0.1391098,-0.0565646,-0.1436832,-0.0545774,-0.1454332,-0.0420968,-0.149834,-0.0571434,-0.1512444,-0.0529446,-0.1447308,-0.0529816,-0.1308746,-0.0250274,-0.151713,-0.0511306,-0.1314264,-0.0476624,-0.1411432,-0.039955,-0.1441352,-0.0444276,-0.1560676,-0.038499,-0.1303706,-0.0550808,-0.1631698,-0.0588972,-0.1337516,-0.0535332,-0.1322646,-0.0470454,-0.1513334,-0.0495622,-0.1368592,-0.0512988,-0.1467508,-0.051996,-0.147088,-0.0596624,-0.1189638,-0.048363,-0.1248688,-0.0728038,-0.140354,-0.0618998,-0.1467096,-0.0460838,-0.156907,-0.037538
-0.1840724,-0.0897188,-0.1908452,-0.0914052,-0.1963164,-0.0962098,-0.184935,-0.102381,-0.175223,-0.113753,-0.1742574,-0.091189,-0.1865086,-0.0816066,-0.1876884,-0.0789456,-0.200893,-0.0747286,-0.1829126,-0.0841066,-0.1826946,-0.0846696,-0.179493,-0.0781732,-0.203547,-0.0940478,-0.1700652,-0.0748512,-0.1909414,-0.0779474,-0.1978712,-0.0696376,-0.2223098,-0.0783244,-0.173711,-0.0954574,-0.2000266,-0.072204,-0.1796752,-0.0823662,-0.183476,-0.0972616,-0.1829904,-0.0856952,-0.192028,-0.1064058,-0.1974224,-0.0910484,-0.1792488,-0.0889098,-0.1638306,-0.0980568,-0.1789402,-0.1106148,-0.1884154,-0.102962,-0.2022596,-0.0956448,-0.2089458,-0.0822122
-0.2243138,-0.1066944,-0.2387272,-0.0974752,-0.2159496,-0.0955378,-0.20324,-0.1163684,-0.2166304,-0.1373606,-0.211275,-0.1104946,-0.2075046,-0.095438,-0.2223306,-0.1186176,-0.2362896,-0.1040468,-0.2135836,-0.0994276,-0.2158388,-0.1181824,-0.2168366,-0.093749,-0.2217848,-0.1044812,-0.2129002,-0.1071732,-0.222459,-0.0928306,-0.2326216,-0.1006228,-0.2306272,-0.0837956,-0.1959226,-0.1059334,-0.218483,-0.0944218,-0.2077856,-0.09759,-0.2237786,-0.1086042,-0.2233958,-0.109086,-0.2284648,-0.1348184,-0.233745,-0.109844,-0.2054272,-0.0914432,-0.1991422,-0.1078624,-0.215555,-0.1338192,-0.2203182,-0.1005366,-0.2140238,-0.126625,-0.2369454,-0.0886312
-0.236768,-0.1094212,-0.259041,-0.0885474,-0.231637,-0.1164704,-0.2322274,-0.124751,-0.2393654,-0.1225214,-0.2186962,-0.1139702,-0.2323354,-0.1052488,-0.2437206,-0.1083048,-0.2515628,-0.1189636,-0.2398968,-0.0978988,-0.2398192,-0.1203998,-0.2303604,-0.0967696,-0.2488022,-0.1095956,-0.2197342,-0.105831,-0.2441416,-0.0901814,-0.2368494,-0.1033164,-0.2440936,-0.1149648,-0.2323168,-0.110711,-0.2285722,-0.1067404,-0.2208368,-0.1061594,-0.250098,-0.1109192,-0.2421142,-0.1259796,-0.2446106,-0.1301158,-0.2406716,-0.112296,-0.2219002,-0.0985056,-0.214829,-0.1269708,-0.240649,-0.127891,-0.2156674,-0.10056,-0.234084,-0.1408038,-0.2544354,-0.0833888
-0.2462208,-0.1194536,-0.2545484,-0.1023436,-0.2449836,-0.110595,-0.2432248,-0.1286212,-0.2470776,-0.1250632,-0.241506,-0.1147382,-0.2406576,-0.1105842,-0.2575376,-0.1167262,-0.2640498,-0.119484,-0.2447016,-0.0998638,-0.2560764,-0.1193742,-0.2503798,-0.101239,-0.2509098,-0.1258164,-0.2207208,-0.110412,-0.2603214,-0.096021,-0.246032,-0.1090064,-0.2541686,-0.1217802,-0.2503508,-0.0917796,-0.238298,-0.1183982,-0.232407,-0.0988062,-0.2552308,-0.107498,-0.2598928,-0.11807,-0.2377712,-0.1426286,-0.2642352,-0.11591,-0.2343368,-0.1136778,-0.238173,-0.1232778,-0.248523,-0.1372612,-0.2299942,-0.124097,-0.2437646,-0.123357,-0.261901,-0.095977
-0.2349898,-0.1147408,-0.2439022,-0.1217718,-0.2525542,-0.1080692,-0.2555788,-0.1186014,-0.2642734,-0.1321406,-0.2549466,-0.1341782,-0.2481756,-0.104533,-0.2505616,-0.1269316,-0.272626,-0.1198352,-0.2531602,-0.0853704,-0.2536884,-0.1055698,-0.248943,-0.0957424,-0.2564726,-0.113831,-0.2551354,-0.0896356,-0.2800566,-0.0780942,-0.2649234,-0.1150768,-0.261494,-0.1208042,-0.2727376,-0.0930564,-0.246372,-0.1025226,-0.2616354,-0.1191332,-0.2632312,-0.1134254,-0.2714964,-0.123143,-0.2663604,-0.1363966,-0.2586144,-0.1027162,-0.2446426,-0.1047034,-0.251513,-0.110222,-0.242966,-0.1209844,-0.236056,-0.1199026,-0.245365,-0.1167106,-0.2731854,-0.0943982
-0.24252,-0.1032458,-0.2634138,-0.1061356,-0.2725006,-0.120794,-0.2667394,-0.1280964,-0.256484,-0.1154876,-0.2616228,-0.123568,-0.2571636,-0.1033206,-0.2716396,-0.1081246,-0.2641066,-0.1060244,-0.259142,-0.0760332,-0.2765606,-0.093578,-0.2613404,-0.1050504,-0.2581292,-0.119526,-0.2616884,-0.0896378,-0.2776326,-0.0623624,-0.2660092,-0.119295,-0.2718532,-0.1294748,-0.28728,-0.093639,-0.2462232,-0.1015262,-0.2666796,-0.1279468,-0.2768438,-0.1144394,-0.276905,-0.1145236,-0.2595356,-0.11502,-0.2763992,-0.1034888,-0.2510276,-0.10406,-0.26044,-0.1022418,-0.261548,-0.1112664,-0.2414966,-0.1039514,-0.257042,-0.1077992,-0.2785252,-0.1034164
-0.2439442,-0.0936838,-0.2573356,-0.0963016,-0.27588,-0.0890758,-0.2593338,-0.0901794,-0.2625776,-0.1289126,-0.2640384,-0.1242938,-0.257855,-0.102897,-0.2831394,-0.1036058,-0.2675838,-0.110638,-0.2821184,-0.0886642,-0.2793524,-0.1072266,-0.2523222,-0.0873498,-0.2554452,-0.1211546,-0.275998,-0.0948132,-0.2886316,-0.070184,-0.241369,-0.1165966,-0.267263,-0.10889,-0.2816066,-0.0943966,-0.252801,-0.1111318,-0.2819006,-0.10613,-0.2963736,-0.1212198,-0.2752534,-0.108953,-0.2670626,-0.1130072,-0.2821746,-0.1050926,-0.2597086,-0.1046432,-0.2656004,-0.1026442,-0.2793098,-0.1330956,-0.2449562,-0.0902048,-0.2614182,-0.101628,-0.2762546,-0.0962468
-0.2540718,-0.0817814,-0.2625054,-0.0790504,-0.2859668,-0.1044198,-0.279631,-0.0855434,-0.2740994,-0.1305016,-0.2727274,-0.113331,-0.254629,-0.0967248,-0.2731204,-0.1160332,-0.2613508,-0.0999562,-0.2760778,-0.0768218,-0.273075,-0.1098684,-0.2578436,-0.0846108,-0.2508166,-0.1047806,-0.2696544,-0.0866342,-0.2882404,-0.0643772,-0.250932,-0.1031444,-0.2686702,-0.098664,-0.2731002,-0.08468,-0.2608578,-0.0983072,-0.2837738,-0.0955482,-0.2870148,-0.112461,-0.2677112,-0.104222,-0.2523436,-0.1024192,-0.272172,-0.0833962,-0.2605018,-0.1285174,-0.2739044,-0.0880582,-0.28782,-0.1129364,-0.2425466,-0.0870488,-0.259798,-0.1062754,-0.281497,-0.1023542
-0.262044,-0.0904694,-0.2577306,-0.0995992,-0.2800576,-0.0823552,-0.2667772,-0.090151,-0.2654092,-0.0930474,-0.2816336,-0.0960694,-0.259457,-0.0972488,-0.2726558,-0.1076372,-0.2675384,-0.1049268,-0.2796932,-0.086599,-0.288519,-0.116821,-0.2580838,-0.084496,-0.2601698,-0.0969886,-0.2724228,-0.090749,-0.2744014,-0.0791368,-0.272824,-0.0920484,-0.2664684,-0.0830522,-0.2713964,-0.094209,-0.2677704,-0.084112,-0.2708346,-0.1046168,-0.2884138,-0.0886536,-0.2698662,-0.0963532,-0.2581402,-0.0799734,-0.2753814,-0.0710928,-0.2647146,-0.1118598,-0.273329,-0.081762,-0.284759,-0.107756,-0.2428508,-0.0761774,-0.2668456,-0.0992658,-0.2857074,-0.0960872
