0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-0.0151908,-8.41e-05,-0.0192075,-0.008186,-0.0168997,-0.0084083,-0.0256488,-0.0088142,-0.0190214,-0.0158029,-0.0108015,-0.0025306,-0.0194564,-0.01481195,-0.0206809,-0.0050379,-0.0194333,-0.0176512,-0.0165715,-0.0203598,-0.0169131,-0.015339,-0.0096909,-0.0088455,-0.0232166,-0.0090949,-0.0174861,-0.0063402,-0.0180409,-0.0053485,-0.0201367,-0.0082962,-0.0217555,-0.0154896,-0.0170062,-0.01469315,-0.0157087,-0.0114273,-0.0200584,-0.0090358,-0.0210143,-0.0166304,-0.0257077,-0.0137797,-0.0247968,-0.0066111,-0.023437,-0.0084105,-0.0211744,-0.0164646,-0.0171204,-0.0080992,-0.0062876,-0.0201958,-0.0206327,-4.79e-05,-0.0153717,-0.0151539,-0.0233649,-0.0057191
-0.0396881,-0.0180377,-0.0456754,-0.031989,-0.0351908,-0.0415059,-0.0412266,-0.029271,-0.0404373,-0.0355546,-0.0322664,-0.032838,-0.0422989,-0.0378037,-0.039149,-0.02707165,-0.0435555,-0.0306294,-0.0363675,-0.035637,-0.0401313,-0.033515,-0.0469606,-0.0314846,-0.0453891,-0.0378249,-0.05032915,-0.0428095,-0.0356229,-0.02418515,-0.0509533,-0.0280832,-0.0519939,-0.0240275,-0.0437606,-0.0445484,-0.04888515,-0.0420596,-0.0529828,-0.0330286,-0.0453688,-0.0355763,-0.0346893,-0.0396594,-0.0473789,-0.03254875,-0.0487179,-0.03584855,-0.0468524,-0.03976,-0.045693,-0.0299251,-0.0405195,-0.0311908,-0.04764325,-0.0127269,-0.0417716,-0.03014065,-0.051308,-0.022947
-0.05869465,-0.03210595,-0.0596187,-0.0375913,-0.0549835,-0.0630278,-0.05457185,-0.050885,-0.0587387,-0.0572883,-0.05810162,-0.0507594,-0.0619086,-0.0570744,-0.0656912,-0.03276695,-0.06969785,-0.0535298,-0.0578368,-0.04814445,-0.06316695,-0.0474473,-0.0578339,-0.0611819,-0.0661332,-0.050182,-0.06897594,-0.0508799,-0.0527902,-0.0421311,-0.07301705,-0.0616894,-0.07738495,-0.0507876,-0.0572617,-0.05705685,-0.0640187,-0.05283725,-0.06436,-0.05190695,-0.0585437,-0.0463633,-0.0574818,-0.0528614,-0.0644098,-0.0406283,-0.0596547,-0.05867895,-0.0582561,-0.05834615,-0.0609238,-0.0431832,-0.0666519,-0.0435234,-0.0675216,-0.03068742,-0.0627532,-0.0483546,-0.0650283,-0.0371162
-0.07043145,-0.05027555,-0.0704583,-0.0543984,-0.06683015,-0.0747083,-0.07201544,-0.0482573,-0.0579099,-0.0715033,-0.0709365,-0.0565378,-0.07916445,-0.0772063,-0.0749344,-0.0548702,-0.081832,-0.0611175,-0.0682707,-0.05196455,-0.0735513,-0.0657692,-0.0760962,-0.07218135,-0.08097535,-0.06290965,-0.0797156,-0.0720942,-0.0627034,-0.0566276,-0.0891814,-0.06429385,-0.09930905,-0.059217,-0.06486655,-0.07568237,-0.07978185,-0.07335265,-0.0791772,-0.06501617,-0.0772065,-0.05240065,-0.060694,-0.0626287,-0.08615845,-0.0531749,-0.0670293,-0.0644517,-0.0701625,-0.0585455,-0.0812045,-0.0397146,-0.07404895,-0.0583865,-0.0859354,-0.03622225,-0.07363335,-0.0659159,-0.073649,-0.0555151
-0.07043395,-0.0493835,-0.0770264,-0.0564961,-0.07471545,-0.0850916,-0.08470445,-0.06204015,-0.0742337,-0.07373835,-0.0758455,-0.0537643,-0.09686605,-0.08641505,-0.08581585,-0.06269655,-0.0833781,-0.06901255,-0.0800452,-0.06170985,-0.07968705,-0.075919,-0.08311135,-0.08109785,-0.0885093,-0.06875414,-0.0783977,-0.0736335,-0.06860395,-0.06522985,-0.0947748,-0.06183145,-0.1067525,-0.0618721,-0.07749505,-0.0808104,-0.08979935,-0.0881682,-0.0859143,-0.07330915,-0.0829234,-0.0581375,-0.0758196,-0.0700013,-0.08747605,-0.0556055,-0.0705372,-0.0742983,-0.0804786,-0.0558866,-0.08293835,-0.0531022,-0.08968215,-0.069693,-0.0972461,-0.05041105,-0.08447415,-0.0696216,-0.08864385,-0.06985682
-0.08641185,-0.05611595,-0.0698794,-0.07164634,-0.0717242,-0.0911632,-0.0748023,-0.07242415,-0.0768907,-0.08203665,-0.0854951,-0.0743183,-0.0953817,-0.0936374,-0.08871405,-0.06645977,-0.09084505,-0.0776825,-0.08552035,-0.0649408,-0.07848025,-0.0811047,-0.0910532,-0.07713159,-0.09835857,-0.06763215,-0.0786219,-0.0772724,-0.06527475,-0.0761429,-0.1024733,-0.07683435,-0.10816385,-0.0726246,-0.08765615,-0.0899901,-0.0868126,-0.0907198,-0.0928218,-0.0610612,-0.08652635,-0.0619431,-0.08326155,-0.07820015,-0.07506915,-0.06759575,-0.08706075,-0.0675273,-0.0813564,-0.0663446,-0.09067895,-0.07342655,-0.09658885,-0.079481,-0.10627515,-0.0680052,-0.09036615,-0.0779848,-0.0863496,-0.0752979
-0.0903866,-0.0621838,-0.0691526,-0.07439946,-0.077356,-0.09653995,-0.0788377,-0.0740756,-0.0810064,-0.08989934,-0.08530945,-0.0894473,-0.10018195,-0.09306195,-0.0875847,-0.07444027,-0.10560155,-0.09047375,-0.09288715,-0.06851905,-0.0856223,-0.0889844,-0.094421,-0.0849222,-0.10020165,-0.0747203,-0.0825144,-0.07662535,-0.06499695,-0.07621765,-0.10083325,-0.09146185,-0.10606336,-0.0764925,-0.09580872,-0.08438447,-0.1018298,-0.09414115,-0.09096325,-0.06337885,-0.0884527,-0.07182146,-0.09368545,-0.0845799,-0.0880582,-0.07213775,-0.0987629,-0.07113492,-0.09209655,-0.0687912,-0.09994115,-0.0871917,-0.102902,-0.07304625,-0.1065476,-0.0823175,-0.0914032,-0.0816634,-0.0921431,-0.07952295
-0.09325326,-0.06405495,-0.07338745,-0.0789746,-0.08078655,-0.09700675,-0.09061175,-0.07351525,-0.08264065,-0.10176287,-0.08416315,-0.1043563,-0.098622,-0.084341,-0.08139615,-0.08327312,-0.10135774,-0.0904735,-0.1082157,-0.08076955,-0.0955237,-0.1045331,-0.08804795,-0.1009253,-0.1043337,-0.0853113,-0.09285385,-0.07777805,-0.07491645,-0.08109005,-0.1013561,-0.08476198,-0.09358091,-0.0734,-0.1021247,-0.0883814,-0.1039376,-0.09229385,-0.09226651,-0.06643144,-0.08854005,-0.08150873,-0.09232891,-0.0789166,-0.0930425,-0.06889905,-0.11116185,-0.0701171,-0.1008791,-0.06897635,-0.1019157,-0.08819915,-0.1023856,-0.06796645,-0.10975975,-0.08100674,-0.10158105,-0.07923865,-0.09286,-0.07110665
-0.096656,-0.07156486,-0.0878425,-0.07609668,-0.09386715,-0.1028712,-0.08884074,-0.07635205,-0.09987335,-0.10946782,-0.08590281,-0.11284764,-0.10163362,-0.0852487,-0.0925452,-0.08805022,-0.0999305,-0.09597327,-0.09454184,-0.07999095,-0.0958207,-0.09756225,-0.091915,-0.0874373,-0.1124459,-0.0899478,-0.1006433,-0.09051695,-0.08911435,-0.08182355,-0.1063685,-0.09814255,-0.09880388,-0.06777825,-0.10978191,-0.09887125,-0.1013102,-0.0973415,-0.10094195,-0.07429239,-0.09937645,-0.0855126,-0.0879661,-0.0860394,-0.10449285,-0.07663755,-0.1146897,-0.07784869,-0.10361225,-0.06917695,-0.10504049,-0.0960714,-0.09809043,-0.0798534,-0.12351218,-0.07346495,-0.1087737,-0.0841457,-0.10100215,-0.07286591
-0.09822949,-0.07796872,-0.09079625,-0.07906944,-0.1005494,-0.09065307,-0.0884615,-0.0825501,-0.09291484,-0.1172683,-0.09279431,-0.10727825,-0.09723354,-0.09657551,-0.1023946,-0.0863685,-0.0838267,-0.09680287,-0.10532299,-0.08232919,-0.10799729,-0.10172705,-0.0885753,-0.0921118,-0.11814766,-0.09658695,-0.09286185,-0.0959557,-0.0964742,-0.08429935,-0.10599187,-0.09523849,-0.10299418,-0.0887456,-0.12269582,-0.09695675,-0.10965421,-0.1096296,-0.09074565,-0.09316313,-0.09671352,-0.09812542,-0.106258,-0.08980055,-0.10837272,-0.07888595,-0.1123196,-0.0829546,-0.1072539,-0.0816711,-0.1114415,-0.0962629,-0.11107098,-0.0741356,-0.11552143,-0.0766494,-0.10447249,-0.0803689,-0.1028038,-0.07600925
