Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
10,"[135.0, 180.0]",0,van, , , , 
0,"[86.0, 100.0]",0,van,0.8643,0.5495,291.886,0.4651
4,"[54.0, 68.0]",0,saab, , , , 
10,"[181.0, 235.0]",0,saab,0.6498,0.4829,178.4011,0.3125
6,"[141.0, 157.0]",0,bus, , , , 
3,"[150.0, 159.0]",0,bus,0.1147,0.4902,32.1537,0.0561
2,"[59.0, 76.0]",1,bus, , , , 
11,"[306.0, 463.0]",1,bus,0.6789,0.7551,318.2361,0.461
5,"[6.0, 13.0]",0,opel, , , , 
10,"[181.0, 241.0]",0,opel,0.7217,0.4448,175.5612,0.3158
