0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
0.2957,0.2164,0.3369,0.2535,0.3194,0.2033,0.3329,0.2039,0.315,0.2185,0.3513,0.231,0.3271,0.2274,0.3329,0.2204,0.3091,0.1985,0.3329,0.2192,0.3133,0.1963,0.338,0.2087,0.3548,0.223,0.3329,0.1992,0.3131,0.2202,0.3536,0.2192,0.3377,0.2015,0.3329,0.2039,0.3038,0.1946,0.2956,0.3366,0.2075,0.3734,0.2474,0.3329,0.2003,0.2957,0.2605,0.3329,0.2075,0.3161,0.2124,0.244,0.3329,0.2417,0.3069,0.2474,0.3431,0.2204,0.2957,0.2221,0.3329,0.2204,0.3242,0.2282,0.3329,0.2323,0.2963,0.2146,0.3419,0.198,0.3513,0.2124,0.3483,0.211,0.2957,0.2185,0.3452,0.3487,0.237,0.3548,0.2112,0.3329,0.2183,0.3014,0.1906,0.3369,0.231,0.3495,0.2207,0.3341,0.2216,0.3064,0.1893,0.35,0.2322,0.3064,0.2089,0.3419,0.2204,0.2957,0.195,0.3521,0.2534,0.3366,0.2089,0.3395,0.1828,0.3242,0.2233,0.3329,0.2416,0.3194,0.2331,0.3366,0.2216,0.3069,0.2171,0.3341,0.2098,0.3145,0.2224,0.3439,0.1909
0.2963,0.2208,0.3369,0.2535,0.3194,0.2039,0.3329,0.2098,0.315,0.2185,0.3513,0.2334,0.3271,0.2274,0.3329,0.2262,0.3091,0.1985,0.3369,0.2192,0.3133,0.1963,0.338,0.2087,0.3548,0.223,0.3361,0.2016,0.3131,0.2202,0.3536,0.2557,0.3377,0.2015,0.3442,0.2039,0.3038,0.1946,0.319,0.3366,0.231,0.3734,0.2474,0.3329,0.2216,0.2977,0.2605,0.3455,0.2169,0.3161,0.2124,0.244,0.3329,0.2417,0.3078,0.2474,0.3431,0.2204,0.2957,0.2221,0.3359,0.2204,0.3242,0.2282,0.3329,0.2323,0.2963,0.2146,0.343,0.231,0.3513,0.2124,0.3483,0.211,0.2957,0.2185,0.3452,0.3487,0.237,0.3548,0.2166,0.3369,0.2183,0.3014,0.1911,0.3478,0.231,0.3495,0.2717,0.3341,0.2322,0.3064,0.1911,0.3531,0.2322,0.3064,0.2098,0.3508,0.2204,0.2957,0.195,0.3521,0.2534,0.3366,0.2613,0.3395,0.1921,0.3242,0.2233,0.3329,0.2416,0.3194,0.2331,0.3366,0.2274,0.3069,0.2171,0.3341,0.2098,0.3145,0.2224,0.3439,0.1909
0.2963,0.2208,0.3369,0.2535,0.3548,0.2197,0.3491,0.2357,0.315,0.2247,0.3513,0.2334,0.3271,0.2274,0.3329,0.2262,0.3091,0.1985,0.3369,0.2192,0.3242,0.1963,0.338,0.2263,0.3548,0.2244,0.3361,0.218,0.3131,0.2202,0.3914,0.2557,0.3377,0.2385,0.3442,0.2039,0.3038,0.2037,0.3329,0.3366,0.231,0.3734,0.2474,0.3329,0.2216,0.3264,0.2605,0.355,0.2346,0.3548,0.2124,0.244,0.3407,0.2417,0.3078,0.2474,0.3431,0.2204,0.3047,0.2221,0.3409,0.2204,0.3242,0.2282,0.3384,0.2323,0.2963,0.2146,0.3466,0.231,0.3513,0.2124,0.3483,0.211,0.2957,0.2185,0.3452,0.3487,0.2429,0.3548,0.2166,0.3466,0.231,0.3014,0.2344,0.3478,0.231,0.3495,0.2717,0.3341,0.2357,0.3064,0.2376,0.3531,0.2322,0.3064,0.2098,0.3508,0.2392,0.2957,0.195,0.3574,0.2534,0.3366,0.2613,0.3397,0.1921,0.3242,0.2233,0.3508,0.2416,0.3548,0.2331,0.3373,0.2274,0.3069,0.2171,0.3341,0.2098,0.3145,0.2224,0.3487,0.2192
0.3069,0.2208,0.3453,0.2535,0.3548,0.2197,0.3491,0.2357,0.315,0.2247,0.3513,0.2334,0.3271,0.2274,0.3523,0.2262,0.3091,0.1994,0.3391,0.2192,0.3242,0.2146,0.338,0.2263,0.3548,0.2244,0.3361,0.218,0.315,0.2202,0.3914,0.2557,0.3377,0.2385,0.3458,0.2392,0.3038,0.2102,0.351,0.3793,0.231,0.3734,0.2474,0.3329,0.2216,0.3264,0.2605,0.355,0.2346,0.3548,0.2124,0.244,0.3407,0.2417,0.3228,0.2474,0.3792,0.2322,0.3047,0.2221,0.3409,0.231,0.3242,0.2282,0.3384,0.2323,0.3133,0.2146,0.3466,0.2336,0.3513,0.2124,0.3483,0.211,0.3099,0.2185,0.3452,0.3487,0.2429,0.3548,0.2257,0.3617,0.231,0.3014,0.2344,0.3478,0.231,0.3495,0.2717,0.3613,0.2357,0.3344,0.2376,0.3531,0.238,0.3152,0.2098,0.3508,0.2392,0.2957,0.195,0.3574,0.2534,0.3366,0.2613,0.3576,0.2075,0.3461,0.2233,0.3508,0.2416,0.3548,0.2331,0.339,0.2274,0.3081,0.2171,0.3341,0.2099,0.3619,0.2224,0.3898,0.2357
0.3069,0.2208,0.3453,0.2535,0.3548,0.2197,0.3491,0.2357,0.315,0.2247,0.3513,0.2334,0.3271,0.2274,0.3697,0.2369,0.3242,0.1994,0.3391,0.2192,0.3242,0.2146,0.344,0.2263,0.3548,0.2283,0.3454,0.218,0.315,0.2202,0.3914,0.2557,0.3377,0.2385,0.3458,0.2392,0.3242,0.2102,0.3815,0.3793,0.231,0.3734,0.2474,0.3329,0.2216,0.3264,0.2605,0.355,0.2346,0.3548,0.2124,0.244,0.3407,0.2417,0.3228,0.2474,0.3792,0.2322,0.3047,0.2221,0.3409,0.2322,0.3242,0.2282,0.3397,0.2323,0.3133,0.2146,0.4238,0.2336,0.3513,0.2124,0.3483,0.211,0.3099,0.2185,0.3452,0.3487,0.2429,0.3548,0.2257,0.3617,0.231,0.3136,0.2344,0.3478,0.2322,0.3495,0.2717,0.3613,0.2357,0.3344,0.2376,0.3576,0.238,0.3161,0.2098,0.3508,0.2392,0.3072,0.195,0.3574,0.2699,0.3366,0.2613,0.3576,0.2075,0.3461,0.2233,0.3508,0.2416,0.3548,0.2331,0.339,0.2369,0.3081,0.2171,0.3842,0.2204,0.3619,0.2224,0.3898,0.2357
0.3069,0.2284,0.3453,0.2535,0.3548,0.2197,0.3491,0.2357,0.3172,0.2247,0.3513,0.2334,0.3271,0.2274,0.3927,0.2369,0.3242,0.2224,0.3391,0.231,0.3242,0.2146,0.344,0.2263,0.3548,0.2283,0.3454,0.2192,0.315,0.2202,0.3914,0.2557,0.3377,0.2385,0.3458,0.2392,0.3242,0.2124,0.3815,0.3793,0.231,0.3734,0.2474,0.3329,0.2275,0.3264,0.2605,0.355,0.2346,0.3548,0.2124,0.244,0.3407,0.2417,0.3228,0.2474,0.3792,0.2322,0.3047,0.2221,0.3409,0.2322,0.3242,0.2282,0.3581,0.2416,0.3133,0.2146,0.4238,0.2336,0.3513,0.2124,0.3487,0.2122,0.3099,0.2218,0.3452,0.3487,0.2429,0.3548,0.2257,0.3617,0.231,0.3136,0.2344,0.3478,0.2322,0.3495,0.2717,0.3837,0.2357,0.3344,0.2376,0.3596,0.238,0.3161,0.2098,0.3626,0.2392,0.3144,0.195,0.3574,0.2699,0.3366,0.2613,0.4071,0.2357,0.3461,0.2233,0.3629,0.2416,0.3548,0.2331,0.339,0.2369,0.3081,0.2171,0.3842,0.2204,0.3619,0.2224,0.3898,0.2357
0.3136,0.2284,0.3455,0.2535,0.3548,0.2197,0.3631,0.2357,0.3228,0.2247,0.3513,0.2334,0.3271,0.2274,0.3962,0.2369,0.3242,0.2224,0.3391,0.238,0.3242,0.2146,0.3491,0.231,0.3719,0.2283,0.3454,0.2192,0.315,0.2202,0.3914,0.2557,0.3377,0.2385,0.3458,0.2392,0.3242,0.2124,0.3815,0.3793,0.231,0.3734,0.2474,0.3329,0.2275,0.3264,0.2605,0.3558,0.2346,0.3548,0.2146,0.244,0.3407,0.2417,0.3228,0.2474,0.3815,0.271,0.3047,0.2486,0.3439,0.2322,0.3242,0.2282,0.3582,0.2416,0.3133,0.2146,0.4238,0.2336,0.3513,0.2124,0.3487,0.2287,0.3099,0.2221,0.3452,0.3634,0.2429,0.3548,0.2257,0.3806,0.231,0.343,0.2344,0.3478,0.2322,0.3548,0.2717,0.3837,0.2392,0.3344,0.2376,0.3744,0.238,0.3161,0.2098,0.3626,0.2392,0.3144,0.2043,0.3574,0.2734,0.3366,0.2613,0.4071,0.2357,0.3469,0.2233,0.3629,0.2416,0.3548,0.2331,0.3455,0.2369,0.3081,0.2171,0.3842,0.2204,0.3619,0.2224,0.3898,0.2357
0.343,0.2284,0.3525,0.2535,0.3548,0.2199,0.3631,0.2357,0.3228,0.2297,0.3513,0.2334,0.3271,0.2274,0.3962,0.2369,0.3242,0.2224,0.3555,0.238,0.3242,0.2283,0.3491,0.231,0.3719,0.2294,0.3454,0.2239,0.315,0.2202,0.3914,0.2557,0.3377,0.2385,0.3863,0.2392,0.3242,0.2124,0.3815,0.3793,0.231,0.3734,0.2474,0.3409,0.2275,0.3264,0.2605,0.3558,0.2346,0.3548,0.2195,0.244,0.3407,0.2417,0.3228,0.2474,0.3815,0.271,0.3047,0.2486,0.3439,0.2322,0.3242,0.2282,0.3582,0.2416,0.3235,0.2453,0.4238,0.2336,0.3513,0.2124,0.3491,0.2287,0.3548,0.2221,0.3622,0.3634,0.2429,0.3548,0.2257,0.3806,0.231,0.343,0.2344,0.3478,0.2322,0.3548,0.2717,0.3971,0.2392,0.3344,0.2376,0.3815,0.238,0.3161,0.2145,0.3691,0.2392,0.3144,0.2072,0.3574,0.2734,0.3366,0.2613,0.4071,0.2357,0.3469,0.2233,0.3629,0.2628,0.3548,0.2331,0.3455,0.2369,0.3081,0.2474,0.3969,0.2322,0.3884,0.2224,0.4043,0.2357
0.343,0.2284,0.3525,0.2535,0.3548,0.2199,0.3815,0.2357,0.3228,0.2297,0.3513,0.2334,0.3317,0.2274,0.4086,0.2369,0.3242,0.2224,0.3779,0.238,0.3242,0.2404,0.3618,0.231,0.3719,0.2294,0.3526,0.2239,0.3548,0.2202,0.3924,0.2557,0.3377,0.2385,0.3863,0.2392,0.3242,0.2124,0.3815,0.3793,0.231,0.3734,0.2474,0.3825,0.2275,0.3264,0.2605,0.3558,0.2346,0.3912,0.2495,0.244,0.3531,0.2417,0.3228,0.2474,0.3815,0.271,0.3047,0.2486,0.3439,0.2322,0.3242,0.2282,0.3967,0.2416,0.3235,0.2453,0.4238,0.2336,0.3513,0.2124,0.3491,0.2287,0.3548,0.2243,0.3622,0.3634,0.2429,0.3787,0.2257,0.3806,0.231,0.343,0.2344,0.3478,0.2322,0.3548,0.2717,0.4184,0.2392,0.3344,0.2376,0.4199,0.238,0.3255,0.2148,0.3691,0.2392,0.3548,0.2146,0.3574,0.2734,0.3366,0.2613,0.4071,0.2357,0.3548,0.2474,0.3629,0.2628,0.3548,0.2331,0.3455,0.2369,0.3081,0.2474,0.3969,0.2322,0.4034,0.2224,0.4043,0.2357
0.343,0.2365,0.359,0.2535,0.3798,0.2199,0.3877,0.2357,0.3228,0.2297,0.3513,0.2334,0.3548,0.2447,0.4086,0.2369,0.3242,0.2224,0.3815,0.238,0.3242,0.2404,0.3618,0.231,0.3719,0.2294,0.3541,0.2263,0.3548,0.2202,0.3924,0.2557,0.3377,0.2385,0.3863,0.245,0.3242,0.2134,0.409,0.3793,0.2604,0.3734,0.2474,0.3825,0.2275,0.3264,0.2605,0.3558,0.2346,0.3912,0.2495,0.2446,0.3703,0.2417,0.3228,0.2474,0.4052,0.271,0.3047,0.2486,0.3439,0.2322,0.3548,0.2282,0.3967,0.2416,0.3235,0.2453,0.4238,0.2357,0.3513,0.2135,0.3521,0.2287,0.3548,0.2243,0.4148,0.3695,0.2429,0.3787,0.2257,0.3806,0.231,0.4076,0.2344,0.3478,0.2322,0.3548,0.2717,0.4338,0.2392,0.3344,0.2376,0.4199,0.238,0.3255,0.2148,0.3718,0.2392,0.3548,0.2146,0.3574,0.2734,0.3366,0.2613,0.4071,0.2357,0.3548,0.2474,0.3718,0.2628,0.3548,0.2497,0.3576,0.2476,0.3081,0.2474,0.3969,0.2322,0.4034,0.2474,0.4043,0.2357
