0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
0.0083955,-0.0076799,0.0177409,-0.0081361,0.0057384,-0.0029685,0.0213817,-0.01659,0.01124,0.001862,0.0176506,-0.0092385,0.0097297,0.0012698,0.0316863,-0.0029268,0.001925,-0.0085252,0.0286425,-0.0096493,0.0200561,-0.0135423,0.0141055,-0.0104092,0.0061194,-0.0160185,0.0278542,-0.0143918,0.0015247,0.0031514,0.0284893,-0.0065859,0.011588,-0.0109942,0.0206416,-0.0156292,0.0190564,-0.0001125,0.0187907,0.0315319,-0.008244,0.0130527,-0.0098366,0.0242862,-0.0081188,0.0152055,-0.0171401,0.0320737,-0.0013174,0.0051958,-0.0083888,-0.0086163,0.0177956,-0.0080029,0.0153875,-0.0012041,0.0158953,-0.0123798,-0.0002937,-0.0030829,0.0242878,-0.0062067,0.0054882,-0.0160058,0.0167752,-0.0105208,0.0002159,-0.0089163,0.0295377,-0.0135426,0.0068614,-0.0237888,0.0127781,-0.00702,-0.0042157,-0.0070368,0.0296965,0.0147304,-0.0090698,0.004679,-0.0051228,0.0222199,-0.0154399,0.0045993,-0.0038563,0.0226702,-0.0125614,0.014016,-0.0112299,0.0238998,-0.0090099,0.0055414,-0.0009892,0.0147804,-0.0096678,0.0064762,-0.0133496,0.0158947,-0.0094262,0.010362,-0.000561,0.0371221,-0.0093283,0.016652,-0.0053113,0.0187734,-0.0177435,0.0058456,-0.0046474,0.0353844,-0.0038176,0.0039388,-0.0092567,0.0178068,-0.0149452,0.0018392,-0.0090371,0.031805,-0.0034611,0.0070463,-0.0057629,0.0211952,-0.0154198
0.0226066,0.0084332,0.040341,0.0116465,0.0226344,0.0140746,0.0395231,-0.0025545,0.0267446,0.0158122,0.0408164,0.004657,0.0231504,0.0123846,0.0477965,0.0082791,0.0174747,0.0091714,0.0515227,0.0096102,0.0343521,0.0032118,0.0442923,0.0039655,0.022056,0.0030984,0.0485678,-0.0012234,0.0170001,0.015792,0.0443997,0.0057814,0.0325594,0.0061659,0.0410521,0.0035239,0.0314166,0.0144882,0.0390861,0.0481026,0.0058108,0.0304829,0.0042524,0.0407992,0.0016942,0.0284866,0.0004416,0.0431383,0.0085509,0.0199873,0.0061402,0.0050419,0.0404398,0.0082996,0.0277763,0.0114457,0.0380577,0.0037996,0.0145639,0.0112814,0.047873,0.0083845,0.0230007,0.0018545,0.0408316,0.0082513,0.0200887,0.0083002,0.0501152,0.0086407,0.0209366,-0.0044824,0.0321566,0.008073,0.0182232,0.0046335,0.0476881,0.0436085,0.0080492,0.0243566,0.0064348,0.0452638,0.0018247,0.0182911,0.0094373,0.039973,0.0022089,0.0246704,0.0121862,0.0457572,0.0047376,0.0193884,0.0104594,0.037733,0.0063955,0.0205588,0.0052316,0.0389773,0.0090416,0.0222417,0.0137333,0.0551361,0.0059476,0.0293094,0.0070544,0.0333323,0.0017168,0.022616,0.004244,0.0540392,0.0116314,0.0244767,0.0072906,0.0414831,0.006711,0.0164412,0.0071683,0.0494244,0.013982,0.0215705,0.0062726,0.0374901,0.0063293
0.0356882,0.0188526,0.055374,0.0223861,0.0389293,0.0209498,0.0546778,0.0137331,0.0345215,0.0236868,0.0610068,0.0148336,0.0327976,0.0228644,0.0629908,0.0182478,0.0322873,0.019659,0.0644439,0.0204346,0.0434928,0.017165,0.0580015,0.0112851,0.0367334,0.0172715,0.0671536,0.0098582,0.0266666,0.0235457,0.0642202,0.016468,0.0412861,0.0209472,0.0542475,0.0141174,0.0419974,0.0223544,0.0619947,0.0592104,0.015831,0.0390656,0.0197222,0.0596497,0.0137404,0.039458,0.0172016,0.0578241,0.01507,0.0330605,0.020095,0.0154658,0.062301,0.0190406,0.0352474,0.0229032,0.056345,0.0168673,0.0289627,0.0199936,0.0623799,0.0178999,0.03739,0.0159745,0.0569728,0.0146784,0.0327054,0.0184066,0.0634375,0.0122146,0.0319944,0.0094816,0.0507778,0.0140896,0.027859,0.018548,0.0640166,0.0616179,0.0178612,0.0322946,0.0156864,0.0615774,0.0143118,0.030554,0.0212223,0.0566286,0.0154297,0.0335262,0.0214789,0.066092,0.0220654,0.0312462,0.021117,0.0642708,0.0168916,0.0294574,0.0128015,0.0636076,0.0140495,0.0313463,0.0234543,0.0671021,0.0151479,0.0388122,0.016281,0.0540325,0.011942,0.0339774,0.0162193,0.0664376,0.0216903,0.0347801,0.0171886,0.0563059,0.0131816,0.0278601,0.0152126,0.0717236,0.0212962,0.0303116,0.0167094,0.0572297,0.0147402
0.0511428,0.0260506,0.0650067,0.0268345,0.0510563,0.0267291,0.0716424,0.0219642,0.0432696,0.0306466,0.0772394,0.0208108,0.0431966,0.0274966,0.0788662,0.0251216,0.0440063,0.0269308,0.0789357,0.0287946,0.0495603,0.0231076,0.0681098,0.0175748,0.0441034,0.0268541,0.0808184,0.0205488,0.0328422,0.026206,0.08335,0.0221864,0.0556022,0.028759,0.0706532,0.0205753,0.055115,0.0248478,0.0737171,0.0694976,0.0224726,0.048611,0.0259512,0.0731308,0.0209178,0.0465109,0.025444,0.0735267,0.0220156,0.0446526,0.0275931,0.0266955,0.0761491,0.0244596,0.0481354,0.0300255,0.0708176,0.0249773,0.0380233,0.027447,0.0804562,0.0218874,0.0482962,0.0241441,0.0684367,0.0210508,0.0404893,0.0237654,0.0768393,0.0220318,0.0433296,0.0197264,0.0623442,0.0205315,0.0399574,0.0245042,0.0798022,0.0717699,0.023766,0.0440907,0.022164,0.0737748,0.0223364,0.0368209,0.0252138,0.0693626,0.0219213,0.041576,0.0271756,0.083155,0.0262408,0.0408591,0.0285304,0.0783796,0.0249732,0.0364874,0.0195062,0.0792984,0.0229705,0.0391422,0.0307604,0.0814565,0.0191308,0.047708,0.0225901,0.0709441,0.0193526,0.0441018,0.0224534,0.0773532,0.0263811,0.0459426,0.026989,0.0772809,0.0216274,0.0392246,0.0220102,0.0835216,0.0257878,0.0391548,0.0231518,0.0702659,0.0202954
0.0570546,0.0342046,0.0774495,0.0320813,0.0583717,0.0329006,0.0849798,0.0261728,0.052812,0.0353478,0.0940285,0.0254272,0.0522328,0.0308572,0.0966794,0.0287884,0.0504859,0.0322032,0.0876749,0.0322014,0.055744,0.0299818,0.0826104,0.0244846,0.0571252,0.037724,0.0965664,0.0245108,0.0402515,0.0318982,0.1013112,0.0301876,0.0616662,0.03407,0.0819462,0.0275517,0.0625048,0.0322197,0.0866527,0.0812162,0.0325688,0.0541156,0.0311731,0.0880022,0.0248082,0.0552515,0.0307954,0.0838759,0.0261568,0.050745,0.0318276,0.0322465,0.0849694,0.0273334,0.0544478,0.0343227,0.081394,0.029373,0.0454105,0.0317874,0.0910742,0.0301434,0.0533296,0.0310544,0.0840618,0.0258254,0.0473194,0.0294882,0.0910376,0.0273926,0.0536328,0.0262872,0.0709508,0.0254908,0.0474074,0.0291686,0.0954378,0.0834288,0.0248822,0.0504696,0.0321329,0.081067,0.0260044,0.0441737,0.0308542,0.0841608,0.0285265,0.0479938,0.0364042,0.097073,0.0321802,0.0496562,0.0339824,0.0914844,0.0301322,0.0424748,0.0240402,0.0915658,0.0270745,0.05048,0.0359962,0.0962808,0.023232,0.0548182,0.027432,0.0865767,0.0242462,0.0497362,0.0260686,0.0883618,0.0298037,0.0547846,0.0297628,0.0902138,0.0283174,0.0454194,0.0281326,0.0945042,0.027577,0.0503202,0.0282924,0.0866957,0.0262134
0.0616614,0.0403558,0.0902759,0.0348899,0.0642038,0.038709,0.0992884,0.0307174,0.0583916,0.0400256,0.1054342,0.0290574,0.0618346,0.033113,0.1059282,0.0316222,0.0568156,0.0370828,0.0993938,0.0356068,0.0603892,0.0358038,0.0889166,0.033347,0.0653954,0.0456382,0.1091416,0.0287116,0.0504457,0.0339462,0.1154448,0.0346322,0.0691408,0.0358784,0.0944372,0.0311787,0.0709882,0.0367563,0.1002995,0.093688,0.0350604,0.0597302,0.0365509,0.0987408,0.02693,0.0603245,0.0339588,0.0993635,0.0281703,0.0579886,0.0359794,0.0379869,0.0949502,0.0341998,0.060041,0.0382442,0.093855,0.0322397,0.0534445,0.0355054,0.1079708,0.0366892,0.058163,0.0345317,0.0963936,0.029488,0.052848,0.0333874,0.1028292,0.0288722,0.0579108,0.03019,0.0858374,0.0281672,0.0533452,0.0336577,0.108614,0.1003249,0.0299168,0.056093,0.0371041,0.0915336,0.032822,0.0532371,0.037058,0.0967794,0.0344038,0.0530788,0.0406508,0.1100144,0.0356276,0.0562042,0.038244,0.1075166,0.0343518,0.047803,0.0308474,0.1037612,0.0280675,0.0554552,0.040868,0.1091892,0.0253732,0.05981,0.0319733,0.0987293,0.0294806,0.0554584,0.029907,0.1010158,0.0342379,0.0631436,0.0352834,0.105082,0.034897,0.0511273,0.0329104,0.1170882,0.0303268,0.058052,0.0336246,0.1000506,0.0299574
0.0657472,0.0448842,0.1064449,0.0407364,0.0693892,0.0435502,0.1161948,0.034504,0.0645606,0.0440892,0.11974,0.0324624,0.0688656,0.0381814,0.1215424,0.0336148,0.0623017,0.0413462,0.1124358,0.0400764,0.0637879,0.0407392,0.1012852,0.0380648,0.0687624,0.0485192,0.1222176,0.0316766,0.0560425,0.036239,0.1281778,0.036996,0.0751632,0.0395797,0.1067739,0.0366413,0.07501,0.0387908,0.1113533,0.1020144,0.0393202,0.0628383,0.0398848,0.1092038,0.0291518,0.0653595,0.0377064,0.1118383,0.0294868,0.0638152,0.0396032,0.0431968,0.104413,0.0344378,0.0638034,0.0408892,0.1084194,0.0368456,0.0605035,0.0396036,0.1155682,0.0431158,0.066499,0.0379084,0.1101326,0.0331948,0.0599478,0.0371756,0.1150834,0.0321804,0.0646548,0.0343906,0.0986022,0.0316292,0.0585784,0.039621,0.118839,0.115459,0.0315874,0.0597538,0.0398124,0.1044918,0.0369862,0.0581643,0.0417186,0.1109762,0.040286,0.0576358,0.0462218,0.1234504,0.0378412,0.0601436,0.041644,0.1239092,0.0375674,0.0509288,0.03373,0.1162992,0.0297073,0.0609214,0.047036,0.1208258,0.0314068,0.0655008,0.0387439,0.1087901,0.03193,0.0643222,0.0354298,0.1116732,0.0374041,0.0699462,0.0411693,0.1152386,0.040878,0.0556151,0.0370378,0.1312262,0.0316983,0.0632614,0.036473,0.1105594,0.0344514
0.0726216,0.0495708,0.1180341,0.0428984,0.071481,0.0473288,0.1267532,0.0362032,0.0694554,0.0488654,0.1313083,0.0346222,0.0782922,0.0410286,0.1354622,0.0354688,0.0656509,0.0444606,0.1264016,0.0440152,0.0707342,0.047119,0.1131664,0.0409704,0.0731164,0.0526652,0.1339842,0.0338654,0.0613612,0.0387156,0.1413664,0.0386886,0.0822394,0.0446809,0.1194963,0.0417819,0.0785134,0.042063,0.12538,0.1135306,0.0416766,0.0674569,0.042013,0.1232728,0.033912,0.0727338,0.0425307,0.1214072,0.0322652,0.0652672,0.044728,0.0468048,0.1186238,0.038468,0.0672612,0.0446418,0.1219636,0.0416026,0.0662609,0.041845,0.1253335,0.0481298,0.0718878,0.0409681,0.120542,0.038562,0.0648916,0.0409122,0.1227866,0.0377556,0.07113,0.0380402,0.1071534,0.033089,0.0637996,0.0458612,0.1295886,0.1259696,0.0348345,0.0632972,0.0432286,0.1184178,0.0431768,0.0621454,0.046913,0.1217908,0.0431806,0.062622,0.0480218,0.1376396,0.0413976,0.0668838,0.0453298,0.138117,0.040081,0.0573518,0.0379474,0.135386,0.0332021,0.0648646,0.0512824,0.1338606,0.0353526,0.0688114,0.0401648,0.1236905,0.0372526,0.0678212,0.0403579,0.1258316,0.0409603,0.0757244,0.044295,0.1258406,0.044604,0.0604719,0.0386746,0.1473158,0.0354227,0.0690246,0.0404636,0.1208284,0.0366846
0.0779896,0.0550672,0.1331348,0.0459744,0.0768655,0.0505526,0.1372832,0.0377286,0.0788396,0.0535034,0.143472,0.0380838,0.0845312,0.045474,0.1510674,0.0381588,0.0676997,0.0483844,0.1374908,0.0471344,0.0755032,0.0523852,0.1265438,0.0425234,0.0797148,0.0541774,0.1447998,0.035587,0.065057,0.0422424,0.1528728,0.0410002,0.0886178,0.0466617,0.1315417,0.0433579,0.0817932,0.0452496,0.1413564,0.1248396,0.045664,0.0702848,0.0440531,0.1346838,0.035646,0.0762266,0.0467685,0.1339696,0.0383306,0.0675048,0.0489092,0.0498637,0.126965,0.0424734,0.0734032,0.048103,0.1341966,0.043631,0.069744,0.0432064,0.1397704,0.0492412,0.076211,0.0430115,0.1405018,0.0396262,0.0706832,0.046756,0.1302066,0.0405896,0.0757212,0.0409296,0.1175528,0.0364572,0.0700718,0.050594,0.138021,0.1346906,0.0366221,0.0693084,0.0464492,0.1314794,0.044856,0.0651159,0.0509002,0.1361148,0.045598,0.0688972,0.0532166,0.1523958,0.044554,0.0701844,0.0467356,0.1519734,0.0455882,0.0615034,0.0401462,0.1465602,0.0360003,0.0723154,0.0562196,0.1512558,0.0376464,0.0754066,0.0422704,0.139262,0.0388582,0.0735356,0.0427737,0.1347448,0.0433151,0.0810378,0.0487865,0.1398688,0.0493978,0.0656507,0.0412134,0.163726,0.0374789,0.0744298,0.0454936,0.1293818,0.037283
0.0829234,0.058395,0.1484252,0.0485768,0.0809957,0.0526454,0.1553684,0.0402008,0.0822492,0.0566668,0.1577722,0.0404662,0.088972,0.0492378,0.1641872,0.0408518,0.0713418,0.0544156,0.1514758,0.0498978,0.0783558,0.0549698,0.1390862,0.0459188,0.085188,0.0572774,0.1560168,0.0380834,0.0694868,0.0454638,0.1673386,0.045492,0.0918576,0.0507859,0.1460974,0.0474181,0.0858112,0.0479108,0.1550584,0.1376046,0.0484522,0.0749396,0.0480615,0.1464772,0.0386552,0.0808722,0.0503575,0.1449036,0.0399694,0.0706044,0.0509762,0.0535339,0.1351098,0.0454896,0.0776762,0.0514582,0.1436782,0.0476376,0.0719892,0.0445516,0.1527498,0.052338,0.0824122,0.0472007,0.1541898,0.0428048,0.0780086,0.0510874,0.1401052,0.0418486,0.0810094,0.043853,0.125249,0.0383918,0.072504,0.0536594,0.1480212,0.1453786,0.0391869,0.076139,0.0517549,0.1485366,0.0473146,0.0684503,0.0537472,0.1488216,0.050242,0.0740758,0.05685,0.1635486,0.0484064,0.0746918,0.0513162,0.1619948,0.0491154,0.064209,0.0429906,0.159833,0.0414793,0.0787031,0.061359,0.160537,0.0402708,0.0804926,0.0468204,0.1520064,0.0434932,0.077603,0.0449591,0.1452504,0.0458332,0.0859328,0.0537783,0.1510614,0.0501712,0.070555,0.045773,0.1800654,0.0395454,0.0788232,0.0482356,0.141289,0.0394094
