0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0.0547552,0.0354038,0.0387054,0.0546394,0.0365648,0.0418722,0.0541964,0.0377998,0.0383798,0.059298,0.0381084,0.0399548,0.0575598,0.0330586,0.039999,0.0565458,0.0416508,0.0359048,0.0582484,0.0365564,0.0383686,0.0542422,0.0328728,0.0412928,0.0612486,0.0368632,0.038566,0.0558222,0.0343608,0.037456,0.0544022,0.0351158,0.03962,0.057873,0.02891,0.041098,0.0536826,0.0266552,0.0397372,0.0632894,0.0454778,0.0397954,0.0566856,0.0343066,0.0419272,0.0570438,0.0298216,0.038022,0.0553212,0.0357464,0.041535,0.056023,0.0307428,0.0393346,0.0624128,0.038938,0.042514,0.0541306,0.035404,0.0378782,0.0607178,0.0263628,0.0377748,0.0586262,0.0278972,0.0381796,0.0641904,0.0320058,0.040204,0.06002,0.0286538,0.0381394,0.0535972,0.0341332,0.0411366,0.0582744,0.0341908,0.0411992,0.06374,0.037767,0.0427732,0.0401726,0.0580524,0.0333444,0.0412644,0.0604024,0.032906,0.0390776,0.0646338,0.0331174,0.0378518
0.0642054,0.0410804,0.0423262,0.062589,0.0414946,0.0457616,0.06613,0.042822,0.0424402,0.0667862,0.045082,0.0439184,0.0648738,0.0371696,0.043238,0.0635776,0.0452572,0.042789,0.0700394,0.0425432,0.0419108,0.0639976,0.0384486,0.0455164,0.0694532,0.0422906,0.0428856,0.0631582,0.0378464,0.040581,0.0640252,0.0408094,0.0452028,0.06464,0.0341978,0.0449682,0.0629684,0.0313064,0.0439564,0.0757024,0.047909,0.0440312,0.0661662,0.0379192,0.046001,0.0673256,0.0343886,0.0422812,0.064079,0.0403324,0.0436144,0.0651002,0.037954,0.0457712,0.070886,0.0493214,0.0459914,0.062386,0.0388628,0.04204,0.0699206,0.0329668,0.0418008,0.0672128,0.0339874,0.0421372,0.0732392,0.0399778,0.043693,0.0680076,0.034553,0.0438888,0.0606424,0.0419842,0.0458604,0.0678108,0.0395618,0.0438602,0.070523,0.0435892,0.0457718,0.043086,0.0670876,0.0388744,0.0457104,0.070397,0.0397422,0.0454754,0.0755892,0.0383324,0.0414586
0.071855,0.0472978,0.0473646,0.0735002,0.047306,0.0499294,0.0738272,0.0489118,0.048376,0.0750544,0.0482282,0.0484134,0.0743832,0.0424558,0.048337,0.0729966,0.0520434,0.0475674,0.0811146,0.051325,0.0470712,0.0704396,0.0443754,0.0495032,0.0808026,0.0482458,0.0484938,0.075715,0.0469726,0.044229,0.0748296,0.0463236,0.0503128,0.0723326,0.0396432,0.0489434,0.0731782,0.0349208,0.0466412,0.0832342,0.0514294,0.0489642,0.0733726,0.0439606,0.0483336,0.0742372,0.040089,0.0460936,0.072632,0.042361,0.0492856,0.075784,0.0421532,0.0519446,0.0814922,0.054741,0.0477196,0.0719824,0.0451176,0.046237,0.0778994,0.0378732,0.0458404,0.0735926,0.0379908,0.0467556,0.0795852,0.0431346,0.0467768,0.0746422,0.0391596,0.0461454,0.0650958,0.0456158,0.0489566,0.0762886,0.0458884,0.0478568,0.0792622,0.0499786,0.0508362,0.0465136,0.0724276,0.0455782,0.0506286,0.0759918,0.0435082,0.0499492,0.0816916,0.0431112,0.0452234
0.080566,0.0511562,0.052663,0.0809594,0.0529132,0.0523644,0.083368,0.0534444,0.0535298,0.0822704,0.051561,0.0519072,0.0830004,0.0470944,0.0540116,0.081537,0.0544834,0.0513204,0.0899648,0.0537576,0.0507176,0.078739,0.0496364,0.0532816,0.0891366,0.0535994,0.0532074,0.0847848,0.0517922,0.0474168,0.0839762,0.055008,0.0561286,0.0798376,0.0440534,0.052111,0.082231,0.0428432,0.0519374,0.0930688,0.0559312,0.052706,0.0834886,0.0514402,0.0523152,0.0868958,0.0438834,0.052171,0.080998,0.0474728,0.0527848,0.085374,0.0475488,0.0553904,0.088829,0.0581532,0.0524958,0.0800158,0.0470234,0.051575,0.088191,0.042694,0.0488386,0.0841686,0.0443056,0.0511778,0.0835222,0.0460018,0.052581,0.0811482,0.0476366,0.048595,0.0731236,0.0504812,0.0506562,0.0849206,0.053615,0.0511454,0.0879858,0.0572008,0.0581132,0.0485056,0.0814296,0.051645,0.0539986,0.0813708,0.049869,0.0550406,0.0928506,0.0494612,0.0505272
0.0892366,0.0573764,0.0574046,0.0902614,0.0571144,0.0557404,0.095201,0.0583092,0.0579154,0.0881014,0.0580898,0.056133,0.0903996,0.0526858,0.0592218,0.0914064,0.0576312,0.0539742,0.0971634,0.0594398,0.0546384,0.0881322,0.0538662,0.0589788,0.0971046,0.055898,0.0552348,0.0939754,0.0579014,0.0515758,0.0951852,0.056637,0.0606012,0.088677,0.0479086,0.0547346,0.0865254,0.04637,0.054509,0.10412,0.0596046,0.0564108,0.0912398,0.055276,0.057405,0.0908428,0.0506104,0.0557186,0.0912044,0.05272,0.0564744,0.093358,0.0510588,0.0603646,0.0956022,0.061732,0.0550968,0.0881394,0.050604,0.0573862,0.0941408,0.0513728,0.0522412,0.092384,0.049066,0.0536594,0.0917836,0.0500722,0.0585012,0.0897974,0.0512174,0.0514958,0.0845866,0.0563502,0.0565964,0.0907088,0.0576018,0.0547572,0.095173,0.0655348,0.0617666,0.0520474,0.088523,0.0548746,0.0578146,0.0904106,0.0549156,0.059997,0.100896,0.0539054,0.0532524
0.0952974,0.0586736,0.0628378,0.0965174,0.0601474,0.058977,0.1064414,0.063653,0.063312,0.0930994,0.0631546,0.0605444,0.0971418,0.0542678,0.063683,0.0974578,0.0629648,0.0580824,0.1057116,0.0663826,0.058767,0.0957878,0.0597996,0.064349,0.1050732,0.0599266,0.0608566,0.1047468,0.063277,0.0562156,0.1009234,0.0652348,0.0638692,0.0969742,0.0535118,0.0595526,0.0914466,0.0484126,0.0590834,0.1119164,0.0655274,0.0608314,0.0989728,0.0588514,0.0617462,0.0989794,0.0579754,0.0595026,0.09998,0.0570812,0.0616566,0.099625,0.054958,0.0647962,0.1042746,0.066659,0.0594936,0.0974466,0.055647,0.0647076,0.1007166,0.0554884,0.055754,0.0990774,0.0576154,0.0584408,0.0977998,0.0562066,0.0623822,0.0974792,0.0550008,0.0558386,0.0920214,0.0605424,0.0599308,0.1000324,0.063174,0.0571872,0.1007612,0.0699882,0.0657796,0.0557856,0.0949988,0.0574942,0.0625604,0.0984064,0.0599994,0.0650868,0.1107152,0.056828,0.0578258
0.1066488,0.0625004,0.0672508,0.10378,0.0672684,0.0634728,0.1148278,0.0655912,0.0697994,0.0992854,0.0664904,0.0622148,0.1034756,0.0578654,0.0682032,0.1054556,0.0647584,0.0618842,0.1144218,0.0690778,0.0611672,0.1012176,0.067895,0.0651014,0.1103744,0.0643356,0.0633114,0.1116382,0.0683794,0.0636326,0.1086448,0.0692358,0.0681216,0.1059706,0.0590602,0.0630592,0.1017704,0.0518912,0.0637566,0.1194722,0.0680002,0.0637924,0.1085338,0.0615692,0.0659516,0.1106698,0.0607372,0.0629192,0.1083238,0.0609026,0.065356,0.1086016,0.0596614,0.0708052,0.110553,0.071384,0.0640348,0.1062352,0.0594412,0.067013,0.1139694,0.059582,0.0572216,0.1085,0.0641842,0.0613686,0.1014704,0.0605656,0.0690106,0.1070264,0.0586016,0.059539,0.0996616,0.063832,0.0662498,0.1091336,0.0734896,0.0597396,0.1058972,0.071387,0.0683548,0.0587282,0.1016454,0.0645318,0.0662878,0.1055934,0.061422,0.0691196,0.1184378,0.0624254,0.0616626
0.116352,0.0650374,0.0722344,0.11226,0.069169,0.0690298,0.121258,0.0695224,0.0752426,0.106827,0.0715986,0.068044,0.1112168,0.0644364,0.0744974,0.112731,0.0688202,0.0657206,0.1217878,0.074303,0.0660002,0.110235,0.0706674,0.0682588,0.1178484,0.0688434,0.0661862,0.11845,0.0702974,0.0681562,0.1158174,0.0741438,0.0740778,0.1150784,0.0640788,0.066889,0.107778,0.057125,0.068037,0.1272,0.0765202,0.0678512,0.1159796,0.0669114,0.0692404,0.1197544,0.0687588,0.06534,0.11421,0.065645,0.069103,0.1160158,0.064144,0.0740152,0.1181824,0.0751572,0.06747,0.1129254,0.0629116,0.0710184,0.1217786,0.0661174,0.0607952,0.1197006,0.0698882,0.0639976,0.1081184,0.0621988,0.0740948,0.111813,0.0647368,0.0626486,0.1094508,0.0683746,0.0721864,0.1172232,0.0780954,0.0626492,0.111146,0.0823488,0.0723978,0.061446,0.1069786,0.06621,0.0704464,0.114436,0.0668686,0.0748748,0.1240768,0.0715026,0.0661524
0.1255144,0.0670624,0.0766952,0.1185756,0.073982,0.0721078,0.1289464,0.072993,0.080196,0.1144132,0.0771538,0.0704834,0.1193174,0.0672216,0.0778448,0.121552,0.073917,0.0721254,0.1281702,0.081203,0.0670394,0.1179396,0.0799776,0.0735836,0.1205856,0.0738096,0.069404,0.1249118,0.072951,0.0713574,0.1212226,0.0800712,0.0798394,0.1197366,0.073041,0.0697106,0.1165864,0.0598516,0.072087,0.134247,0.0803344,0.0727718,0.1240592,0.0707726,0.0746374,0.1267722,0.075303,0.069273,0.1232206,0.0696166,0.0729586,0.1202328,0.068531,0.0774724,0.1260328,0.0780476,0.0709584,0.1198566,0.0643148,0.0750214,0.1281368,0.069908,0.063632,0.1251214,0.0746698,0.0674784,0.1140014,0.069656,0.0773188,0.1171142,0.068195,0.0660368,0.1186428,0.0750644,0.0738204,0.1209024,0.083082,0.0650082,0.1170118,0.0872522,0.0779292,0.0663424,0.112188,0.0719656,0.0735104,0.1239944,0.0696672,0.0778454,0.132535,0.0766308,0.072038
0.1330778,0.0732732,0.080606,0.1260776,0.079324,0.076005,0.136355,0.0789826,0.0834576,0.1228806,0.082297,0.0741446,0.1219562,0.0720862,0.0825216,0.128358,0.0790912,0.0747836,0.1325138,0.0871504,0.0704492,0.1234438,0.0896064,0.0781616,0.126278,0.0751196,0.074464,0.1319498,0.0797974,0.0781292,0.1270956,0.0892422,0.0839868,0.1289832,0.0760748,0.0718214,0.123454,0.0636242,0.075422,0.1393742,0.0861032,0.076626,0.1334644,0.0748472,0.0782962,0.1343012,0.0792034,0.0695564,0.1320092,0.0737668,0.0751366,0.124593,0.0754096,0.0811092,0.1326392,0.0829048,0.073877,0.1259884,0.0676038,0.0793594,0.133859,0.0738644,0.068007,0.1353402,0.0828272,0.0734142,0.1203576,0.0766024,0.083067,0.1224426,0.0747714,0.069145,0.1262874,0.0783784,0.0769286,0.127807,0.0899804,0.066574,0.1231114,0.093413,0.0833722,0.069864,0.119166,0.0786574,0.0770806,0.1309128,0.0754164,0.0824306,0.1396234,0.0811224,0.0772228
