0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0.0247066,0.0414048,0.0248146,0.023765,0.041127,0.0237662,0.0422428,0.025319,0.0418594,0.0239818,0.0418058,0.024206,0.040982,0.0418084,0.0218224,0.0405024,0.0240456,0.0257634,0.0421544,0.024844,0.0224254,0.0417042,0.0236458,0.0412438,0.0245654,0.024327,0.0420056,0.0249028,0.0402454,0.0242746,0.0423348,0.0241236,0.041558,0.024762,0.0230038,0.0423422,0.024803,0.0230914,0.0421878,0.0245278,0.039559,0.0240914,0.0437978,0.022122,0.0422298,0.0236698,0.0404064,0.0238078,0.024996,0.0420836,0.0238692,0.0405194,0.0230046,0.0410526,0.0233414,0.0410238,0.0232366,0.044186,0.023908,0.0233824,0.040644,0.0258132,0.040803,0.0238204,0.0412058,0.0239942,0.041336,0.0227292,0.0431656
0.0246032,0.0414344,0.0250852,0.023778,0.0401622,0.024161,0.042451,0.0254226,0.0414728,0.0248354,0.0420524,0.024693,0.04072,0.0408728,0.0232708,0.0409316,0.0241866,0.0268628,0.0419258,0.0259724,0.023304,0.041709,0.0240782,0.0407742,0.0257182,0.023953,0.0424638,0.0255772,0.0406788,0.0241372,0.041058,0.0259008,0.0407898,0.025394,0.0232416,0.0422874,0.0257566,0.024711,0.040903,0.025102,0.0404838,0.0249732,0.0440982,0.024161,0.0419228,0.0233284,0.040328,0.025352,0.0243288,0.0420764,0.025285,0.0412478,0.0234372,0.041386,0.0232166,0.0408406,0.0233446,0.0440822,0.0247158,0.0232454,0.040216,0.0261752,0.041241,0.0243322,0.0409728,0.024785,0.0414992,0.0236702,0.0425922
0.0255982,0.0418512,0.0248476,0.023986,0.0405954,0.0250566,0.0422312,0.0259892,0.0404036,0.0252432,0.0418782,0.0245678,0.0409658,0.0399082,0.0231702,0.0408154,0.0248358,0.0261422,0.041578,0.0258762,0.0240156,0.0412728,0.0246068,0.0414084,0.026422,0.024202,0.0428182,0.0259224,0.040576,0.02437,0.0408876,0.0254592,0.0402702,0.0264968,0.0238286,0.0416384,0.0255778,0.0245942,0.0411288,0.0269422,0.040163,0.0256016,0.0440736,0.0256222,0.0420484,0.0239568,0.040637,0.0249358,0.0243452,0.0424344,0.0257554,0.041522,0.0248398,0.0414902,0.0238782,0.0410572,0.0241686,0.0432842,0.0258188,0.0238694,0.0393384,0.0261502,0.0410748,0.0257258,0.0412312,0.0251384,0.0414368,0.0245606,0.0414822
0.0260976,0.0418802,0.025593,0.0247554,0.0413286,0.0260142,0.0409996,0.0250566,0.0416944,0.0255804,0.0409792,0.0247098,0.0408706,0.040109,0.023874,0.0391128,0.0259222,0.0258344,0.04092,0.026214,0.0250564,0.0404612,0.0246986,0.042378,0.0257728,0.0244854,0.0433308,0.0266966,0.0411596,0.0250112,0.0398932,0.0258056,0.039896,0.0274704,0.0243568,0.0415762,0.0264392,0.0252518,0.0409088,0.026347,0.0408636,0.0252396,0.043075,0.0253392,0.0424188,0.0240944,0.0413618,0.0246362,0.0247524,0.0427512,0.0257472,0.0411364,0.0245074,0.0409914,0.024257,0.0408824,0.0243514,0.0432554,0.0258224,0.0241818,0.0400092,0.0255966,0.040651,0.0259466,0.0420022,0.0259544,0.0421948,0.0244152,0.0409492
0.0265762,0.0422384,0.0261594,0.0248136,0.0421156,0.0264548,0.0424814,0.0263678,0.0418072,0.0254262,0.0410168,0.0254796,0.0416828,0.0409572,0.023396,0.0396086,0.0258554,0.0264832,0.0416044,0.0264926,0.0246362,0.039892,0.0247534,0.0430486,0.0261638,0.0245194,0.0429854,0.0261222,0.040473,0.0247782,0.0394988,0.0263088,0.0405794,0.0266916,0.0243114,0.0420428,0.0264978,0.0251934,0.0408798,0.027275,0.0411876,0.0265006,0.0428222,0.0255682,0.0417032,0.022966,0.0412656,0.0247278,0.0254726,0.0427764,0.0261552,0.0414318,0.0246904,0.0403842,0.0248144,0.0415862,0.0249468,0.043135,0.0258634,0.024303,0.0388278,0.025772,0.0403228,0.0253848,0.0427474,0.0260508,0.0415124,0.0245112,0.041233
0.027388,0.0428798,0.0262088,0.0244722,0.0422404,0.027104,0.042627,0.0264004,0.0414124,0.0256304,0.0408472,0.0258166,0.0406762,0.0415532,0.0247478,0.040404,0.0264882,0.0263084,0.0406476,0.0270706,0.0255268,0.0411616,0.025639,0.0445052,0.027338,0.0249718,0.0428488,0.0268344,0.0401734,0.0256102,0.0401112,0.0269958,0.0408298,0.0270914,0.0242612,0.0421474,0.0267684,0.0250768,0.0396776,0.0279496,0.0405302,0.0274748,0.0430844,0.0269084,0.0426318,0.0237154,0.0414692,0.0256268,0.025256,0.0432888,0.0269662,0.0414368,0.0254228,0.0411968,0.0247936,0.0418448,0.024993,0.0443508,0.026276,0.0256058,0.0406552,0.0255938,0.0422248,0.0257012,0.0429054,0.0267624,0.0416534,0.024973,0.0409422
0.0278628,0.0429714,0.0270372,0.0253258,0.0428366,0.0290314,0.0442714,0.0277286,0.041034,0.026796,0.0423418,0.0266082,0.042208,0.0422282,0.0266084,0.0411752,0.0266504,0.0263082,0.0415336,0.0271412,0.0256142,0.0417194,0.0268218,0.0451966,0.0277624,0.0247054,0.0427318,0.026671,0.040964,0.0256354,0.0406312,0.0272788,0.041425,0.0272988,0.0245068,0.0427804,0.027563,0.0253472,0.039324,0.0295392,0.041771,0.0280282,0.0424984,0.027,0.0436644,0.0246648,0.041673,0.0259138,0.0255766,0.0439762,0.0272746,0.0427486,0.0250112,0.041422,0.0256716,0.0426238,0.0255008,0.044672,0.0260146,0.025427,0.04165,0.0254148,0.0427794,0.0252558,0.0423604,0.0267746,0.0427026,0.0250522,0.0422336
0.0281872,0.0435464,0.0283112,0.0253678,0.0434238,0.029044,0.0446298,0.0275034,0.0415342,0.026696,0.043928,0.0265788,0.0413718,0.0414794,0.027008,0.0417044,0.0266596,0.026883,0.0417756,0.0273906,0.0256764,0.0423532,0.0269834,0.0452134,0.0287324,0.0253302,0.043228,0.0275074,0.040694,0.0267804,0.0405402,0.027046,0.0408092,0.02717,0.0246564,0.0427644,0.028054,0.0251844,0.0400356,0.0301716,0.0426206,0.028469,0.043943,0.0281034,0.0432278,0.024594,0.0419566,0.0261222,0.0261218,0.0432978,0.0272534,0.0433064,0.025178,0.0417388,0.0264834,0.0418954,0.0262794,0.0440024,0.0275502,0.0266216,0.0423992,0.0255438,0.0430922,0.024665,0.0428228,0.0281152,0.0429944,0.024827,0.0417472
0.0286036,0.0442342,0.0288106,0.0252798,0.043748,0.028965,0.0449422,0.0283524,0.041022,0.0264296,0.045117,0.0280892,0.0417596,0.0424152,0.0260172,0.0414164,0.0269836,0.0267964,0.0414426,0.0281484,0.025597,0.0437764,0.0269218,0.0450432,0.0293644,0.025476,0.0446224,0.0284524,0.0402604,0.0270756,0.042637,0.0278782,0.0413172,0.0279066,0.0244896,0.04376,0.0284534,0.0260376,0.0396316,0.0313002,0.0434606,0.0288104,0.0436602,0.0274368,0.0442736,0.0248228,0.0426064,0.026493,0.0256222,0.0429318,0.0275034,0.0428624,0.0258982,0.0415686,0.0263378,0.0426362,0.0265008,0.043919,0.0274162,0.0279126,0.0431944,0.0257398,0.0438704,0.024644,0.0432014,0.0283152,0.0427364,0.0255936,0.0420958
0.0285066,0.044197,0.0293098,0.025138,0.0442306,0.0297514,0.0457542,0.0296138,0.0412022,0.0275744,0.0443476,0.0280144,0.0426418,0.042857,0.027416,0.0416288,0.0269372,0.0272878,0.0414796,0.0274912,0.0254932,0.0436766,0.0272002,0.044919,0.0285408,0.026854,0.0455426,0.0291976,0.0406684,0.0276132,0.0435316,0.0279574,0.041309,0.0293094,0.0244154,0.0450884,0.0286994,0.0265624,0.0415506,0.032171,0.0424834,0.0291972,0.0439012,0.0256592,0.0444518,0.025231,0.0428856,0.0272044,0.0272878,0.0424202,0.0274158,0.0427508,0.0260312,0.0422678,0.0268076,0.0422786,0.0265966,0.0438686,0.0281204,0.0271588,0.0428944,0.025906,0.0438244,0.0251236,0.0432976,0.0273082,0.0443426,0.0253892,0.0418102
