0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.0220551,-0.012443,0.0243187,0.0119096,0.0311284,0.0039696,0.0238361,0.0026457,0.0193732,0.0072902,0.0187743,0.0150046,0.0205908,0.0233502,0.0350122,0.0009316,0.0342728,-0.0020484,0.0271784,-0.0001388,0.0250847,0.028164,0.020506,0.0091633,0.0171028,-0.0127517,0.0197417,-0.010443,0.0178969,-0.0035241,0.039341,0.0092604,0.024675,-0.0001079,0.0082073,0.0274567,0.0186648,0.0122222,0.0198554,0.0157038,0.0190767,-0.0073444,0.0164372,0.0076015,0.031187,0.002086,0.0147507,0.0019926,0.0182749,0.0014445,0.0250073,-0.0025344,0.0259168,0.0130713,0.0504585,-0.0016384,0.0317053,0.0022524,0.0194647,-0.0054284
0.015675,-0.0293299,0.0085391,0.002494,0.0365028,-0.0106748,0.0366378,-0.0138,0.0131247,0.0105042,0.0120132,-0.0073871,0.0250304,0.0171579,0.0384277,-0.0036606,0.024824,-0.0088526,0.0263783,-0.0069719,0.0181702,-0.0074188,0.0040626,-0.0079804,0.0171429,-0.0238625,0.0127125,-0.004439,0.0184709,-0.0198119,0.0399864,0.0103129,0.0195318,-0.0309759,-0.0037259,0.0151857,0.0212417,-0.0152504,0.017072,0.0129023,0.0134668,-0.019434,0.0066002,-0.0012549,0.0348016,-0.0038944,0.0190441,-0.0027862,0.0091665,-0.0135511,0.0313908,-0.009945,0.0249966,-0.0012711,0.0287923,-0.0055731,0.0247852,-0.0230177,0.0292796,-0.0256036
0.0385084,-0.0303601,0.0158621,-0.0048522,0.0542528,-0.0095142,0.0441786,-0.0101988,0.0219112,-0.0041746,0.0157612,-0.007959,0.0194805,0.0064016,0.0408551,-0.0130119,0.044503,-0.0070954,0.0199427,-0.0049209,0.0172401,-0.0176851,0.0176151,-0.0088515,0.0299574,-0.0108894,0.014371,0.0042328,0.0287004,-0.0056331,0.0517497,-0.0096626,0.0258923,-0.0187012,0.0292179,-0.0110625,0.0404293,-0.0258813,0.0249997,0.0134368,0.0178245,-0.0226273,0.015587,-0.0035434,0.0280542,-0.0164968,0.023028,0.00077885,0.0540676,-0.0026157,0.0469807,-0.012675,0.0208718,0.0070951,0.0498997,-0.0078542,0.0376234,-0.0236515,0.0331026,0.0020518
0.0669205,-0.0335886,0.0359375,-0.0221873,0.0838788,0.0094652,0.0382683,-0.017289,0.0351265,-0.0046164,0.0434806,-0.0079811,0.0261313,0.0084619,0.0413848,-0.0251339,0.0720126,0.0039775,0.050924,0.0040129,0.04203565,-0.00905,0.0349103,-0.0173804,0.0413368,0.01206355,0.0308211,0.0064278,0.0580265,-0.0114808,0.0619157,0.0070119,0.0333932,-0.0039185,0.0431409,0.0115571,0.0509104,-0.0134714,0.0391286,0.0218065,0.0408599,-0.0221408,0.0405276,0.0004297,0.0414996,-0.0139806,0.0431534,-0.0139383,0.0529013,0.0010015,0.0662113,-0.00188405,0.0318359,0.0157364,0.0588863,0.0041294,0.0594374,-0.0302473,0.0495411,-0.0112753
0.085877,-0.0255371,0.0685493,-0.0157822,0.096882,0.0215234,0.0616204,-0.0073912,0.0579518,-0.0058833,0.0548935,0.0045869,0.0384983,-0.0009403,0.0387519,-0.0104849,0.0896584,-0.0013224,0.0721212,-0.0007019,0.07399985,0.0037251,0.0512712,-0.0093272,0.0656731,0.012111,0.0481098,-0.0026139,0.0794293,-0.0071875,0.0785211,0.0113793,0.05311,-0.0169187,0.066863,0.0102367,0.0642736,-0.0032382,0.0514501,0.0105407,0.0650742,-0.0174302,0.0432288,-0.00940725,0.0759713,-0.0156296,0.0938031,-0.0080654,0.0603298,0.0057835,0.0943462,-0.00364535,0.0660489,0.0175209,0.0757571,0.004477,0.0639382,-0.0160241,0.0753549,-0.0049634
0.1010295,-0.0309993,0.0925505,-0.009494,0.1240528,0.0274084,0.0713697,-0.0017286,0.0819097,0.0026686,0.0733108,-0.0046278,0.0743448,-0.0236649,0.0483888,-0.0165011,0.0974061,-0.0118477,0.1047636,0.0068063,0.08651525,-0.0015125,0.0721833,-0.0149845,0.0915973,0.0257553,0.0572819,0.0104029,0.1103037,-0.0011918,0.1000114,0.0151173,0.0618793,0.0052218,0.060565,0.0217915,0.0812454,0.0099807,0.0656447,0.0107418,0.0862042,-0.0093098,0.0707348,-0.00209825,0.1011936,-0.0228526,0.10522315,-0.0111045,0.0768526,0.004441,0.1207583,-0.0042042,0.0550106,0.0257584,0.1319847,0.0005105,0.076879,-0.0057999,0.1072956,-0.00212
0.1122224,-0.0008154,0.1132276,-0.0165661,0.1414062,0.03466565,0.1036308,-0.0091445,0.0964973,0.007154,0.0986514,-0.00272115,0.1095089,-0.0034881,0.0915717,0.0072564,0.1355745,-0.0023066,0.1313528,0.0119132,0.1234712,0.0172141,0.0860474,-0.0189867,0.1177259,0.0144263,0.0788366,0.0219997,0.1333293,-0.0052532,0.113342,0.0167576,0.0908021,0.0243175,0.09802694,0.0158864,0.1000164,0.0136013,0.0985058,0.0285917,0.1195007,0.0115701,0.1106013,-0.01738115,0.1343597,-0.0179884,0.1369973,0.0110073,0.11378995,0.013329,0.1181974,0.0017136,0.0874274,0.0450773,0.1513623,-0.0124724,0.1056411,-0.0020927,0.1277753,0.000312
0.120439,-0.0012255,0.1453662,-0.0160134,0.1668214,0.02506395,0.1148719,0.0019331,0.1172512,0.0203185,0.1134959,0.0263272,0.124574,0.0104251,0.1273283,0.0201966,0.164312,0.0190899,0.1539946,0.0187897,0.1485228,0.0122647,0.1036595,0.0089409,0.1333973,0.0104692,0.1036373,0.0215094,0.1425731,-0.0050787,0.146772,0.0237957,0.1384061,0.0397267,0.10241494,0.0194237,0.1194245,0.0256477,0.1034032,0.044903,0.1317009,0.0149972,0.1341387,-0.01244495,0.1660919,-0.0106279,0.1489003,0.0051506,0.1414583,0.0336622,0.13734945,-0.0039367,0.1176589,0.0119303,0.1828124,-0.0050992,0.1230466,-0.009994,0.1451395,0.0029842
0.1555162,-0.0053754,0.1484942,-0.00362015,0.1814028,0.0115117,0.1298729,0.0296466,0.1401389,0.0372102,0.1228382,0.0302693,0.1321648,0.0235603,0.1484742,0.0288791,0.1772501,0.02152125,0.1719501,0.0279182,0.1847094,0.0062453,0.1410792,0.0308123,0.1695231,0.0236247,0.1412153,0.0095152,0.1583364,0.0237677,0.1743277,0.0390899,0.1900708,0.0526243,0.1399286,0.0234489,0.13034,0.0256093,0.1372471,0.040995,0.1552161,0.0022758,0.1709738,-0.00940345,0.2012869,0.0180154,0.1673923,0.0129281,0.1563921,0.0319491,0.16155525,0.0071903,0.1408075,0.0067343,0.1810149,0.0144318,0.1410502,0.0158311,0.1753265,-0.0129099
0.1600485,0.0109084,0.1615208,0.02153665,0.2166323,0.0242407,0.1441561,0.0298696,0.152858,0.0713616,0.1579924,0.0175289,0.1622173,0.0179379666667,0.1785841,0.0287275,0.1959902,0.0332742,0.1899213,0.021644,0.190267,0.0188772,0.1672081,0.0424889,0.1905079,0.0133311,0.1572379,0.01188755,0.1871708,0.0195946,0.1920847,0.0400216,0.2073224,0.0594542,0.1559293,0.0402102,0.1495304,0.0221026,0.1426657,0.0417487,0.170107,-0.0106419,0.1899525,-0.0139897,0.2117511,0.0231023,0.1910767,0.006966,0.1763163,0.0354583,0.1901644,0.0157286,0.1529749,0.0029211,0.1999921,0.0201569,0.1514781,0.0151913,0.1817637,-0.0247168
