Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
8,33.33,Discrete,Discrete
7,33.33,Discrete,Discrete
1,16.36,Discrete,Discrete
6,33.33,Discrete,Discrete
3,50.0,Discrete,Discrete
5,40.0,Discrete,Discrete
3,25.0,Discrete,Discrete
10,50.0,Discrete,Discrete
9,50.0,Discrete,Discrete
8,33.33,Discrete,Discrete
4,50.0,Discrete,Discrete
2,50.0,Discrete,Discrete
1,18.18,Discrete,Discrete
9,25.0,Discrete,Discrete
7,33.33,Discrete,Discrete
3,25.0,Discrete,Discrete
2,25.0,Discrete,Discrete
8,33.33,Discrete,Discrete
1,16.36,Discrete,Discrete
5,40.0,Discrete,Discrete
