0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0.0263002,0.027303,0.0188004,0.0221192,0.0250888,0.01666,0.0262034,0.0270326,0.0179174,0.0244186,0.026378,0.0182166,0.0242582,0.0269526,0.0183356,0.0249798,0.0267016,0.0178762,0.0256896,0.0258286,0.0177916,0.024306,0.0280988,0.0178884,0.0238652,0.0266648,0.0185986,0.025283,0.0266558,0.0194384,0.0259086,0.0268588,0.0175174,0.0235144,0.0267524,0.0194614,0.0265076,0.0270738,0.0250596,0.0187528,0.0263082,0.0268326,0.0175202,0.0274108,0.0250812,0.0184098,0.025119,0.0279312,0.0193178,0.0217534,0.0267066,0.0160184,0.0241156,0.026798,0.0179526,0.0237784,0.0273502,0.0186708,0.0274136,0.0251854,0.0161578,0.0232246,0.0262436,0.0185496,0.0235284,0.0261558,0.016895,0.0247352,0.0269052,0.0189854,0.0263864,0.02686,0.0168564,0.0221016,0.0270436,0.01785,0.0241252,0.028131,0.018432,0.021849,0.0273044,0.0169996,0.025557,0.0260316,0.0175908,0.0246354,0.0264692,0.0184994,0.0242208,0.0265926,0.0176932
0.0269722,0.0281364,0.0200468,0.0226664,0.0248992,0.0174798,0.027036,0.026316,0.019139,0.0250468,0.0263016,0.0193676,0.0256012,0.0270734,0.018958,0.0257616,0.027538,0.0198268,0.026698,0.0259658,0.0189452,0.0266762,0.0280676,0.0186056,0.0253456,0.026855,0.0193864,0.026175,0.0266952,0.0206098,0.026498,0.0280654,0.0178684,0.0253124,0.0272592,0.0201156,0.0276338,0.0275374,0.0257922,0.019154,0.0273602,0.0271944,0.0183884,0.0276898,0.026622,0.018046,0.0258078,0.0277202,0.0205092,0.0225984,0.0268626,0.0175332,0.0252896,0.0272122,0.0200366,0.0245296,0.0279014,0.0191404,0.0284406,0.026605,0.018243,0.0248426,0.0270006,0.0188622,0.02558,0.0265572,0.0197804,0.0251558,0.0276174,0.0199716,0.026696,0.027441,0.0193832,0.0232886,0.0276278,0.0195764,0.0250946,0.0288998,0.018494,0.0224826,0.027075,0.0192526,0.0264828,0.0259066,0.0194768,0.0256292,0.0272622,0.0193716,0.0257874,0.027771,0.0180284
0.0269912,0.0284354,0.0213902,0.0228334,0.0261906,0.0177534,0.0277574,0.0266878,0.0194632,0.0258042,0.026213,0.0200374,0.0273374,0.0268938,0.01977,0.026272,0.0282866,0.020744,0.0280618,0.026973,0.0196728,0.02717,0.0291096,0.0201224,0.0266738,0.0266256,0.0194334,0.0276584,0.0270032,0.0207914,0.0271002,0.0286586,0.0184188,0.0255704,0.0275684,0.0205752,0.0288156,0.0274928,0.0270208,0.0192526,0.0279906,0.0278492,0.0185862,0.0279994,0.0267822,0.0189732,0.0275542,0.0283862,0.0214106,0.0235054,0.0275636,0.0185392,0.0265884,0.0274502,0.020689,0.0252322,0.0285552,0.0194954,0.0290934,0.0266732,0.0189818,0.0257666,0.0272092,0.019481,0.0269114,0.0264066,0.0203554,0.025312,0.0281636,0.0206482,0.0271136,0.0276542,0.0199142,0.0232698,0.028774,0.0195084,0.0253598,0.0282504,0.0189776,0.0234628,0.0276084,0.0196898,0.026921,0.0273074,0.018631,0.0264916,0.0269198,0.0204998,0.0271446,0.0289216,0.018761
0.0279944,0.0292694,0.020651,0.0240346,0.0266584,0.0187398,0.029088,0.0267068,0.019648,0.0260082,0.0271798,0.021711,0.0281366,0.0275628,0.0214226,0.0265804,0.0283422,0.0213804,0.0288216,0.0277746,0.0214262,0.0276862,0.0297908,0.0211924,0.0279624,0.0267196,0.019771,0.0286,0.0278642,0.0218016,0.027917,0.0285104,0.0189668,0.027102,0.0274856,0.022153,0.0282552,0.0278258,0.0274754,0.0197984,0.02821,0.0279562,0.019703,0.029231,0.0272026,0.0204246,0.0281396,0.0287528,0.0221812,0.0236244,0.0287108,0.0189152,0.0282826,0.0272236,0.0213248,0.026079,0.0298134,0.0204408,0.0303832,0.0272224,0.019919,0.0270792,0.0274698,0.019761,0.0266704,0.02679,0.0205416,0.0266208,0.0290676,0.0204746,0.028752,0.027933,0.0206828,0.0242436,0.028785,0.0206474,0.025957,0.028941,0.019377,0.0245766,0.0276042,0.0208894,0.0290188,0.0282086,0.0192526,0.0278332,0.0274278,0.020203,0.0282784,0.0285206,0.0190728
0.0293838,0.0301854,0.0221682,0.0250022,0.0264846,0.020145,0.0298222,0.0280402,0.0213632,0.0270702,0.0278706,0.0213646,0.028346,0.027793,0.02221,0.0293078,0.028703,0.0218438,0.0299236,0.0283772,0.0209444,0.0291866,0.0302808,0.0219988,0.0288878,0.0261862,0.0207712,0.0288802,0.0281318,0.022326,0.028931,0.028582,0.0201548,0.0280094,0.0283134,0.0232724,0.028451,0.0273422,0.0284398,0.0204198,0.0290142,0.0281938,0.019552,0.0293714,0.0275498,0.0203176,0.0285266,0.0296572,0.0227368,0.0241832,0.028307,0.0202126,0.0284982,0.0279506,0.021841,0.0274484,0.0297938,0.0211882,0.0311696,0.0271462,0.0196798,0.0286978,0.0281166,0.0190246,0.0289272,0.0281258,0.0204694,0.0283872,0.030056,0.020919,0.0294006,0.029582,0.0223108,0.0252676,0.028539,0.0215592,0.0260784,0.0288372,0.0197844,0.026021,0.0283846,0.0214896,0.0305784,0.0279064,0.0208604,0.0292842,0.0279788,0.0204198,0.0301734,0.0295184,0.0192722
0.0305674,0.0314568,0.0223132,0.0256106,0.0266216,0.0215948,0.031136,0.0290456,0.021981,0.0282388,0.0284622,0.0221564,0.0300672,0.0285498,0.0221872,0.0300606,0.0293834,0.0228338,0.0309918,0.0290426,0.0212872,0.0300264,0.0306828,0.0222474,0.0287566,0.027127,0.021995,0.0297404,0.0290408,0.0228022,0.0304984,0.029319,0.0213008,0.0286684,0.0294742,0.0238978,0.0295026,0.0274984,0.0285316,0.0201922,0.0302,0.0281488,0.0209954,0.0306158,0.0276988,0.0221706,0.0301416,0.0298914,0.0236654,0.0245148,0.0297382,0.0211762,0.02926,0.0289788,0.0233052,0.0273994,0.0305366,0.021069,0.0319658,0.0273384,0.0206086,0.0298784,0.0284234,0.0203334,0.0306548,0.0287354,0.0212288,0.029086,0.0307454,0.021506,0.0313592,0.0296986,0.0242404,0.0260206,0.0289746,0.0227108,0.0272842,0.0291764,0.0194502,0.0269506,0.0291068,0.0222948,0.0312174,0.028147,0.0213644,0.0311952,0.0288492,0.0207738,0.031524,0.0295996,0.0193292
0.0311122,0.0326606,0.0237154,0.0280022,0.0271518,0.0215758,0.0322956,0.0291612,0.022746,0.0290822,0.0286446,0.0218674,0.0317154,0.0296386,0.0219104,0.0306434,0.0304434,0.0236998,0.0329408,0.0297436,0.022648,0.0316674,0.031363,0.0232018,0.0295922,0.0277654,0.0217146,0.0310806,0.0292006,0.023769,0.0313704,0.0291636,0.0222366,0.02988,0.0301702,0.0245936,0.0297988,0.0286858,0.0303648,0.0212168,0.0316808,0.0282804,0.0219608,0.0321244,0.028128,0.0224896,0.0310656,0.0303204,0.0238506,0.0260994,0.0313234,0.0215674,0.0292658,0.029742,0.0241848,0.0278362,0.0312684,0.0217664,0.0326604,0.0276248,0.0223162,0.0305004,0.0285634,0.0208526,0.0319212,0.0288708,0.0219664,0.02952,0.0308848,0.0220916,0.0330558,0.0303212,0.0247282,0.0266014,0.0300488,0.0231828,0.0288196,0.0294754,0.020923,0.0280178,0.0303996,0.0244764,0.032491,0.0295082,0.0230864,0.0319596,0.0293288,0.0209664,0.0321956,0.0298074,0.0196936
0.0317076,0.03366,0.0242972,0.0289194,0.0271558,0.0209402,0.0333714,0.0292508,0.0240854,0.0306782,0.0299896,0.0229188,0.0332944,0.0303756,0.0227456,0.0307478,0.0313082,0.0249948,0.0330008,0.0299298,0.0235138,0.0325846,0.0321142,0.0236628,0.030924,0.0289398,0.022589,0.0320182,0.030049,0.0242368,0.0325704,0.0285054,0.0238406,0.0308694,0.0312626,0.0252836,0.0305924,0.0289916,0.0310712,0.0208154,0.0332842,0.02838,0.0227292,0.0331192,0.0282696,0.023242,0.0318364,0.030437,0.024231,0.0263172,0.0306546,0.0219844,0.0297044,0.0302674,0.0252832,0.0289078,0.0315724,0.0217156,0.0338992,0.0285754,0.0240474,0.0331286,0.0290446,0.0204048,0.0328864,0.029881,0.0232438,0.0302926,0.0314832,0.0227402,0.0335448,0.0310832,0.0262596,0.0270266,0.031087,0.0233978,0.0296018,0.030044,0.0213618,0.0292046,0.0304786,0.026287,0.0330256,0.0301856,0.0232736,0.0334608,0.0294944,0.0219942,0.0332352,0.0302094,0.0220238
0.0328286,0.033718,0.0259898,0.028267,0.0278186,0.0222726,0.0334392,0.0293686,0.0249548,0.031149,0.0310426,0.0239428,0.0353696,0.030756,0.023436,0.0317808,0.0320496,0.0253728,0.035022,0.0308506,0.0246164,0.0331508,0.0327014,0.0249018,0.0322802,0.0290502,0.0235722,0.0329064,0.0306674,0.0247292,0.0332928,0.0295324,0.02379,0.0304662,0.031904,0.0266848,0.0322692,0.0296486,0.0323014,0.0214736,0.0346664,0.0287444,0.0247482,0.0346626,0.0290686,0.0233388,0.0320548,0.0320326,0.0249688,0.0273544,0.0320478,0.0224894,0.0297524,0.031055,0.026034,0.029904,0.0321218,0.022396,0.0342926,0.028879,0.0245666,0.0347552,0.0295132,0.02185,0.034529,0.0306338,0.0249608,0.0322096,0.0329386,0.0228734,0.034871,0.031129,0.0272954,0.029215,0.0325692,0.0240964,0.0308926,0.03062,0.0225624,0.0304508,0.0306308,0.0277888,0.0331476,0.031187,0.0227376,0.033736,0.0299236,0.0232352,0.034401,0.0321346,0.0224106
0.0338818,0.0349314,0.0266606,0.0300622,0.0279244,0.023523,0.0339468,0.0299128,0.0257202,0.0320418,0.0314956,0.024662,0.0369014,0.0307972,0.023289,0.0320022,0.0326616,0.0265588,0.0373026,0.0319362,0.0251672,0.0341398,0.033978,0.0258298,0.033131,0.0307504,0.0246108,0.0335268,0.0311436,0.0249192,0.0345932,0.030101,0.0248036,0.0311196,0.0331316,0.026876,0.033031,0.0305722,0.033019,0.0224122,0.0359136,0.0300624,0.0253626,0.0356862,0.0298396,0.0242482,0.0331054,0.0320074,0.0259984,0.02894,0.0327824,0.0229516,0.0308366,0.031128,0.0268982,0.0305612,0.0318952,0.0234146,0.0346152,0.0294256,0.0247346,0.0364396,0.0304838,0.0222798,0.034697,0.031265,0.0265048,0.0324518,0.033111,0.0234034,0.035692,0.0313804,0.0270966,0.029919,0.0332056,0.0244468,0.031205,0.0303414,0.0242504,0.0322632,0.0322226,0.0281298,0.033931,0.0309356,0.0235586,0.0350742,0.0296752,0.0246664,0.0350546,0.0329504,0.0230036
