Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
7093,"[8.6890298683041696, 10.6463172386316]",0,BCR/ABL, , , , 
8460,"[5.7526465948116501, 8.1307307053180899]",0,BCR/ABL,0.8108,0.7317,55.7243,0.5671
3493,"[2.8567408246082002, 4.4603421657004905]",0,NEG, , , , 
181,"[2.8128260598808099, 3.6289996804307596]",0,NEG,0.8108,0.8,38.9786,0.52
9513,"[6.5879162223951102, 7.2090161777105202]",0,ALL1/AF4,0.9,0.6429,37.937,0.2471
2063,"[6.2144806304167597, 6.37644395506394]",0,E2A/PBX1, , , , 
8391,"[4.7936517939268306, 5.1440991698195804]",0,E2A/PBX1, , , , 
405,"[8.1545080661249401, 8.8488730914725497]",0,E2A/PBX1, , , , 
8026,"[3.3746828812963998, 3.5828627651818699]",0,E2A/PBX1,1.0,1.0,32.4259,0.1501
2307,"[4.8122660141674407, 4.8122660141674407]",0,p15/p16, , , , 
1130,"[10.996516310401699, 10.996516310401699]",0,p15/p16,1.0,1.0,9.7041,0.031
11058,"[7.4678481178044605, 7.4678481178044605]",0,NUP-98, , , , 
6975,"[7.3344955072617495, 7.3344955072617495]",0,NUP-98, , , , 
5188,"[4.43278752594113, 4.43278752594113]",0,NUP-98, , , , 
10411,"[5.4447795120887008, 5.4447795120887008]",0,NUP-98,1.0,1.0,9.7041,0.031
