0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0.0184031,0.0283264,0.0113742,0.01945,0.0146948,0.0092545,0.0295992,0.0278709,0.0127948,0.0185922,0.0267221,0.0151777,0.022355,0.0299531,0.0179006,0.0190435,0.0388767,0.0031398,0.0237701,0.0261786,0.0122996,0.0190714,0.0335164,0.0180861,0.0322938,0.0209956,0.009379,0.0094225,0.0341955,0.0148177,0.0268347,0.0234618,0.0069118,0.0185308,0.0398759,0.0062494,0.0099197,0.0289528,0.0165452,0.028454,0.0295216,0.0119107,0.027917,0.0248398,0.0073225,0.0115225,0.0301574,0.0145692,0.0186652,0.0230876,0.0169151,0.0334554,0.0296864,0.0110024,0.0225304,0.019533,0.011551,0.0219619,0.0334832,0.0122671,0.0250085,0.0255426,0.0079386,0.0247446,0.0433706,0.0208284,0.0147102,0.0187272,0.0137417,0.0231423666667,0.0406328,0.0075189,0.0138975,0.0242427,0.0198411,0.011613,0.017585,0.0280399,0.0115026,0.019048,0.0316274,0.0094229,0.0191416,0.0251603,0.014797,0.0313152,0.0220651,0.0122263,0.025267,0.0263599,0.0151579
0.028407,0.0403552,0.0185958,0.033217,0.0248042,0.0172944,0.0414774,0.0371945,0.0223392,0.0302072,0.0423183,0.021085,0.0346634,0.0398417,0.0230056,0.0291775,0.0468728,0.0193002,0.0325019,0.0346442,0.017756,0.0343766,0.0468552,0.0219139,0.0394896,0.0355921,0.0169526,0.0224969,0.0466178,0.0222342,0.0420619,0.0368714,0.0141916,0.0243891,0.0498574,0.0163542,0.0255059,0.0463574,0.0194627,0.0404844,0.0374256,0.0191808,0.0368389,0.0386828,0.0159642,0.0258434,0.0373,0.021008,0.0374884,0.0340814,0.0260167,0.0454722,0.0419586,0.0154582,0.0356452,0.0391156,0.0148142,0.0359039,0.044745,0.0203344,0.0324441,0.0367976,0.0221118,0.0382558,0.0531736,0.0252248,0.036064,0.0302124,0.0206657,0.0338589333333,0.0599348,0.0134377,0.02991,0.0290769,0.031823,0.0147644,0.0249428,0.0393406,0.0226984,0.0295748,0.0394456,0.0165956,0.0295406,0.0380196666667,0.019238,0.0452434,0.0390463,0.0156722,0.0384865,0.0373051,0.0217953
0.038254,0.05244,0.0227238,0.0419424,0.035212,0.0197694,0.0465705,0.0557533,0.0250714,0.036678,0.0482119,0.0234052,0.0420998,0.0467686,0.0249026,0.0418263,0.054667,0.0227862,0.0378713,0.042629,0.0238078,0.0437348,0.056777,0.0250176,0.0492459,0.0448016,0.0216856,0.0307231,0.0603843,0.0255686,0.0484381,0.0472826,0.0205618,0.0355755,0.057637,0.022774,0.0337636,0.057563,0.0199101,0.0494352,0.050694,0.0213398,0.0496684,0.0452522,0.0201528,0.0352922,0.0466728,0.0230462,0.0471178,0.0470158,0.0274795,0.0502932,0.0514858,0.0190284,0.0486722,0.052423,0.018664,0.0401682,0.0506802,0.0268532,0.042897,0.0492084,0.0254879,0.044524,0.0592952,0.026062,0.041198,0.0397582,0.0264386,0.0433697333333,0.0673248,0.020769,0.039354,0.0438455,0.0414936,0.0189798,0.0288918,0.053168,0.0255674,0.0363024,0.0527536,0.0222676,0.047042,0.0463826666667,0.0232398,0.0519166,0.0492799,0.0195382,0.0473627,0.0454926,0.0247107
0.0525472,0.0632214,0.025208,0.0537188,0.0442476,0.0266924,0.0504143,0.0631577,0.0275004,0.0478772,0.0612395,0.0267764,0.0456542,0.059349,0.0279828,0.0493726,0.0617826,0.026634,0.0456033,0.0490682,0.026368,0.0521506,0.0658066,0.0273468,0.0564207,0.0544232,0.0250076,0.0383031,0.0693215,0.028625,0.0570027,0.0619984,0.0217378,0.043718,0.0616033,0.0269024,0.0379906,0.0755712,0.0238561,0.0557528,0.0610266,0.0246264,0.0567362,0.052085,0.0240046,0.0471346,0.0525159,0.0244188,0.0525038,0.0530536,0.0289053,0.0598816,0.0575836,0.021185,0.061156,0.0644542,0.0232162,0.0485824,0.057017,0.0293992,0.0500698,0.0593076,0.0282064,0.0511794,0.07365,0.0285422,0.0517246,0.0486976,0.030333,0.0528355333333,0.0725294,0.0247582,0.0510309,0.0534045,0.0485372,0.0213532,0.033713,0.0668794,0.0320312,0.0434042,0.0615646,0.0236958,0.056151,0.0523899666667,0.0253486,0.0633466,0.059252,0.022211,0.0636667,0.053451,0.0285105
0.0604804,0.0753793,0.0304852,0.0665608,0.0551448,0.0291374,0.0623567,0.0753747,0.0302544,0.0527834,0.0658073,0.0285028,0.0543476,0.0672984,0.0285654,0.0561446,0.069131,0.0280618,0.0534792,0.0572162,0.0276958,0.0601456,0.069903,0.0304816,0.0621605,0.0659432,0.0303596,0.0454309,0.0829109,0.0300044,0.0642471,0.0751398,0.0256378,0.0499544,0.0684591,0.026615,0.0440708,0.0869986,0.025723,0.0636918,0.0701396,0.0266674,0.0630132,0.0607352,0.0289854,0.0566634,0.0593055,0.0253584,0.0588826,0.0615598,0.0305395,0.0709552,0.0656718,0.0266418,0.071031,0.074736,0.0242162,0.0641374,0.0630514,0.030512,0.0624126,0.074378,0.0296,0.0603,0.082937,0.0315426,0.0588792,0.0589886,0.032109,0.0605440666667,0.081228,0.0273116,0.0660966,0.0721858,0.0620204,0.024324,0.0362284,0.0806392,0.0348508,0.04895,0.0762378,0.0269462,0.064771,0.0620316666667,0.028145,0.071353,0.070457,0.0236962,0.0679637,0.0618354,0.0326434
0.0689468,0.0865922,0.0334402,0.0791948,0.0690744,0.03022,0.0695685,0.0808461,0.0315562,0.05962,0.077988,0.0299672,0.0597812,0.0744114,0.032208,0.0618242,0.0815792,0.0289896,0.0611768,0.0641304,0.0290034,0.0675218,0.0747328,0.0329292,0.0718203,0.0719204,0.031936,0.053856,0.0976637,0.0324624,0.0729457,0.0895464,0.0296188,0.0567978,0.0761178,0.0288314,0.0496646,0.1058868,0.0292902,0.0734492,0.0793266,0.0290008,0.0759102,0.0704124,0.0304278,0.0672918,0.0702697,0.0290004,0.0677538,0.0722442,0.0313486,0.0800474,0.0803844,0.0318198,0.079254,0.0856636,0.0257154,0.0704704,0.0717128,0.0323902,0.0679814,0.081287,0.0305258,0.0742542,0.1028686,0.0328819,0.0654096,0.0670898,0.034166,0.0681880666667,0.0958468,0.0312508,0.0767492,0.0897076,0.0755788,0.0266514,0.0413802,0.094159,0.0374122,0.0583092,0.0837416,0.0305758,0.070382,0.0718869666667,0.0316334,0.077765,0.08136,0.0254078,0.078769,0.0675798,0.034044
0.0826486,0.102962,0.0352376,0.0947008,0.0816404,0.0317306,0.0795327,0.0890126,0.0333162,0.068815,0.0886108,0.0320859,0.0682994,0.0882428,0.0354028,0.0697086,0.0900386,0.0308754,0.0698902,0.077051,0.0330226,0.0738076,0.0813678,0.0358098,0.0803163,0.0792532,0.0339512,0.058551,0.1117719,0.0336158,0.0862078,0.1090218,0.0307246,0.0634942,0.0825658,0.0304174,0.056127,0.1212284,0.0295314,0.083384,0.0937576,0.0385418,0.0869874,0.0756746,0.0321348,0.0833314,0.0790001,0.0313642,0.0746964,0.0795172,0.0331142,0.089441,0.0949378,0.0334262,0.0934278,0.0963312,0.0288102,0.0795346,0.0854258,0.033952,0.080782,0.0949742,0.031962,0.0887964,0.1272954,0.0336185,0.0750666,0.0834154,0.0353562,0.0767111,0.1053272,0.0351136,0.086635,0.1086132,0.0856528,0.0313126,0.0472982,0.108914,0.040389,0.0672442,0.091914,0.0327074,0.0795512,0.0791239666667,0.0335566,0.0862046,0.0945342,0.0268497,0.0879884,0.077318,0.0351092
0.0928142,0.120779,0.0360174,0.1120458,0.0910548,0.033567,0.0888586,0.102199,0.0367618,0.0784316,0.1040764,0.0342275,0.0748488,0.1106114,0.0371012,0.0785552,0.102566,0.0331698,0.0762166,0.0918654,0.0344016,0.0825832,0.0916104,0.038217,0.0915765,0.0877424,0.0362226,0.067476,0.1307273,0.0351677,0.093804,0.131899,0.0325932,0.0675464,0.0896602,0.0330144,0.0646696,0.1391246,0.0298634,0.0912004,0.1042672,0.0397756,0.100538,0.0857464,0.0342006,0.0933078,0.0877298,0.033499,0.0844488,0.090792,0.0344164,0.0948888,0.1040212,0.0350768,0.1038774,0.111419,0.0325194,0.0949052,0.0955368,0.039236,0.0934298,0.1053518,0.0343882,0.1029888,0.1475226,0.0347525,0.0881162,0.0935598,0.0364904,0.0874553,0.1119258,0.0387762,0.1046532,0.1191042,0.0967542,0.0331534,0.0538568,0.1253606,0.045322,0.0751752,0.1054712,0.0360566,0.0924582,0.0941679666667,0.0354898,0.0965846,0.1060432,0.0287486,0.0945642,0.0923706,0.0361644
0.09975,0.1334612,0.0374386,0.1287666,0.1071146,0.0354982,0.1028142,0.1191072,0.0392968,0.0890454,0.1259076,0.0358328,0.0844084,0.1210368,0.0380246,0.0900142,0.118775,0.0336734,0.0857674,0.1039178,0.035364,0.0897602,0.098709,0.0403062,0.0990763,0.0930208,0.0378078,0.0738202,0.1431457,0.0369545,0.1085962,0.150983,0.0351882,0.0719528,0.1041572,0.0344832,0.069976,0.1661414,0.0313478,0.1026318,0.1192874,0.040954,0.1109714,0.0987272,0.0367458,0.1027022,0.098108,0.0361234,0.0965528,0.0976924,0.0354936,0.1035624,0.115493,0.037303,0.1235154,0.1309034,0.0343528,0.105308,0.1052294,0.0422176,0.1040444,0.1174302,0.0372802,0.1163684,0.172465,0.0352179,0.0966554,0.1018776,0.0401598,0.0983547,0.1251134,0.0410538,0.1223834,0.1300778,0.1107322,0.0359572,0.0611718,0.1408184,0.0504894,0.0845514,0.1171532,0.0368904,0.0980444,0.1078527,0.0375236,0.105833,0.1154632,0.0350948,0.1081184,0.1006914,0.037557
0.1073164,0.151172,0.0393992,0.144467,0.1230004,0.0374912,0.1159658,0.1267428,0.0422566,0.1006918,0.13951,0.0381808,0.0930946,0.1318184,0.0394818,0.1027985,0.128089,0.0347684,0.0976872,0.1129204,0.0390128,0.0973688,0.1102468,0.043732,0.1134841,0.0974236,0.0394294,0.0786474,0.1640245,0.0399727,0.1226582,0.1883034,0.03779,0.0771868,0.1117628,0.0375482,0.0777152,0.1834236,0.0332696,0.1143908,0.1364744,0.0432472,0.12528,0.1099152,0.0387724,0.111936,0.106119,0.0385212,0.1081114,0.1111172,0.036373,0.112033,0.1291272,0.0414184,0.1456342,0.1452686,0.0349856,0.1169648,0.1138438,0.0446928,0.1164602,0.1372558,0.0378706,0.1351134,0.2031446,0.0371103,0.101171,0.1173248,0.0416798,0.1080422,0.1417802,0.04324,0.1436012,0.150941,0.1258986,0.0373604,0.0632504,0.1569402,0.0555232,0.0923764,0.1332842,0.0385038,0.1112092,0.1176808,0.0404882,0.114099,0.1276698,0.0369966,0.1195912,0.1134562,0.0386764
