0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0.0916,0.0921,0.0973,0.1034,0.1232,0.106,0.1206,0.0857,0.0764,0.0795,0.084,0.0908,0.0916,0.099,0.0999,0.1438,0.0822,0.0908,0.0916,0.0883,0.1017,0.1028,0.1535,0.0946,0.1087,0.1046,0.084,0.0871,0.1491,0.1022,0.0758,0.0731,0.0834,0.0996,0.1125,0.0737,0.1061,0.1217,0.127,0.1028,0.1099,0.111,0.1302,0.0757,0.0947,0.1179,0.0695,0.1011,0.1211,0.1093,0.0883,0.0979,0.0958,0.084,0.0915,0.0985,0.0681,0.1074,0.0946,0.0904,0.0908
0.0916,0.0984,0.0973,0.1034,0.1232,0.106,0.1206,0.0857,0.0764,0.0952,0.084,0.0908,0.0916,0.099,0.0999,0.1438,0.0822,0.0908,0.0916,0.0883,0.1017,0.1028,0.1535,0.0946,0.1087,0.1046,0.0866,0.0871,0.1491,0.1022,0.0758,0.0889,0.0834,0.0996,0.1125,0.0946,0.1061,0.1217,0.127,0.111,0.1099,0.111,0.1302,0.0757,0.0947,0.1179,0.0695,0.1011,0.1211,0.1093,0.0883,0.0979,0.0958,0.084,0.0915,0.0985,0.0681,0.1074,0.0946,0.0904,0.0908
0.0979,0.0984,0.0979,0.1034,0.1232,0.106,0.1206,0.0857,0.0796,0.0952,0.084,0.0946,0.0916,0.099,0.12,0.1438,0.0822,0.0908,0.1011,0.0883,0.1017,0.1028,0.1535,0.0946,0.1087,0.1052,0.0905,0.0871,0.1491,0.1022,0.0758,0.0889,0.0834,0.0996,0.1125,0.0946,0.1061,0.1217,0.127,0.111,0.1099,0.1148,0.1302,0.0757,0.0947,0.1179,0.0695,0.1011,0.1211,0.1093,0.0883,0.0979,0.0958,0.0897,0.0915,0.0985,0.0681,0.1074,0.0946,0.0904,0.0908
0.0979,0.0984,0.1099,0.1034,0.1232,0.106,0.1206,0.0857,0.0985,0.0952,0.1099,0.0946,0.0916,0.099,0.12,0.1438,0.0985,0.0952,0.1049,0.1135,0.1017,0.1028,0.1535,0.0946,0.1087,0.1052,0.1017,0.0871,0.1491,0.1022,0.091,0.0889,0.0834,0.0996,0.1125,0.0946,0.1061,0.1217,0.127,0.1135,0.1099,0.1148,0.1302,0.0901,0.0947,0.1179,0.0695,0.1011,0.1211,0.1093,0.106,0.0979,0.0958,0.0916,0.0915,0.0985,0.0833,0.1415,0.0946,0.091,0.0908
0.0979,0.0984,0.1099,0.1325,0.1232,0.106,0.1206,0.0857,0.0985,0.0952,0.1099,0.0946,0.1011,0.106,0.12,0.1438,0.0985,0.2164,0.1049,0.1135,0.1017,0.1028,0.1535,0.0946,0.1087,0.1052,0.1017,0.0871,0.1491,0.1022,0.1037,0.0889,0.0834,0.0996,0.1125,0.0946,0.1061,0.1217,0.127,0.1261,0.1099,0.1148,0.1302,0.0901,0.0947,0.1179,0.1112,0.1131,0.1211,0.1093,0.106,0.0979,0.0958,0.0916,0.0915,0.1087,0.0871,0.1586,0.0946,0.091,0.0908
0.0979,0.0984,0.1099,0.1325,0.1232,0.106,0.1206,0.1135,0.0985,0.0952,0.1099,0.0946,0.1011,0.1072,0.12,0.1438,0.0985,0.2164,0.1049,0.1135,0.1017,0.1596,0.1535,0.111,0.1087,0.1052,0.1017,0.0871,0.1491,0.1022,0.1037,0.099,0.0834,0.1078,0.1125,0.0946,0.1061,0.1217,0.127,0.1261,0.1346,0.123,0.1302,0.0901,0.0947,0.1325,0.1112,0.1131,0.1211,0.1093,0.106,0.0979,0.1022,0.0916,0.0915,0.1087,0.0871,0.1586,0.0946,0.091,0.0908
0.0979,0.0984,0.1099,0.1325,0.1232,0.106,0.1206,0.1135,0.0985,0.0952,0.1099,0.0946,0.1011,0.1072,0.12,0.1438,0.0985,0.2164,0.1049,0.1135,0.1017,0.1596,0.1535,0.111,0.1087,0.1052,0.1017,0.0871,0.1535,0.1022,0.1037,0.1135,0.0834,0.1078,0.1125,0.0946,0.1061,0.1217,0.127,0.1261,0.1346,0.1299,0.1302,0.1255,0.0947,0.1325,0.1112,0.1131,0.1211,0.1093,0.106,0.0979,0.1022,0.1087,0.0915,0.1087,0.0871,0.1586,0.0946,0.091,0.0908
0.0979,0.1249,0.1099,0.1325,0.1232,0.106,0.1206,0.1135,0.0985,0.1173,0.1099,0.0946,0.1011,0.1135,0.12,0.1438,0.1061,0.2164,0.1049,0.1135,0.1099,0.1596,0.1535,0.111,0.1087,0.1052,0.1017,0.0871,0.1535,0.1028,0.1037,0.1179,0.0834,0.1078,0.1125,0.099,0.1061,0.1217,0.127,0.1261,0.1359,0.1457,0.1302,0.1369,0.0947,0.1325,0.1156,0.1168,0.1211,0.1093,0.106,0.0979,0.1022,0.1087,0.0915,0.1087,0.0871,0.1586,0.0946,0.1182,0.0984
0.0979,0.1249,0.1099,0.1325,0.1232,0.1179,0.1206,0.1135,0.0985,0.1173,0.1346,0.0946,0.1011,0.1223,0.12,0.1438,0.1061,0.2164,0.1049,0.1135,0.1099,0.1596,0.1535,0.111,0.1087,0.1052,0.1017,0.0871,0.1535,0.1028,0.1037,0.1179,0.0834,0.1078,0.1125,0.099,0.1061,0.1217,0.127,0.1261,0.1389,0.1457,0.1302,0.1526,0.1194,0.1325,0.1156,0.1168,0.1211,0.1093,0.1098,0.0979,0.1034,0.1118,0.0915,0.1087,0.0921,0.1586,0.0946,0.1182,0.0984
0.0979,0.1249,0.1099,0.1325,0.1232,0.1179,0.1206,0.1526,0.1055,0.1596,0.1346,0.1028,0.1011,0.1223,0.12,0.1438,0.1061,0.2164,0.1346,0.1331,0.1099,0.1596,0.1535,0.1166,0.1194,0.1052,0.1017,0.0871,0.1535,0.1028,0.1037,0.1179,0.0834,0.1078,0.1125,0.106,0.1061,0.1217,0.127,0.1261,0.1389,0.152,0.1302,0.1526,0.1302,0.1325,0.1156,0.1168,0.1211,0.1093,0.1098,0.0979,0.1034,0.1118,0.0915,0.1087,0.0921,0.1586,0.0946,0.1182,0.1066
