0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0.0182864,0.0062684,0.0178844,0.0067918,0.0185994,0.006328,0.017792,0.0059164,0.0181984,0.0061522,0.017037,0.0061252,0.0184212,0.005705,0.017106,0.0065188,0.0170252,0.006386,0.0186152,0.0072916,0.018909,0.0074592,0.0183626,0.007536,0.018981,0.0060902,0.0185238,0.0071442,0.0193296,0.0064374,0.0181734,0.0067596,0.0178702,0.0063942,0.0185446,0.0065844,0.0178808,0.0065082,0.0170838,0.006211,0.0179534,0.0073436,0.0187714,0.0061638,0.0180672,0.0067974,0.017477,0.0181636,0.0064404,0.0180062,0.0071404,0.0182388,0.0069632,0.0188996,0.006214,0.017698,0.0063712,0.0187834,0.0069036,0.0185784,0.00639
0.0179716,0.0069842,0.0179688,0.0069946,0.018371,0.0073974,0.018123,0.006776,0.01784,0.0069138,0.0176618,0.0070514,0.0187548,0.0062034,0.0174556,0.0067574,0.016894,0.006983,0.0184082,0.0080722,0.0185074,0.0082328,0.0184114,0.0078858,0.0188184,0.007234,0.0182536,0.0077928,0.0198852,0.0069972,0.0180868,0.0067538,0.017423,0.0068092,0.0187136,0.0071358,0.0183782,0.0075532,0.0171752,0.0066588,0.0179724,0.0075996,0.0185366,0.0067442,0.0178752,0.0071428,0.0174144,0.017776,0.006827,0.0184678,0.0082028,0.0183556,0.007902,0.0186474,0.0072258,0.0180982,0.0070598,0.0186968,0.0074822,0.0182296,0.0077244
0.0181884,0.0074388,0.0178616,0.0073406,0.0183096,0.007905,0.017808,0.0072566,0.0180596,0.0071464,0.0177512,0.0077678,0.018389,0.0067172,0.0175958,0.007435,0.0170696,0.0076866,0.0182406,0.0088884,0.0185928,0.0086856,0.0183576,0.0082022,0.018678,0.007547,0.0183096,0.0079538,0.0196936,0.007319,0.017876,0.0074894,0.0175684,0.0073344,0.0184934,0.0077148,0.0181856,0.0076576,0.0171146,0.0068952,0.0178114,0.0080568,0.0183986,0.0074394,0.0179676,0.0078352,0.017671,0.0178358,0.0072696,0.0183698,0.0083906,0.0183754,0.0082208,0.0187772,0.0077892,0.0181102,0.0073768,0.0191458,0.0082318,0.0182178,0.008213
0.0178264,0.0082956,0.0180734,0.0073668,0.0180908,0.0080546,0.0181576,0.0078556,0.018049,0.0074846,0.0174646,0.0077354,0.0186738,0.0076742,0.0178596,0.0075968,0.0171606,0.0080762,0.0184378,0.0093574,0.0180834,0.0089608,0.0185406,0.0086856,0.0182736,0.0080766,0.018561,0.0083698,0.019808,0.0079094,0.0180822,0.0078494,0.0173762,0.007494,0.0183478,0.0081102,0.0183338,0.0082784,0.0175112,0.0074336,0.0178808,0.008744,0.0187898,0.0077152,0.0179938,0.0088596,0.017566,0.0176812,0.0083912,0.018395,0.0087052,0.0181874,0.008378,0.0186314,0.0079644,0.017833,0.0081932,0.0194724,0.0085042,0.0182538,0.0087688
0.0182596,0.0085388,0.0184042,0.0082858,0.0182734,0.0081022,0.0179512,0.0082278,0.018078,0.0077986,0.0177656,0.008504,0.019147,0.0079224,0.017869,0.0081256,0.0175108,0.0088732,0.018128,0.009597,0.018649,0.0094924,0.018469,0.0092492,0.018218,0.0080866,0.0187966,0.008955,0.0194712,0.0084428,0.018111,0.0085304,0.0175538,0.0077938,0.0184088,0.0084252,0.0180254,0.0088792,0.0177216,0.0082866,0.0178804,0.0094744,0.0191808,0.0082784,0.0181006,0.0093278,0.017565,0.0179554,0.0088562,0.0184122,0.0091272,0.0186254,0.00891,0.0184214,0.0083916,0.0185288,0.00881,0.0195942,0.0091316,0.0185354,0.0088738
0.0185092,0.0092182,0.0179966,0.008825,0.0178762,0.0089768,0.018013,0.0090318,0.0180486,0.0078384,0.0180156,0.0090568,0.0187912,0.0086512,0.0179608,0.008587,0.0174026,0.0089424,0.0180906,0.0099532,0.0185484,0.0100652,0.0183302,0.0100302,0.0181224,0.0086462,0.0187686,0.0094794,0.019414,0.009266,0.0186764,0.0092806,0.0173394,0.008349,0.0186552,0.0087578,0.0182882,0.0090156,0.0177162,0.008832,0.0178854,0.0099454,0.0193174,0.0085874,0.0178842,0.0107934,0.0177708,0.0182916,0.0090018,0.0190628,0.0093798,0.018845,0.0093434,0.0188024,0.0084594,0.0188842,0.009043,0.0198212,0.0096216,0.0182176,0.0095994
0.01878,0.0096964,0.0187184,0.0090896,0.0180608,0.0094288,0.0182064,0.0094174,0.0182264,0.0084704,0.0181806,0.0090892,0.0186446,0.0094734,0.0178636,0.0094506,0.0176432,0.0090218,0.0182576,0.0106554,0.0186696,0.0109812,0.0182306,0.0109744,0.0185026,0.0088234,0.0194348,0.0094594,0.0198222,0.0093806,0.0183144,0.0098766,0.0176014,0.0082578,0.0186842,0.008991,0.0187718,0.0092388,0.0176638,0.0096146,0.0183728,0.0103118,0.0186344,0.0093352,0.0178144,0.0110636,0.0180376,0.0187542,0.009754,0.018893,0.0098454,0.0184292,0.0100374,0.0190742,0.0089802,0.0190482,0.0099802,0.0196994,0.0099282,0.0183222,0.0104754
0.0187088,0.0106364,0.0186712,0.0100932,0.0176526,0.0098996,0.01887,0.0101622,0.0185516,0.0092564,0.018845,0.010637,0.0185704,0.010054,0.0179086,0.0096484,0.0177808,0.0096914,0.018265,0.0116676,0.0185854,0.0111164,0.0180852,0.011367,0.0188546,0.0091616,0.0193456,0.009758,0.0194068,0.0098884,0.018698,0.0105424,0.0173012,0.0090534,0.0186138,0.0097354,0.019064,0.0099596,0.0175838,0.0102644,0.0189762,0.0107458,0.0189144,0.0102758,0.018239,0.0116006,0.0183374,0.0187394,0.010159,0.0177732,0.0103542,0.018594,0.010773,0.0191716,0.0095064,0.018982,0.0104074,0.0205324,0.0100722,0.0191464,0.0108912
0.0188028,0.0115154,0.0187396,0.0106956,0.0174678,0.0104752,0.0190326,0.0112638,0.0188598,0.0095798,0.018673,0.011001,0.0183452,0.0108652,0.0182568,0.0100936,0.0180172,0.0098784,0.0182374,0.0127638,0.0186578,0.0110026,0.018094,0.0118816,0.0190378,0.0099194,0.019544,0.0101002,0.0194952,0.0101474,0.0185092,0.0120766,0.0175018,0.0092626,0.018671,0.0100328,0.019305,0.0104092,0.017184,0.0111098,0.0193248,0.0116356,0.0189996,0.0111002,0.0184372,0.0123858,0.0182738,0.0190746,0.0104312,0.0176202,0.0120658,0.0188818,0.0115262,0.0190904,0.0100032,0.0187354,0.0110396,0.020631,0.0109452,0.0191782,0.011698
0.0192742,0.0118292,0.0190932,0.0116286,0.0176672,0.0108278,0.0189522,0.0117176,0.018899,0.0100268,0.0193586,0.0114276,0.0188516,0.011485,0.0180804,0.010184,0.0185688,0.0099816,0.0183364,0.0133252,0.0189282,0.011119,0.0182894,0.0126716,0.018884,0.0103424,0.0192786,0.0103908,0.0192886,0.0105592,0.0184782,0.0129944,0.0183298,0.0091702,0.0184774,0.0105036,0.0197472,0.0107578,0.0174116,0.011289,0.0194794,0.0125766,0.0187048,0.0120432,0.0189026,0.0132834,0.0184928,0.0191512,0.0107728,0.0179518,0.0124998,0.018721,0.0121222,0.019099,0.0106846,0.018858,0.0119406,0.0208908,0.0112446,0.0191946,0.012755
