Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
16,['yes'],0,malign_lymph, , , , 
12,"['lac_central', 'lacunar']",0,malign_lymph, , , , 
8,['1'],0,malign_lymph,0.7049,0.8776,64.9918,0.6163
1,['yes'],0,metastases, , , , 
6,['no'],0,metastases, , , , 
12,"['lac_margin', 'lacunar']",0,metastases, , , , 
17,"['1', '2', '3', '7']",0,metastases,0.7037,0.95,62.8676,0.653
0,['deformed'],0,fibrosis, , , , 
9,"['1', '2']",0,fibrosis, , , , 
4,['yes'],0,fibrosis, , , , 
5,['yes'],0,fibrosis, , , , 
6,['yes'],0,fibrosis,1.0,1.0,28.8873,0.1052
1,['no'],0,normal, , , , 
0,['normal'],0,normal,1.0,1.0,17.2163,0.0533
