Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
1530,14.08,925.4,159.674104665
8161,17.26,594.4,79.2996820758
925,15.64,2190.6,376.45414005
20201,0.72,110.4,20.958794473
19733,2.18,91.8,18.0347274978
771,1.26,1669.0,170.557514665
18840,1.61,174.3,30.5451883233
10552,0.25,39.9,8.82254666778
12275,15.53,244.7,37.5088307063
13338,3.36,515.6,70.0239560304
886,30.52,791.6,144.598223002
2410,5.23,583.5,87.7459373636
11999,15.46,306.6,44.6463892444
7819,10.4,146.2,31.209078335
5664,5.71,138.4,24.7779152635
17951,1.65,121.2,27.0548192294
20856,1.03,1961.5,368.948443896
11911,6.4,162.5,29.9075973178
12062,3.57,288.6,53.9285288847
1019,2.75,33300.3,5297.90113466
9035,30.1,602.7,127.644952865
13319,8.76,10059.8,2061.82575942
2866,8.15,532.3,69.2398937082
