Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
2171,"[40.200000000000003, 133.59999999999999]",0,synovial sarcoma, , , , 
16484,"[15.6, 182.5]",0,synovial sarcoma,1.0,0.6667,47.229,0.4702
1074,"[0.69999999999999996, 4.0999999999999996]",0,myxoid liposarcoma, , , , 
12504,"[127.0, 400.60000000000002]",0,myxoid liposarcoma,0.9474,0.6,43.153,0.4789
3661,"[328.19999999999999, 366.80000000000001]",0,lipoma, , , , 
1134,"[96.900000000000006, 102.40000000000001]",0,lipoma, , , , 
11264,"[32.0, 32.899999999999999]",0,lipoma,1.0,1.0,21.3321,0.111
954,"[2068.4000000000001, 2126.6999999999998]",0,well-differentiated liposarcoma, , , , 
1569,"[144.80000000000001, 147.09999999999999]",0,well-differentiated liposarcoma, , , , 
12370,"[3648.0, 4044.4000000000001]",0,well-differentiated liposarcoma, , , , 
1658,"[45.299999999999997, 49.799999999999997]",0,well-differentiated liposarcoma,1.0,1.0,21.3321,0.111
2193,"[29.899999999999999, 49.0]",0,dedifferentiated liposarcoma, , , , 
21150,"[566.0, 1096.8]",0,dedifferentiated liposarcoma,0.8667,0.6842,40.7269,0.3918
11320,"[208.59999999999999, 326.0]",0,myxofibrosarcoma, , , , 
7332,"[1.8999999999999999, 3.2999999999999998]",0,myxofibrosarcoma,0.7333,0.6471,33.233,0.3265
18145,"[35.700000000000003, 85.299999999999997]",0,leiomyosarcoma, , , , 
22189,"[72.099999999999994, 86.299999999999997]",0,leiomyosarcoma,1.0,0.5455,27.0728,0.2046
1786,"[63.600000000000001, 72.400000000000006]",0,malignant peripheral nerve sheath tumor, , , , 
15581,"[249.40000000000001, 252.09999999999999]",0,malignant peripheral nerve sheath tumor,1.0,1.0,21.3321,0.111
8964,"[123.2, 151.09999999999999]",0,fibrosarcoma, , , , 
6084,"[6701.3000000000002, 7965.6000000000004]",0,fibrosarcoma,1.0,0.5,20.5962,0.1408
19702,"[2.6000000000000001, 8.6999999999999993]",0,malignant fibrous histiocytoma, , , , 
8352,"[48.600000000000001, 175.19999999999999]",0,malignant fibrous histiocytoma,0.8571,0.439,28.3046,0.3733
