Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
12,['False'],0,lung, , , , 
2,"['nan', 'epidermoid']",0,lung,0.6296,0.6623,94.5451,0.3989
10,['False'],0,breast, , , , 
14,['True'],0,breast, , , , 
2,"['adefalse', 'nan']",0,breast,0.8333,0.6818,73.7993,0.1776
1,['female'],0,ovary, , , , 
4,['False'],0,ovary, , , , 
10,['False'],0,ovary, , , , 
12,['False'],0,ovary, , , , 
14,['False'],0,ovary, , , , 
2,"['adefalse', 'nan']",0,ovary, , , , 
5,['False'],0,ovary, , , , 
6,['False'],0,ovary,0.9474,0.2609,52.026,0.1781
3,"['nan', 'fairly']",0,colon, , , , 
4,['False'],0,colon, , , , 
12,['False'],0,colon, , , , 
2,"['adefalse', 'nan']",0,colon, , , , 
10,['False'],0,colon, , , , 
14,['False'],0,colon, , , , 
11,['False'],0,colon,0.8571,0.1446,27.8484,0.1067
1,['male'],0,prostate, , , , 
2,['adefalse'],0,prostate, , , , 
14,['False'],0,prostate, , , , 
7,['False'],0,prostate, , , , 
8,['False'],0,prostate, , , , 
11,['False'],0,prostate, , , , 
10,['False'],0,prostate,1.0,0.2162,33.9588,0.0912
12,['True'],0,head and neck, , , , 
11,['False'],0,head and neck, , , , 
8,['False'],0,head and neck, , , , 
2,"['nan', 'epidermoid']",0,head and neck, , , , 
15,['False'],0,head and neck,1.0,0.7778,79.6031,0.1707
4,['True'],0,thyroid, , , , 
5,['False'],0,thyroid, , , , 
10,['False'],0,thyroid, , , , 
14,['False'],0,thyroid, , , , 
8,['False'],0,thyroid, , , , 
2,"['adefalse', 'nan']",0,thyroid,0.7857,0.2115,33.9006,0.1119
13,['False'],0,pancreas, , , , 
10,['False'],0,pancreas, , , , 
11,['False'],0,pancreas, , , , 
2,['adefalse'],0,pancreas, , , , 
4,['False'],0,pancreas, , , , 
14,['False'],0,pancreas,0.8929,0.2315,46.8941,0.1969
9,['False'],0,liver, , , , 
11,['False'],0,liver, , , , 
14,['False'],0,liver, , , , 
2,"['anaplastic', 'adefalse']",0,liver, , , , 
12,['False'],0,liver, , , , 
5,['False'],0,liver,1.0,0.068,15.3806,0.0604
9,['False'],0,kidney, , , , 
12,['False'],0,kidney, , , , 
3,"['nan', 'well']",0,kidney, , , , 
8,['False'],0,kidney, , , , 
16,['False'],0,kidney, , , , 
2,"['adefalse', 'nan']",0,kidney,0.7391,0.2833,45.4483,0.1623
12,['True'],0,salivary glands, , , , 
2,['epidermoid'],0,salivary glands, , , , 
4,['True'],0,salivary glands, , , , 
11,['False'],0,salivary glands, , , , 
13,['True'],0,salivary glands, , , , 
9,['False'],0,salivary glands,1.0,1.0,20.1608,0.0257
3,"['nan', 'well']",0,rectum, , , , 
4,['False'],0,rectum, , , , 
15,['False'],0,rectum, , , , 
2,"['epidermoid', 'adefalse']",0,rectum, , , , 
13,['False'],0,rectum, , , , 
14,['False'],0,rectum,1.0,0.0714,15.6303,0.0566
1,['female'],0,gallbladder, , , , 
4,['False'],0,gallbladder, , , , 
0,['>=60'],0,gallbladder, , , , 
5,['False'],0,gallbladder, , , , 
13,['False'],0,gallbladder, , , , 
10,['False'],0,gallbladder,0.8667,0.2766,45.2424,0.1388
2,"['adefalse', 'nan']",0,stomach, , , , 
15,['False'],0,stomach, , , , 
11,['False'],0,stomach, , , , 
6,['False'],0,stomach,0.7895,0.2128,32.8916,0.1639
8,['False'],0,esophagus, , , , 
0,['30-59'],0,esophagus, , , , 
5,['False'],0,esophagus, , , , 
3,"['nan', 'poorly']",0,esophagus, , , , 
7,['False'],0,esophagus, , , , 
10,['False'],0,esophagus,0.8889,0.1176,22.3368,0.0779
1,['female'],0,corpus uteri, , , , 
2,['adefalse'],0,corpus uteri, , , , 
11,['False'],0,corpus uteri, , , , 
10,['False'],0,corpus uteri, , , , 
13,['False'],0,corpus uteri, , , , 
5,['False'],0,corpus uteri, , , , 
14,['False'],0,corpus uteri,1.0,0.0714,15.6303,0.0566
14,['False'],0,testis, , , , 
7,['True'],0,testis, , , , 
8,['False'],0,testis, , , , 
3,['fairly'],0,testis, , , , 
6,['True'],0,testis,1.0,1.0,11.4667,0.0129
16,['True'],0,cervix uteri, , , , 
0,['30-59'],0,cervix uteri, , , , 
1,['female'],0,cervix uteri, , , , 
13,['False'],0,cervix uteri, , , , 
3,"['nan', 'fairly']",0,cervix uteri, , , , 
8,['False'],0,cervix uteri, , , , 
7,['False'],0,cervix uteri,1.0,0.2857,15.1497,0.0253
1,['female'],0,duoden and sm.int, , , , 
6,['True'],0,duoden and sm.int, , , , 
4,['False'],0,duoden and sm.int, , , , 
7,['False'],0,duoden and sm.int, , , , 
3,['nan'],0,duoden and sm.int, , , , 
16,['False'],0,duoden and sm.int,1.0,0.25,8.6941,0.0128
2,['nan'],0,bladder, , , , 
8,['True'],0,bladder, , , , 
10,['False'],0,bladder, , , , 
9,['False'],0,bladder, , , , 
1,['male'],0,bladder, , , , 
4,['False'],0,bladder,1.0,1.0,20.1608,0.0257
1,['female'],0,vagina, , , , 
2,['epidermoid'],0,vagina, , , , 
8,['True'],0,vagina, , , , 
7,['False'],0,vagina, , , , 
12,['False'],0,vagina,1.0,1.0,11.4667,0.0129
