Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
2,50.0,Discrete,Discrete
12,50.0,Discrete,Discrete
14,33.33,Discrete,Discrete
2,50.0,Discrete,Discrete
10,50.0,Discrete,Discrete
1,33.33,Discrete,Discrete
4,50.0,Discrete,Discrete
6,50.0,Discrete,Discrete
10,50.0,Discrete,Discrete
12,50.0,Discrete,Discrete
2,50.0,Discrete,Discrete
14,33.33,Discrete,Discrete
5,50.0,Discrete,Discrete
4,50.0,Discrete,Discrete
2,50.0,Discrete,Discrete
3,50.0,Discrete,Discrete
12,50.0,Discrete,Discrete
10,50.0,Discrete,Discrete
14,33.33,Discrete,Discrete
11,33.33,Discrete,Discrete
5,50.0,Discrete,Discrete
1,33.33,Discrete,Discrete
8,50.0,Discrete,Discrete
2,25.0,Discrete,Discrete
14,33.33,Discrete,Discrete
7,50.0,Discrete,Discrete
11,33.33,Discrete,Discrete
10,50.0,Discrete,Discrete
12,50.0,Discrete,Discrete
11,33.33,Discrete,Discrete
2,50.0,Discrete,Discrete
15,50.0,Discrete,Discrete
8,50.0,Discrete,Discrete
4,50.0,Discrete,Discrete
2,50.0,Discrete,Discrete
14,33.33,Discrete,Discrete
10,50.0,Discrete,Discrete
8,50.0,Discrete,Discrete
4,50.0,Discrete,Discrete
2,25.0,Discrete,Discrete
10,50.0,Discrete,Discrete
13,50.0,Discrete,Discrete
14,33.33,Discrete,Discrete
11,33.33,Discrete,Discrete
9,50.0,Discrete,Discrete
2,50.0,Discrete,Discrete
14,33.33,Discrete,Discrete
12,50.0,Discrete,Discrete
11,33.33,Discrete,Discrete
5,50.0,Discrete,Discrete
5,50.0,Discrete,Discrete
12,50.0,Discrete,Discrete
9,50.0,Discrete,Discrete
3,50.0,Discrete,Discrete
2,50.0,Discrete,Discrete
4,50.0,Discrete,Discrete
2,25.0,Discrete,Discrete
13,50.0,Discrete,Discrete
11,33.33,Discrete,Discrete
3,50.0,Discrete,Discrete
3,50.0,Discrete,Discrete
4,50.0,Discrete,Discrete
15,50.0,Discrete,Discrete
13,50.0,Discrete,Discrete
14,33.33,Discrete,Discrete
2,50.0,Discrete,Discrete
5,50.0,Discrete,Discrete
10,50.0,Discrete,Discrete
4,50.0,Discrete,Discrete
5,50.0,Discrete,Discrete
13,50.0,Discrete,Discrete
0,33.33,Discrete,Discrete
1,33.33,Discrete,Discrete
2,50.0,Discrete,Discrete
11,33.33,Discrete,Discrete
15,50.0,Discrete,Discrete
6,50.0,Discrete,Discrete
7,50.0,Discrete,Discrete
12,50.0,Discrete,Discrete
0,33.33,Discrete,Discrete
7,50.0,Discrete,Discrete
3,50.0,Discrete,Discrete
10,50.0,Discrete,Discrete
5,50.0,Discrete,Discrete
8,50.0,Discrete,Discrete
13,50.0,Discrete,Discrete
10,50.0,Discrete,Discrete
14,33.33,Discrete,Discrete
2,25.0,Discrete,Discrete
11,33.33,Discrete,Discrete
1,33.33,Discrete,Discrete
5,50.0,Discrete,Discrete
3,25.0,Discrete,Discrete
12,50.0,Discrete,Discrete
6,50.0,Discrete,Discrete
16,50.0,Discrete,Discrete
8,50.0,Discrete,Discrete
0,33.33,Discrete,Discrete
14,33.33,Discrete,Discrete
3,50.0,Discrete,Discrete
1,33.33,Discrete,Discrete
7,50.0,Discrete,Discrete
0,33.33,Discrete,Discrete
16,50.0,Discrete,Discrete
9,50.0,Discrete,Discrete
4,50.0,Discrete,Discrete
8,50.0,Discrete,Discrete
1,33.33,Discrete,Discrete
6,50.0,Discrete,Discrete
8,50.0,Discrete,Discrete
11,33.33,Discrete,Discrete
2,25.0,Discrete,Discrete
9,50.0,Discrete,Discrete
4,50.0,Discrete,Discrete
1,33.33,Discrete,Discrete
8,50.0,Discrete,Discrete
2,25.0,Discrete,Discrete
9,50.0,Discrete,Discrete
7,50.0,Discrete,Discrete
