Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
10,"['1', '0']",0,C, , , , 
11,['0'],0,C, , , , 
0,"['S', 'R', 'H']",0,C, , , , 
1,"['O', 'I']",0,C,0.7368,0.5957,104.0453,0.4196
0,"['K', 'A', 'S']",0,D, , , , 
1,"['I', 'C']",0,D,0.5568,0.5698,72.3033,0.3167
6,['2'],0,B, , , , 
0,['X'],0,B,1.0,1.0,208.4245,0.643
1,"['I', 'O']",0,F, , , , 
5,['2'],0,F, , , , 
8,['2'],0,F, , , , 
11,['0'],0,F, , , , 
0,"['S', 'A', 'K']",0,F,1.0,0.1143,24.4665,0.0776
1,['X'],0,H, , , , 
10,"['0', '1']",0,H,1.0,1.0,208.4245,0.643
0,"['K', 'A']",0,E, , , , 
6,['2'],0,E, , , , 
8,['2'],0,E, , , , 
11,['0'],0,E,0.8571,0.1935,39.2725,0.148
