Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
10542,"[1.8580026688901898, 2.1016759323124097]",0,BCR,0.8667,0.325,43.7177,0.1707
6713,"[0.61087314280721206, 1.08033097483372]",0,E2A, , , , 
4765,"[0.70286605175503303, 0.98737835492213]",0,E2A,1.0,0.5,82.32,0.3407
5825,"[1.1575759128177701, 1.4611436883518898]",0,Hyperdip,0.8125,0.5049,69.7903,0.41
10260,"[0.90650812161088601, 1.05677109084406]",0,MLL, , , , 
10288,"[0.98350736733163913, 1.13607705182898]",0,MLL, , , , 
4863,"[0.62633634876802602, 0.92235867115438208]",0,MLL,0.85,0.5484,65.1754,0.2339
5212,"[0.98815290534341593, 1.1768934721962598]",0,T,0.8837,0.6032,94.7477,0.4367
10208,"[0.83193566521100293, 1.21668938836259]",0,TEL, , , , 
6554,"[0.90965850013065086, 1.39224667813139]",0,TEL,0.9241,0.7604,127.0335,0.6842
