0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183
0.1209,0.1508,0.2909,0.1069,0.2378,0.238,0.0866,0.1637,0.2903,0.1171,0.212,0.2645,0.1117,0.1663,0.2118,0.0978,0.1963,0.2861,0.1057,0.2089,0.1394,0.1095,0.2354,0.2812,0.1154,0.1755,0.3252,0.0986,0.177,0.2741,0.1915,0.0905,0.1679,0.3174,0.115,0.1939,0.3559,0.1247,0.1545,0.2414,0.0952,0.3019,0.4328,0.1091,0.172,0.2497,0.147,0.1888,0.2562,0.1024,0.1345,0.3143,0.1054,0.3126,0.2371,0.1218,0.1404,0.2986,0.1785,0.2122,0.2892,0.1085,0.1521,0.2612,0.1233,0.2043,0.2333,0.1097,0.1518,0.2825,0.1426,0.246,0.2648,0.1097,0.1703,0.2206,0.1576,0.1952,0.2812,0.0871,0.1546,0.2201,0.0791,0.2563,0.3333,0.0916,0.1783,0.1863,0.1561,0.1842,0.2768,0.1184,0.1665,0.2175,0.1093,0.2421,0.3081,0.089,0.1268,0.192,0.3377,0.1392,0.1733,0.3277,0.0798,0.2107,0.1748,0.1319,0.1783,0.2932,0.1105,0.1279,0.2149,0.1392,0.1798,0.3249,0.3306,0.1014,0.1567,0.2352,0.1449,0.2507,0.3383,0.0994,0.1958,0.2919,0.1207,0.1754,0.2014,0.0862,0.2214,0.2279,0.1184,0.1839,0.2807,0.094,0.1731,0.2508,0.1212,0.1965,0.2415,0.094,0.2495,0.2185,0.1028,0.2226,0.2892,0.1184,0.1674,0.281,0.1324,0.2955,0.1813,0.207,0.0944,0.1658,0.2097,0.1257,0.1798,0.3154,0.0911,0.1703,0.154,0.1015,0.2451,0.3522,0.097,0.1813,0.1535,0.1194,0.2213,0.246,0.1359,0.1342,0.2211,0.1093,0.2655,0.2995,0.1117,0.1924,0.1977,0.1087,0.1524,0.2704
0.1209,0.1944,0.2909,0.1072,0.2378,0.238,0.0866,0.1637,0.2903,0.1171,0.212,0.2645,0.1117,0.1924,0.2118,0.1384,0.1963,0.2861,0.1057,0.2089,0.1483,0.1095,0.2354,0.2912,0.1154,0.1755,0.3252,0.1129,0.177,0.2741,0.1915,0.0905,0.1679,0.3174,0.115,0.2636,0.3559,0.1247,0.1545,0.2414,0.0952,0.3019,0.4328,0.1091,0.172,0.2497,0.147,0.1888,0.2622,0.1052,0.1353,0.3143,0.1054,0.3126,0.2371,0.1218,0.1404,0.2986,0.1785,0.2122,0.2892,0.1085,0.1597,0.2612,0.1233,0.2043,0.2333,0.1097,0.193,0.2825,0.1426,0.246,0.2648,0.1097,0.1703,0.2206,0.1576,0.1952,0.2812,0.0871,0.1546,0.2201,0.0858,0.2563,0.3333,0.0916,0.204,0.1863,0.1561,0.1842,0.2768,0.1184,0.1665,0.2175,0.1093,0.2421,0.3081,0.0891,0.1268,0.192,0.3377,0.1392,0.1733,0.3277,0.095,0.2107,0.1748,0.1319,0.1783,0.2932,0.1331,0.1279,0.2149,0.1392,0.1798,0.3249,0.3306,0.1014,0.1567,0.2435,0.1449,0.2507,0.3383,0.0994,0.1958,0.2919,0.1207,0.1754,0.2014,0.0862,0.2214,0.2279,0.1184,0.1839,0.2807,0.096,0.1794,0.2508,0.1212,0.1965,0.2415,0.094,0.2495,0.2185,0.1028,0.2226,0.2892,0.1184,0.1674,0.281,0.1324,0.2955,0.1813,0.207,0.0944,0.1658,0.2097,0.1257,0.1798,0.3154,0.0911,0.1703,0.1831,0.1139,0.2451,0.3522,0.097,0.1813,0.1613,0.1194,0.2213,0.3282,0.1359,0.1714,0.2211,0.1093,0.2655,0.2995,0.1117,0.1924,0.1977,0.1087,0.1539,0.2704
0.1209,0.1944,0.2909,0.1072,0.2378,0.3456,0.0866,0.1637,0.2903,0.1171,0.212,0.3756,0.1117,0.1924,0.2118,0.172,0.1963,0.2861,0.1057,0.2089,0.1634,0.1095,0.2354,0.2912,0.1154,0.1755,0.3252,0.1129,0.2443,0.2741,0.208,0.0905,0.1679,0.3174,0.115,0.2636,0.3559,0.1247,0.1545,0.2456,0.0952,0.3019,0.4328,0.1091,0.1998,0.2497,0.147,0.1888,0.2867,0.1052,0.1353,0.3143,0.1054,0.3126,0.2486,0.1229,0.1465,0.2986,0.1785,0.2122,0.2892,0.1085,0.1597,0.2612,0.1233,0.2043,0.2341,0.1097,0.193,0.2825,0.1504,0.246,0.2704,0.1097,0.1703,0.2206,0.1576,0.3391,0.2812,0.0881,0.1546,0.2201,0.0858,0.2563,0.3398,0.0931,0.204,0.2601,0.1561,0.1842,0.2979,0.1184,0.1665,0.2185,0.1103,0.2421,0.3081,0.0891,0.1614,0.192,0.3377,0.1392,0.1982,0.3277,0.095,0.2107,0.1748,0.1319,0.1918,0.2932,0.1331,0.1367,0.2289,0.1392,0.1798,0.3249,0.3306,0.1014,0.1567,0.2435,0.1449,0.2507,0.3383,0.0994,0.1958,0.2919,0.1207,0.1754,0.2014,0.0862,0.2214,0.2508,0.1264,0.1839,0.2807,0.096,0.1794,0.2508,0.1212,0.3165,0.2415,0.094,0.2495,0.2674,0.1028,0.372,0.2892,0.1184,0.1674,0.281,0.1324,0.2955,0.1839,0.207,0.1003,0.1658,0.2097,0.1257,0.1798,0.3154,0.1184,0.2071,0.1831,0.1158,0.2451,0.3522,0.097,0.1813,0.2487,0.1194,0.2213,0.3282,0.1359,0.1714,0.2211,0.1093,0.2655,0.2995,0.1117,0.1924,0.1977,0.1087,0.1539,0.2704
0.1209,0.1944,0.2909,0.1072,0.2378,0.3456,0.0873,0.1637,0.2903,0.1171,0.2563,0.3756,0.1117,0.1924,0.2175,0.172,0.1963,0.2861,0.1057,0.2089,0.1634,0.1095,0.2354,0.2972,0.1169,0.1755,0.3252,0.1129,0.2443,0.2741,0.208,0.0905,0.2495,0.3174,0.115,0.2636,0.3559,0.1247,0.1545,0.2456,0.1324,0.3019,0.4328,0.1091,0.1998,0.2497,0.147,0.1888,0.2867,0.11,0.1353,0.3143,0.1054,0.3126,0.2486,0.1229,0.1837,0.2986,0.1785,0.2122,0.2892,0.1085,0.1597,0.2612,0.1233,0.2043,0.2363,0.1097,0.193,0.2825,0.1504,0.246,0.2704,0.1097,0.1703,0.2206,0.1826,0.3391,0.3807,0.0906,0.1546,0.2201,0.0858,0.2563,0.3398,0.0931,0.204,0.2601,0.1561,0.1842,0.2979,0.1184,0.1665,0.2185,0.1137,0.2421,0.3081,0.0891,0.1614,0.192,0.3377,0.1392,0.2043,0.3277,0.095,0.2107,0.1748,0.1319,0.1918,0.3133,0.1331,0.1458,0.2461,0.1454,0.1798,0.3249,0.3306,0.1014,0.1567,0.2435,0.1449,0.2507,0.342,0.0994,0.1958,0.2919,0.1207,0.1924,0.2014,0.0862,0.2214,0.2508,0.1264,0.2135,0.2807,0.1013,0.1833,0.2508,0.1212,0.3165,0.2415,0.094,0.2495,0.2674,0.1028,0.372,0.2892,0.1184,0.1752,0.281,0.1324,0.2955,0.1839,0.2386,0.1003,0.1658,0.2877,0.1257,0.2092,0.3302,0.1184,0.2071,0.193,0.1191,0.2451,0.3522,0.097,0.1813,0.2487,0.1194,0.2213,0.3282,0.1359,0.1714,0.2211,0.1093,0.2655,0.2995,0.1117,0.2516,0.1977,0.1296,0.1716,0.2704
0.1287,0.1944,0.2909,0.1111,0.2378,0.3456,0.0873,0.1637,0.2903,0.1171,0.4236,0.3756,0.1117,0.1924,0.243,0.172,0.2019,0.2861,0.1057,0.2089,0.1779,0.135,0.2354,0.2972,0.1169,0.1755,0.3252,0.1129,0.2443,0.2741,0.208,0.0905,0.2495,0.3174,0.115,0.2636,0.3559,0.1247,0.1545,0.2456,0.1324,0.3019,0.4328,0.1091,0.1998,0.2669,0.147,0.1888,0.2892,0.11,0.1353,0.3143,0.1054,0.3126,0.2611,0.1229,0.1878,0.2986,0.1785,0.2122,0.2892,0.1085,0.1597,0.2612,0.1233,0.2043,0.2363,0.1097,0.193,0.2825,0.1504,0.246,0.2704,0.1097,0.1703,0.2206,0.1826,0.3391,0.3807,0.0906,0.1546,0.2201,0.0858,0.2563,0.3398,0.0931,0.204,0.2601,0.1561,0.1842,0.2979,0.1184,0.184,0.2185,0.1137,0.2644,0.3081,0.0891,0.1614,0.192,0.3377,0.1392,0.2043,0.3277,0.095,0.2107,0.1748,0.1319,0.1918,0.3133,0.1331,0.1458,0.2461,0.1454,0.1836,0.3399,0.3306,0.1014,0.1567,0.2435,0.1449,0.2507,0.342,0.0994,0.1958,0.2919,0.1207,0.1924,0.2014,0.0862,0.2214,0.2508,0.1264,0.2135,0.2807,0.1013,0.2092,0.2508,0.1212,0.3165,0.2424,0.1131,0.2495,0.2674,0.1457,0.372,0.2892,0.1184,0.1752,0.281,0.1324,0.2955,0.1839,0.2386,0.1003,0.1658,0.3434,0.1257,0.2092,0.3829,0.1184,0.2071,0.193,0.1191,0.2451,0.3522,0.097,0.1813,0.2487,0.1194,0.2213,0.3282,0.1359,0.1714,0.2211,0.1093,0.2879,0.3847,0.1117,0.2516,0.1977,0.1296,0.1722,0.2704
0.1287,0.1944,0.2909,0.1111,0.2378,0.3566,0.0873,0.1637,0.294,0.1171,0.4236,0.4407,0.1117,0.1924,0.243,0.172,0.2019,0.2861,0.1057,0.2089,0.1837,0.135,0.2354,0.3479,0.1223,0.1755,0.3252,0.1129,0.2443,0.2741,0.2313,0.1291,0.2495,0.3174,0.115,0.2636,0.3559,0.1247,0.1545,0.2456,0.1324,0.3019,0.4328,0.1091,0.1998,0.2732,0.147,0.1888,0.2892,0.11,0.1353,0.3143,0.1054,0.3126,0.3122,0.1229,0.1878,0.2986,0.1785,0.2486,0.2892,0.1085,0.1664,0.2612,0.1233,0.2043,0.2885,0.1097,0.193,0.2825,0.1504,0.246,0.2704,0.1097,0.1703,0.2206,0.1826,0.3391,0.3807,0.0906,0.1588,0.2201,0.0858,0.2563,0.3398,0.1032,0.204,0.2601,0.1561,0.1842,0.2979,0.1184,0.184,0.2185,0.1439,0.2644,0.3081,0.0954,0.1614,0.192,0.3377,0.1392,0.2043,0.3277,0.095,0.2107,0.1863,0.1319,0.1918,0.3133,0.1331,0.1458,0.2461,0.1756,0.1836,0.3399,0.3306,0.1014,0.1567,0.2435,0.1449,0.2507,0.342,0.0994,0.1958,0.2919,0.1207,0.1924,0.2014,0.0862,0.2214,0.2508,0.1264,0.2135,0.2906,0.1013,0.2092,0.2508,0.1212,0.3165,0.259,0.1131,0.2495,0.2674,0.1457,0.372,0.2892,0.1184,0.1752,0.281,0.1324,0.2955,0.1859,0.2386,0.1258,0.1658,0.3434,0.1257,0.2226,0.3829,0.1184,0.2071,0.2159,0.1191,0.2451,0.3522,0.0994,0.1813,0.2487,0.1194,0.2213,0.3282,0.1359,0.1714,0.2211,0.1093,0.2879,0.3847,0.1208,0.2516,0.1977,0.1296,0.1913,0.2704
0.1287,0.1944,0.2909,0.1111,0.2378,0.3566,0.1081,0.1637,0.294,0.1171,0.4236,0.4407,0.1501,0.1924,0.243,0.172,0.2019,0.2861,0.1057,0.2089,0.1837,0.135,0.2464,0.3552,0.1223,0.1755,0.3252,0.1129,0.2443,0.2741,0.2583,0.1291,0.2495,0.3174,0.1233,0.2636,0.3559,0.1247,0.1545,0.2456,0.1558,0.3019,0.4328,0.1091,0.1998,0.2732,0.147,0.1888,0.2892,0.11,0.1353,0.3143,0.1054,0.3126,0.3122,0.1229,0.1878,0.2986,0.1785,0.2572,0.2892,0.1085,0.1664,0.2846,0.1233,0.2043,0.2885,0.1097,0.193,0.2825,0.1504,0.246,0.3039,0.1097,0.1703,0.2206,0.1826,0.3391,0.3807,0.093,0.1588,0.2201,0.0858,0.2563,0.3398,0.1032,0.204,0.2601,0.1561,0.1842,0.2979,0.1184,0.184,0.2185,0.1439,0.2644,0.3081,0.0954,0.1614,0.192,0.3377,0.1392,0.2043,0.3277,0.095,0.2107,0.1863,0.1517,0.1918,0.3133,0.1331,0.1458,0.2789,0.1756,0.1836,0.3693,0.3306,0.1014,0.1567,0.2435,0.1449,0.2507,0.342,0.0994,0.2099,0.3569,0.1207,0.1924,0.2704,0.0862,0.2214,0.2508,0.1264,0.2206,0.3712,0.1013,0.2092,0.2539,0.1316,0.3299,0.259,0.1131,0.2495,0.2674,0.1457,0.372,0.2892,0.1237,0.1752,0.281,0.1324,0.2955,0.2477,0.2386,0.1258,0.1658,0.3434,0.1257,0.2331,0.3829,0.1184,0.2071,0.2341,0.1191,0.2451,0.3522,0.0994,0.1813,0.2487,0.173,0.2213,0.381,0.1359,0.1714,0.2211,0.1093,0.2879,0.3847,0.1208,0.2516,0.1977,0.1457,0.1913,0.2805
0.1287,0.1944,0.2909,0.1111,0.2586,0.3566,0.1081,0.1637,0.294,0.1171,0.4236,0.4407,0.1501,0.1924,0.243,0.172,0.2019,0.2861,0.1057,0.2089,0.1837,0.135,0.2464,0.3552,0.1223,0.1755,0.3252,0.1129,0.2443,0.2741,0.2583,0.1291,0.2495,0.3174,0.1233,0.2636,0.3559,0.1247,0.1545,0.2487,0.1558,0.3019,0.4328,0.1091,0.1998,0.2732,0.147,0.1888,0.3003,0.11,0.1353,0.3143,0.1171,0.3126,0.3122,0.1229,0.1878,0.2986,0.1785,0.2572,0.2892,0.1085,0.1664,0.2846,0.1233,0.2043,0.2885,0.1252,0.193,0.2825,0.1504,0.246,0.3039,0.1097,0.1703,0.2206,0.1826,0.3391,0.3807,0.0989,0.1588,0.2201,0.0879,0.2563,0.3729,0.1032,0.204,0.2601,0.1561,0.1842,0.2979,0.1184,0.184,0.2284,0.1439,0.2644,0.3081,0.0954,0.254,0.1977,0.3377,0.1392,0.2043,0.3277,0.095,0.2107,0.1956,0.1517,0.1918,0.3133,0.1331,0.1679,0.3247,0.1756,0.1867,0.3693,0.4278,0.1014,0.1567,0.2435,0.1449,0.2507,0.342,0.1037,0.2099,0.3569,0.1207,0.2323,0.3143,0.0862,0.2214,0.2508,0.1264,0.2206,0.3726,0.1018,0.2092,0.3106,0.1316,0.3384,0.259,0.1131,0.2495,0.2674,0.1457,0.372,0.3002,0.1237,0.1752,0.3127,0.1324,0.2955,0.2477,0.2784,0.1258,0.1658,0.3434,0.1257,0.2331,0.3829,0.1184,0.2071,0.2341,0.1191,0.2451,0.3522,0.1105,0.1813,0.2487,0.173,0.2213,0.381,0.1359,0.1714,0.2211,0.1093,0.2879,0.3847,0.1208,0.2516,0.1977,0.1457,0.1913,0.2805
0.1287,0.1944,0.2909,0.1111,0.2586,0.3566,0.1081,0.1637,0.3273,0.1171,0.4236,0.4428,0.1501,0.1924,0.2497,0.172,0.2019,0.2861,0.1057,0.2089,0.2981,0.135,0.2464,0.3552,0.1223,0.1755,0.3252,0.1129,0.2443,0.2741,0.2583,0.1291,0.2495,0.3174,0.1233,0.2636,0.3559,0.1247,0.1545,0.2503,0.1595,0.3019,0.4605,0.1091,0.1998,0.2732,0.147,0.1888,0.397,0.11,0.1353,0.3143,0.1199,0.3383,0.3122,0.1229,0.1878,0.2986,0.1785,0.2572,0.2892,0.1085,0.1664,0.2846,0.1233,0.2043,0.2885,0.1252,0.193,0.2825,0.1504,0.246,0.3041,0.1145,0.2066,0.2237,0.1826,0.3391,0.3807,0.0989,0.1615,0.2201,0.0879,0.2957,0.3729,0.1082,0.204,0.2601,0.1561,0.1842,0.3126,0.1184,0.184,0.2284,0.1439,0.2644,0.3081,0.0954,0.254,0.2653,0.3377,0.1392,0.2071,0.3277,0.1169,0.2107,0.1956,0.1517,0.22,0.3133,0.1331,0.1899,0.3247,0.1756,0.1867,0.3693,0.4278,0.1014,0.1926,0.2435,0.1449,0.2507,0.342,0.1037,0.2099,0.3569,0.1207,0.2535,0.3296,0.0949,0.2214,0.2508,0.1264,0.2206,0.3902,0.1018,0.2092,0.3106,0.1316,0.3384,0.2627,0.114,0.2495,0.3361,0.1457,0.372,0.3506,0.1237,0.1752,0.3127,0.1324,0.3488,0.2616,0.2784,0.1258,0.1658,0.3434,0.1257,0.2331,0.3829,0.1184,0.2115,0.2669,0.1191,0.2451,0.3522,0.1105,0.1874,0.2487,0.173,0.2213,0.381,0.1359,0.1714,0.2497,0.1093,0.2886,0.3847,0.1208,0.2516,0.204,0.1457,0.1913,0.2805
0.1287,0.1944,0.2909,0.1111,0.267,0.3566,0.1081,0.171,0.3273,0.1171,0.4236,0.4428,0.1501,0.2499,0.3075,0.172,0.3266,0.2861,0.1057,0.2089,0.2981,0.135,0.2464,0.3552,0.1223,0.1755,0.3252,0.1384,0.2443,0.2741,0.2583,0.1291,0.2495,0.3174,0.1233,0.2636,0.3559,0.1247,0.2,0.2503,0.1595,0.3019,0.4724,0.1091,0.1998,0.2732,0.147,0.2447,0.397,0.11,0.1353,0.3143,0.1199,0.3438,0.3122,0.1229,0.1878,0.2986,0.1785,0.2572,0.2892,0.1085,0.1664,0.2846,0.1233,0.2043,0.3697,0.1252,0.193,0.2825,0.1504,0.246,0.3041,0.1145,0.2066,0.3335,0.1826,0.3391,0.3807,0.0989,0.1615,0.2201,0.0913,0.2957,0.3729,0.113,0.204,0.2601,0.1561,0.1842,0.3126,0.1184,0.184,0.2284,0.1439,0.2644,0.3081,0.0954,0.254,0.2653,0.4563,0.1392,0.2071,0.3277,0.1169,0.2107,0.1956,0.1517,0.2868,0.3133,0.1331,0.1899,0.3247,0.1756,0.1932,0.3693,0.4278,0.1033,0.1926,0.2435,0.1449,0.2507,0.4078,0.1037,0.2099,0.3569,0.1207,0.2957,0.5194,0.0949,0.2214,0.2508,0.1264,0.2206,0.3902,0.1018,0.2092,0.3106,0.1316,0.3488,0.2627,0.114,0.2495,0.4027,0.1457,0.469,0.3506,0.1237,0.1752,0.3127,0.1324,0.3488,0.2616,0.2784,0.1258,0.1658,0.3434,0.1935,0.2331,0.4194,0.1184,0.2218,0.2669,0.1191,0.2451,0.3522,0.1105,0.1874,0.2487,0.173,0.2213,0.381,0.1359,0.1714,0.2497,0.1553,0.2886,0.3847,0.1208,0.2516,0.2294,0.1457,0.1913,0.2805
