Rule_Obj,Rule_Score
"[['ph-karno'], [[60.0, 80.0]]]",0.619968295296113
"[['ph-karno', 'ph-ecog'], [[60.0, 80.0], ['1.0', '0.0', '3.0', '2.0']]]",0.619968295296113
"[['sex', 'age'], [['1'], [54, 80]]]",0.5960707530756147
"[['sex', 'age', 'ph-ecog'], [['1'], [56, 82], ['2.0', '0.0', '1.0', '3.0']]]",0.5951285841917205
"[['ph-ecog', 'age'], [['1.0', '0.0'], [57, 80]]]",0.590021321353851
"[['age'], [[57, 71]]]",0.5730845200756188
"[['ph-ecog', 'sex'], [['1.0', '2.0', '3.0'], ['1']]]",0.5710893874612681
"[['ph-karno', 'sex'], [[80.0, 100.0], ['2', '1']]]",0.5358080113141209
"[['ph-ecog', 'pat-karno'], [['1.0', '0.0'], [70.0, 90.0]]]",0.5272417894691521
"[['pat-karno', 'age'], [[70.0, 100.0], [59, 76]]]",0.5061470946623284
