metric,mean,std,mean+/-std,min,max,median
exceptionality,0.8200,0.0775,0.8200+/-0.0775,0.7000,0.9000,0.8000
#sg,10.0000,0.0000,10.0000+/-0.0000,10.0000,10.0000,10.0000
length,1.9400,0.0910,1.9400+/-0.0910,1.8000,2.1000,1.9000
sgCov,0.5408,0.0208,0.5408+/-0.0208,0.5054,0.5863,0.5440
setCov,0.9960,0.0154,0.9960+/-0.0154,0.9405,1.0000,1.0000
description redundancy,0.0790,0.0397,0.0790+/-0.0397,0.0111,0.1407,0.0704
coverage redundancy,0.6295,0.0445,0.6295+/-0.0445,0.5541,0.7026,0.6385
CR,0.4902,0.0227,0.4902+/-0.0227,0.4504,0.5403,0.4934
model redundancy,0.5185,0.1034,0.5185+/-0.1034,0.3778,0.8000,0.5111
mean_rule_score,0.5819,0.0128,0.5819+/-0.0128,0.5628,0.6020,0.5793
