Rule_Obj,Rule_Score
"[['ph-karno'], [[60.0, 80.0]]]",0.619968295296113
"[['ph-karno', 'ph-ecog'], [[50.0, 80.0], ['1.0', '3.0', '0.0', '2.0']]]",0.619968295296113
"[['pat-karno', 'ph-karno'], [[30.0, 100.0], [60.0, 80.0]]]",0.619968295296113
"[['sex', 'ph-ecog'], [['1'], ['2.0', '3.0', '1.0']]]",0.5710893874612681
"[['age'], [[64, 82]]]",0.5506242574370991
"[['ph-ecog', 'pat-karno'], [['0.0', '3.0', '1.0'], [80.0, 90.0]]]",0.5272417894691521
"[['age', 'ph-ecog'], [[47, 64], ['3.0', '1.0', '0.0']]]",0.5222540258502671
"[['pat-karno'], [[60.0, 90.0]]]",0.5022127768163921
"[['sex'], [['2']]]",0.5022058960335514
"[['pat-karno', 'sex'], [[70.0, 90.0], ['2', '1']]]",0.4856338625129227
