metric,mean,std,mean+/-std,min,max,median
exceptionality,0.6533,0.1598,0.6533+/-0.1598,0.4000,1.0000,0.7000
#sg,10.0000,0.0000,10.0000+/-0.0000,10.0000,10.0000,10.0000
length,1.6133,0.0834,1.6133+/-0.0834,1.5000,1.7000,1.6000
sgCov,0.4615,0.0371,0.4615+/-0.0371,0.4137,0.5292,0.4613
setCov,0.9968,0.0081,0.9968+/-0.0081,0.9702,1.0000,1.0000
description redundancy,0.0607,0.0268,0.0607+/-0.0268,0.0111,0.1111,0.0667
coverage redundancy,0.5617,0.0614,0.5617+/-0.0614,0.4460,0.6502,0.5569
CR,0.4020,0.0411,0.4020+/-0.0411,0.3485,0.4769,0.4021
model redundancy,0.5452,0.0822,0.5452+/-0.0822,0.4444,0.6889,0.5333
mean_rule_score,0.4992,0.0305,0.4992+/-0.0305,0.4329,0.5521,0.5021
