Rule_Obj,Rule_Score
"[['sex', 'ph-ecog', 'ph-karno'], [['1'], ['0.0', '2.0', '3.0', '1.0'], [60.0, 100.0]]]",0.9328009013045483
"[['ph-karno', 'sex'], [[50.0, 90.0], ['1']]]",0.9328009013045483
"[['ph-ecog', 'sex'], [['1.0', '2.0', '3.0'], ['1']]]",0.9191819836782164
"[['ph-karno', 'ph-ecog'], [[50.0, 80.0], ['1.0', '3.0', '2.0']]]",0.9156478603496091
"[['ph-karno', 'pat-karno'], [[50.0, 100.0], [40.0, 90.0]]]",0.913085116583696
"[['ph-ecog', 'age'], [['3.0', '0.0', '1.0'], [56, 74]]]",0.9054037156980751
"[['ph-ecog', 'pat-karno'], [['0.0', '2.0', '3.0', '1.0'], [30.0, 80.0]]]",0.8988741794176537
"[['pat-karno'], [[30.0, 70.0]]]",0.8988741794176537
"[['sex', 'pat-karno'], [['1', '2'], [30.0, 80.0]]]",0.8988741794176537
"[['sex'], [['2']]]",0.8961060135679206
