Rule_Obj,Rule_Score
"[['ph-ecog', 'sex'], [['2.0', '3.0', '1.0'], ['1']]]",0.9191819836782164
"[['sex'], [['2']]]",0.8961060135679206
"[['ph-ecog', 'age'], [['0.0', '1.0'], [55, 70]]]",0.8742780243805612
"[['ph-ecog', 'pat-karno'], [['1.0', '0.0', '3.0'], [90.0, 100.0]]]",0.8742406399753097
"[['age'], [[65, 82]]]",0.8666730044994748
"[['ph-ecog'], [['2.0', '3.0']]]",0.8660310755912856
"[['ph-karno'], [[80.0, 100.0]]]",0.8623957676744537
"[['sex', 'age'], [['2', '1'], [57, 64]]]",0.8500705014437145
"[['wt-loss'], [[5.0, 13.0]]]",0.847438384713273
"[['ph-ecog', 'pat-karno', 'age'], [['2.0', '1.0', '0.0', '3.0'], [80.0, 100.0], [50, 73]]]",0.8466554333745444
