metric,mean,std,mean+/-std,min,max,median
exceptionality,0.8533,0.0915,0.8533+/-0.0915,0.7000,1.0000,0.9000
#sg,10.0000,0.0000,10.0000+/-0.0000,10.0000,10.0000,10.0000
length,1.6467,0.0743,1.6467+/-0.0743,1.5000,1.8000,1.6000
sgCov,0.3885,0.0324,0.3885+/-0.0324,0.3393,0.4321,0.3911
setCov,0.9790,0.0353,0.9790+/-0.0353,0.8988,1.0000,0.9940
description redundancy,0.0516,0.0260,0.0516+/-0.0260,0.0000,0.1000,0.0556
coverage redundancy,0.5331,0.0478,0.5331+/-0.0478,0.4534,0.6136,0.5336
CR,0.3228,0.0342,0.3228+/-0.0342,0.2672,0.3697,0.3234
model redundancy,0.5259,0.1048,0.5259+/-0.1048,0.4222,0.7778,0.4889
mean_rule_score,0.8829,0.0084,0.8829+/-0.0084,0.8703,0.8936,0.8844
