metric,mean,std,mean+/-std,min,max,median
exceptionality,0.7400,0.1404,0.7400+/-0.1404,0.5000,1.0000,0.7000
#sg,10.0000,0.0000,10.0000+/-0.0000,10.0000,10.0000,10.0000
length,1.8667,0.1589,1.8667+/-0.1589,1.7000,2.3000,1.8000
sgCov,0.5529,0.0223,0.5529+/-0.0223,0.5149,0.5887,0.5571
setCov,0.9929,0.0122,0.9929+/-0.0122,0.9643,1.0000,1.0000
description redundancy,0.0756,0.0454,0.0756+/-0.0454,0.0000,0.2185,0.0704
coverage redundancy,0.6367,0.0457,0.6367+/-0.0457,0.5597,0.7406,0.6343
CR,0.5040,0.0246,0.5040+/-0.0246,0.4610,0.5430,0.5079
model redundancy,0.4889,0.0932,0.4889+/-0.0932,0.3778,0.7778,0.4667
mean_rule_score,0.5946,0.0146,0.5946+/-0.0146,0.5681,0.6149,0.5946
