Rule_Obj,Rule_Score
"[['sex', 'age'], [['1'], [54, 82]]]",0.636739581159487
"[['sex', 'age', 'ph-ecog'], [['1'], [54, 82], ['1.0', '3.0', '0.0', '2.0']]]",0.636739581159487
"[['age'], [[39, 65]]]",0.6328960716430052
"[['age', 'ph-ecog'], [[57, 82], ['1.0', '3.0', '0.0']]]",0.6256080047437788
"[['ph-karno'], [[60.0, 80.0]]]",0.619968295296113
"[['ph-ecog', 'ph-karno'], [['2.0', '0.0', '3.0', '1.0'], [50.0, 80.0]]]",0.619968295296113
"[['sex', 'ph-karno'], [['1', '2'], [60.0, 90.0]]]",0.619968295296113
"[['sex', 'pat-karno', 'age'], [['2', '1'], [80.0, 100.0], [50, 71]]]",0.5738661472155854
"[['ph-ecog', 'pat-karno', 'ph-karno'], [['0.0', '2.0', '3.0', '1.0'], [40.0, 90.0], [50.0, 80.0]]]",0.5734377382544024
"[['sex', 'ph-ecog'], [['1'], ['2.0', '3.0', '1.0']]]",0.5710893874612681
