metric,mean,std,mean+/-std,min,max,median
exceptionality,0.7667,0.1345,0.7667+/-0.1345,0.5000,1.0000,0.8000
#sg,10.0000,0.0000,10.0000+/-0.0000,10.0000,10.0000,10.0000
length,1.9800,0.1014,1.9800+/-0.1014,1.8000,2.2000,2.0000
sgCov,0.5442,0.0290,0.5442+/-0.0290,0.4929,0.5923,0.5488
setCov,0.9925,0.0140,0.9925+/-0.0140,0.9643,1.0000,1.0000
description redundancy,0.0800,0.0411,0.0800+/-0.0411,0.0111,0.1778,0.0667
coverage redundancy,0.6463,0.0500,0.6463+/-0.0500,0.5549,0.7414,0.6503
CR,0.4944,0.0323,0.4944+/-0.0323,0.4365,0.5470,0.5000
model redundancy,0.5141,0.0856,0.5141+/-0.0856,0.4222,0.6667,0.4889
mean_rule_score,0.5819,0.0200,0.5819+/-0.0200,0.5474,0.6201,0.5839
