metric,mean,std,mean+/-std,min,max,median
exceptionality,0.7200,0.1612,0.7200+/-0.1612,0.5000,1.0000,0.7000
#sg,10.0000,0.0000,10.0000+/-0.0000,10.0000,10.0000,10.0000
length,1.9067,0.1033,1.9067+/-0.1033,1.7000,2.1000,1.9000
sgCov,0.5529,0.0359,0.5529+/-0.0359,0.4994,0.6208,0.5583
setCov,0.9972,0.0078,0.9972+/-0.0078,0.9702,1.0000,1.0000
description redundancy,0.0800,0.0647,0.0800+/-0.0647,0.0333,0.2778,0.0556
coverage redundancy,0.6271,0.0691,0.6271+/-0.0691,0.5185,0.7690,0.6348
CR,0.5035,0.0397,0.5035+/-0.0397,0.4438,0.5787,0.5099
model redundancy,0.4889,0.0819,0.4889+/-0.0819,0.4000,0.7333,0.4667
mean_rule_score,0.5869,0.0165,0.5869+/-0.0165,0.5542,0.6160,0.5870
