Rule_Obj,Rule_Score
"[['ph-ecog', 'age'], [['1.0', '0.0', '3.0'], [39, 67]]]",0.6479556154457514
"[['ph-karno'], [[50.0, 80.0]]]",0.619968295296113
"[['sex', 'ph-ecog', 'ph-karno', 'age'], [['2', '1'], ['0.0', '1.0'], [80.0, 100.0], [39, 66]]]",0.6134796947648083
"[['sex', 'age', 'ph-ecog'], [['1', '2'], [55, 74], ['3.0', '1.0', '2.0']]]",0.6003954779294838
"[['age'], [[57, 71]]]",0.5730845200756188
"[['sex', 'age'], [['2', '1'], [57, 71]]]",0.5730845200756188
"[['ph-ecog', 'sex'], [['2.0', '1.0', '3.0'], ['1']]]",0.5710893874612681
"[['ph-karno', 'sex'], [[90.0, 100.0], ['1', '2']]]",0.5358080113141209
"[['ph-karno', 'sex', 'ph-ecog'], [[80.0, 100.0], ['1', '2'], ['1.0', '0.0']]]",0.5358080113141209
"[['ph-ecog', 'pat-karno'], [['1.0', '3.0', '0.0'], [80.0, 90.0]]]",0.5272417894691521
