metric,mean,std,mean+/-std,min,max,median
exceptionality,0.7800,0.1082,0.7800+/-0.1082,0.6000,0.9000,0.8000
#sg,10.0000,0.0000,10.0000+/-0.0000,10.0000,10.0000,10.0000
length,1.9800,0.1146,1.9800+/-0.1146,1.8000,2.2000,2.0000
sgCov,0.5494,0.0424,0.5494+/-0.0424,0.4887,0.6363,0.5417
setCov,0.9944,0.0132,0.9944+/-0.0132,0.9524,1.0000,1.0000
description redundancy,0.0827,0.0447,0.0827+/-0.0447,0.0296,0.1926,0.0778
coverage redundancy,0.6412,0.0807,0.6412+/-0.0807,0.5348,0.8038,0.6242
CR,0.5000,0.0475,0.5000+/-0.0475,0.4319,0.5959,0.4907
model redundancy,0.5067,0.0704,0.5067+/-0.0704,0.4222,0.6667,0.4889
mean_rule_score,0.5813,0.0138,0.5813+/-0.0138,0.5607,0.6026,0.5798
