Rule_Obj,Rule_Score
"[['age', 'sex'], [[53, 82], ['1']]]",0.9259806486486888
"[['ph-ecog', 'sex'], [['1.0', '2.0', '3.0'], ['1']]]",0.9191819836782164
"[['ph-karno'], [[60.0, 80.0]]]",0.9138300735964792
"[['wt-loss'], [[5.0, 20.0]]]",0.9084067539939902
"[['age'], [[39, 65]]]",0.9083333767784787
"[['ph-ecog', 'ph-karno', 'sex'], [['2.0', '1.0', '3.0'], [70.0, 90.0], ['1']]]",0.9058046666780639
"[['sex', 'pat-karno'], [['1'], [50.0, 100.0]]]",0.904671728830163
"[['ph-ecog', 'pat-karno'], [['1.0', '0.0', '2.0', '3.0'], [30.0, 70.0]]]",0.8988741794176537
"[['pat-karno'], [[30.0, 80.0]]]",0.8988741794176537
"[['sex'], [['2']]]",0.8961060135679206
