metric,mean,std,mean+/-std,min,max,median
exceptionality,0.8000,0.1414,0.8000+/-0.1414,0.6000,1.0000,0.8000
#sg,10.0000,0.0000,10.0000+/-0.0000,10.0000,10.0000,10.0000
length,1.6933,0.1438,1.6933+/-0.1438,1.5000,2.1000,1.7000
sgCov,0.4845,0.0364,0.4845+/-0.0364,0.4220,0.5452,0.4857
setCov,0.9909,0.0201,0.9909+/-0.0201,0.9345,1.0000,1.0000
description redundancy,0.0602,0.0495,0.0602+/-0.0495,0.0222,0.2185,0.0444
coverage redundancy,0.5911,0.0665,0.5911+/-0.0665,0.4719,0.7116,0.5863
CR,0.4283,0.0395,0.4283+/-0.0395,0.3578,0.4947,0.4286
model redundancy,0.5600,0.0984,0.5600+/-0.0984,0.4222,0.7556,0.5556
mean_rule_score,0.9054,0.0032,0.9054+/-0.0032,0.8996,0.9122,0.9048
