Rule_Obj,Rule_Score
"[['ph-ecog', 'sex'], [['1.0', '2.0', '3.0'], ['1']]]",0.9191819836782164
"[['pat-karno', 'sex'], [[40.0, 90.0], ['1']]]",0.904671728830163
"[['ph-ecog', 'pat-karno'], [['0.0', '2.0', '3.0', '1.0'], [30.0, 80.0]]]",0.8988741794176537
"[['pat-karno'], [[30.0, 80.0]]]",0.8988741794176537
"[['pat-karno', 'sex', 'ph-ecog'], [[30.0, 80.0], ['2', '1'], ['2.0', '3.0', '1.0', '0.0']]]",0.8988741794176537
"[['age', 'sex'], [[59, 82], ['1']]]",0.8982706027933818
"[['sex'], [['2']]]",0.8961060135679206
"[['age'], [[65, 82]]]",0.8911439215869417
"[['ph-ecog', 'age'], [['2.0', '1.0', '0.0', '3.0'], [65, 82]]]",0.8911439215869417
"[['ph-ecog', 'age', 'sex'], [['3.0', '1.0', '2.0', '0.0'], [65, 82], ['1', '2']]]",0.8911439215869417
