Rule_Obj,Rule_Score
"[['wt-loss'], [[4.0, 28.0]]]",0.9264538992537354
"[['sex', 'ph-ecog'], [['1'], ['1.0', '2.0', '3.0']]]",0.9191819836782164
"[['ph-karno'], [[60.0, 80.0]]]",0.9138300735964792
"[['ph-ecog', 'age'], [['1.0', '0.0', '3.0'], [56, 75]]]",0.9054037156980751
"[['pat-karno'], [[30.0, 70.0]]]",0.8988741794176537
"[['sex'], [['2']]]",0.8961060135679206
"[['ph-karno', 'pat-karno'], [[80.0, 90.0], [60.0, 100.0]]]",0.8948108209539815
"[['ph-ecog', 'pat-karno'], [['2.0', '3.0', '0.0', '1.0'], [50.0, 70.0]]]",0.8930994126669856
"[['age'], [[65, 82]]]",0.8911439215869417
"[['age', 'sex'], [[65, 82], ['1', '2']]]",0.8911439215869417
