metric,mean,std,mean+/-std,min,max,median
exceptionality,0.8133,0.1356,0.8133+/-0.1356,0.6000,1.0000,0.9000
#sg,10.0000,0.0000,10.0000+/-0.0000,10.0000,10.0000,10.0000
length,1.7133,0.1356,1.7133+/-0.1356,1.5000,1.9000,1.7000
sgCov,0.4809,0.0305,0.4809+/-0.0305,0.4399,0.5470,0.4792
setCov,0.9837,0.0228,0.9837+/-0.0228,0.9226,1.0000,0.9940
description redundancy,0.0714,0.0488,0.0714+/-0.0488,0.0222,0.1815,0.0667
coverage redundancy,0.5953,0.0500,0.5953+/-0.0500,0.5130,0.7071,0.5879
CR,0.4250,0.0328,0.4250+/-0.0328,0.3816,0.4967,0.4213
model redundancy,0.6089,0.1219,0.6089+/-0.1219,0.4222,0.8000,0.6000
mean_rule_score,0.9049,0.0045,0.9049+/-0.0045,0.8991,0.9143,0.9047
