Rule_Obj,Rule_Score
"[['sex', 'ph-karno'], [['1'], [50.0, 90.0]]]",0.9328009013045483
"[['age', 'ph-karno'], [[47, 82], [50.0, 80.0]]]",0.9220721446084668
"[['ph-ecog', 'sex'], [['2.0', '3.0', '1.0'], ['1']]]",0.9191819836782164
"[['sex', 'age'], [['1'], [54, 82]]]",0.9190864297524745
"[['ph-ecog', 'ph-karno'], [['3.0', '2.0', '1.0'], [60.0, 80.0]]]",0.9156478603496091
"[['ph-karno'], [[50.0, 80.0]]]",0.9138300735964792
"[['sex', 'age', 'ph-karno'], [['1', '2'], [65, 82], [50.0, 100.0]]]",0.9093678454503459
"[['pat-karno'], [[30.0, 70.0]]]",0.8988741794176537
"[['sex'], [['2']]]",0.8961060135679206
"[['age', 'ph-ecog'], [[64, 82], ['1.0', '2.0', '0.0', '3.0']]]",0.8911439215869417
