metric,mean,std,mean+/-std,min,max,median
exceptionality,0.7800,0.1521,0.7800+/-0.1521,0.6000,1.0000,0.8000
#sg,10.0000,0.0000,10.0000+/-0.0000,10.0000,10.0000,10.0000
length,1.9000,0.1558,1.9000+/-0.1558,1.5000,2.1000,1.9000
sgCov,0.4908,0.0251,0.4908+/-0.0251,0.4351,0.5262,0.4935
setCov,0.9905,0.0100,0.9905+/-0.0100,0.9762,1.0000,0.9940
description redundancy,0.0802,0.0340,0.0802+/-0.0340,0.0333,0.1519,0.0778
coverage redundancy,0.6160,0.0443,0.6160+/-0.0443,0.5385,0.7003,0.6108
CR,0.4353,0.0278,0.4353+/-0.0278,0.3724,0.4735,0.4392
model redundancy,0.6400,0.0958,0.6400+/-0.0958,0.5111,0.8000,0.6000
mean_rule_score,0.9067,0.0046,0.9067+/-0.0046,0.8982,0.9124,0.9081
