Rule_Obj,Rule_Score
"[['age'], [[70, 92]]]",0.9418529937751725
"[['age', 'sex'], [[70, 92], ['M', 'F']]]",0.9418529937751725
"[['hgb', 'pstat'], [[12.800000190734863, 15.899999618530273], ['0', '1']]]",0.9418529937751692
"[['hgb'], [[12.800000190734863, 15.800000190734863]]]",0.9418529937751692
"[['hgb', 'sex'], [[12.800000190734863, 15.800000190734863], ['M', 'F']]]",0.9418529937751692
"[['hgb', 'pstat', 'sex'], [[12.800000190734863, 15.899999618530273], ['0', '1'], ['F', 'M']]]",0.9418529937751692
"[['pstat', 'age'], [['0', '1'], [64, 81]]]",0.9418457635713529
"[['pstat', 'age', 'sex'], [['0', '1'], [69, 86], ['M', 'F']]]",0.941339161092642
"[['hgb', 'age'], [[11.600000381469727, 16.5], [66, 90]]]",0.9397822858146453
"[['creat'], [[0.800000011920929, 1.100000023841858]]]",0.9380691596488027
