Rule_Obj,Rule_Score
"[['sex', 'hgb'], [['F', 'M'], [12.800000190734863, 15.899999618530273]]]",0.9418529937751692
"[['hgb'], [[13.100000381469727, 16.5]]]",0.941339161092642
"[['pstat', 'hgb'], [['0', '1'], [12.300000190734863, 15.0]]]",0.9408180893302469
"[['sex', 'pstat', 'hgb'], [['M', 'F'], ['0', '1'], [12.100000381469727, 14.800000190734863]]]",0.9387396836717627
"[['sex'], [['M']]]",0.9356047191378228
"[['sex', 'pstat'], [['M'], ['0', '1']]]",0.9356047191378228
"[['sex', 'age'], [['F', 'M'], [58, 74]]]",0.9235450448320263
"[['age'], [[55, 72]]]",0.914602627086331
"[['pstat', 'age'], [['0', '1'], [71, 80]]]",0.8817241732695212
"[['sex', 'pstat', 'age'], [['M', 'F'], ['0', '1'], [71, 80]]]",0.8817241732695212
