Rule_Obj,Rule_Score
"[['pt', 'cell-type'], [['yes', 'no'], ['adeno', 'small']]]",0.9415291077006068
"[['treat', 'cell-type'], [['test', 'standard'], ['adeno', 'small']]]",0.9415291077006068
"[['cell-type'], [['adeno', 'small']]]",0.9415291077006068
"[['cell-type', 'karno'], [['aquamous', 'small', 'large'], [50, 85]]]",0.9392871070024983
"[['pt', 'treat', 'cell-type'], [['no'], ['standard', 'test'], ['adeno', 'small']]]",0.9191048624859309
"[['pt', 'karno'], [['no', 'yes'], [60, 99]]]",0.9176304427273186
"[['karno', 'treat', 'cell-type'], [[60, 99], ['standard', 'test'], ['large', 'small', 'aquamous', 'adeno']]]",0.9176304427273186
"[['pt', 'cell-type', 'karno'], [['no', 'yes'], ['small', 'adeno', 'large', 'aquamous'], [70, 99]]]",0.9176304427273186
"[['karno'], [[60, 99]]]",0.9176304427273186
"[['karno', 'treat'], [[60, 99], ['standard', 'test']]]",0.9176304427273186
