experiment,response,config,dataset_name,dataset_path,time_col,event_col,execution,response_file,y_raw,population,dataset_level,generations,rate_policy,y,response_transform
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,0,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_0_complement_Info.csv,25.721758127212524,50,low,500,adaptive,3.247337253456729,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,10,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_10_complement_Info.csv,24.551039695739743,50,low,500,adaptive,3.200754203475753,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,11,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_11_complement_Info.csv,28.05716109275818,50,low,500,adaptive,3.3342438968103973,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,12,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_12_complement_Info.csv,15.786007404327393,50,low,500,adaptive,2.759123940330025,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,13,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_13_complement_Info.csv,34.14424109458923,50,low,500,adaptive,3.53059393620586,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,14,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_14_complement_Info.csv,31.014976263046265,50,low,500,adaptive,3.434470193086928,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,1,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_1_complement_Info.csv,29.498576402664185,50,low,500,adaptive,3.3843420046445343,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,2,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_2_complement_Info.csv,23.41221117973328,50,low,500,adaptive,3.153257731537502,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_3_complement_Info.csv,22.558439254760746,50,low,500,adaptive,3.1161092422668504,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_4_complement_Info.csv,22.640218019485477,50,low,500,adaptive,3.1197278831245465,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,5,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_5_complement_Info.csv,16.74304509162903,50,low,500,adaptive,2.8179829536338348,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,6,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_6_complement_Info.csv,25.60800552368164,50,low,500,adaptive,3.242905018368946,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,7,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_7_complement_Info.csv,21.908047914505005,50,low,500,adaptive,3.0868540539970915,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,8,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_8_complement_Info.csv,9.253180027008057,50,low,500,adaptive,2.2249672791467994,log
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,9,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_9_complement_Info.csv,40.38407039642334,50,low,500,adaptive,3.6984354100933214,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,0,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_0_complement_Info.csv,327.3577170372009,1000,low,500,adaptive,5.791053508878976,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,10,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_10_complement_Info.csv,471.6670341491699,1000,low,500,adaptive,6.156273300523773,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,11,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_11_complement_Info.csv,447.7629585266113,1000,low,500,adaptive,6.104263981954994,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,12,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_12_complement_Info.csv,430.2167773246765,1000,low,500,adaptive,6.064289214968303,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,13,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_13_complement_Info.csv,372.7814593315125,1000,low,500,adaptive,5.920992348021872,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,14,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_14_complement_Info.csv,487.1592602729797,1000,low,500,adaptive,6.188591092769977,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,1,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_1_complement_Info.csv,330.2920336723328,1000,low,500,adaptive,5.799977213644893,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,2,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_2_complement_Info.csv,273.54050946235657,1000,low,500,adaptive,5.611449725930125,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_3_complement_Info.csv,353.0225732326508,1000,low,500,adaptive,5.86653200172349,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_4_complement_Info.csv,518.5823934078217,1000,low,500,adaptive,6.251098922292649,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,5,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_5_complement_Info.csv,384.37495493888855,1000,low,500,adaptive,5.951618521328616,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,6,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_6_complement_Info.csv,457.873309135437,1000,low,500,adaptive,6.126592528240262,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,7,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_7_complement_Info.csv,535.7147343158722,1000,low,500,adaptive,6.283601807298421,log
