check_type,assumption,statistic,p_value,passed,notes
model_assumption,balanced_2kr_design,1.0,,True,The classroom 2^k r formulas assume the same number of replications in every treatment.
model_assumption,full_factorial_reconstructs_treatment_means,5.551115123125783e-17,,True,"The complete 2^k model uses I, main effects, and interactions as additive coded terms on the selected response scale."
interpretation_diagnostic,main_effects_only_additivity_screen,,0.15031633605201708,True,Significant interactions do not invalidate the complete factorial model; they mean main effects should not be interpreted alone.
model_assumption,normal_residuals,0.9713142410000785,0.16915449188929055,True,Uses pure experimental error y_ij - y_hat_full_factorial. Also inspect qq_plot.png.
model_assumption,homoscedastic_residuals_breusch_pagan,9.408703968734056,0.024322696041841008,False,Manual BP test using squared full-factorial residuals and coded factorial terms.
model_assumption,homoscedastic_response_by_treatment_levene,3.0099733296560354,0.03765626366101543,False,Compares response variance across treatment cells.
visual_diagnostic,residuals_are_cloud_over_execution_order,-0.011435961320618346,,,Visual check: inspect residuals_by_execution.png for trends or blocks.
visual_diagnostic,residuals_are_cloud_over_fitted,3.0808264368094177e-16,,,Primary visual check for homoscedasticity: inspect residuals_vs_fitted.png.
supplementary_diagnostic,residuals_are_cloud_over_observed_response,0.0791645517089498,,,"Supplementary plot only: observed response equals fitted plus residual, so residuals_vs_response.png can show a mechanical pattern."
protocol_assumption,independent_experiments_protocol,,,,"This cannot be proven from the CSVs; it depends on randomized, fresh executions without cache/warm starts."
