experiment,response,config,dataset_name,dataset_path,time_col,event_col,execution,response_file,y_raw,population,generations,rate_policy,alpha,y,response_transform,transform_epsilon
topk_quality,mean_rule_score,-1_-1,cancer,datasets\files\cancer.parquet,time,status,0,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_-1\cancer\complement\cancer_0_complement_DetailedRules.csv,0.8935624941937321,50,500,adaptive,0.1,2.12765826231763,logit,1e-06
topk_quality,mean_rule_score,-1_-1,cancer,datasets\files\cancer.parquet,time,status,10,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_-1\cancer\complement\cancer_10_complement_DetailedRules.csv,0.8930954028877904,50,500,adaptive,0.1,2.1227565883486115,logit,1e-06
topk_quality,mean_rule_score,-1_-1,cancer,datasets\files\cancer.parquet,time,status,11,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_-1\cancer\complement\cancer_11_complement_DetailedRules.csv,0.8860856879500307,50,500,adaptive,0.1,2.051367142110032,logit,1e-06
topk_quality,mean_rule_score,-1_-1,cancer,datasets\files\cancer.parquet,time,status,12,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_-1\cancer\complement\cancer_12_complement_DetailedRules.csv,0.8876701106955519,50,500,adaptive,0.1,2.0671601948022023,logit,1e-06
topk_quality,mean_rule_score,-1_-1,cancer,datasets\files\cancer.parquet,time,status,13,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_-1\cancer\complement\cancer_13_complement_DetailedRules.csv,0.8910524778875756,50,500,adaptive,0.1,2.1015370056920624,logit,1e-06
topk_quality,mean_rule_score,-1_-1,cancer,datasets\files\cancer.parquet,time,status,14,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_-1\cancer\complement\cancer_14_complement_DetailedRules.csv,0.8715083871507586,50,500,adaptive,0.1,1.9143618561747526,logit,1e-06
topk_quality,mean_rule_score,-1_-1,cancer,datasets\files\cancer.parquet,time,status,1,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_-1\cancer\complement\cancer_1_complement_DetailedRules.csv,0.8710481215015153,50,500,adaptive,0.1,1.910257924021585,logit,1e-06
topk_quality,mean_rule_score,-1_-1,cancer,datasets\files\cancer.parquet,time,status,2,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_-1\cancer\complement\cancer_2_complement_DetailedRules.csv,0.8911521183470539,50,500,adaptive,0.1,2.102563814227604,logit,1e-06
topk_quality,mean_rule_score,-1_-1,cancer,datasets\files\cancer.parquet,time,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_-1\cancer\complement\cancer_3_complement_DetailedRules.csv,0.8863551622567281,50,500,adaptive,0.1,2.0540396037585436,logit,1e-06
topk_quality,mean_rule_score,-1_-1,cancer,datasets\files\cancer.parquet,time,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_-1\cancer\complement\cancer_4_complement_DetailedRules.csv,0.8711083305093291,50,500,adaptive,0.1,1.910794063819789,logit,1e-06
