case_id,comparacao,alpha,n_total,n_covered,relative_support,survdiff_called,chi2_stat,p_value,fitness,rule_json
one_numeric_attr,population,0.5,2000,856,0.428,True,97.67266752536263,0.0,0.6542170893518451,"[[0], [[60.0, 90.0]]]"
one_categorical_attr,population,0.5,2000,601,0.3005,True,111.36805645646464,0.0,0.5481788029466298,"[[4], [[""III"", ""IV""]]]"
four_attrs_mixed,population,0.5,2000,220,0.11,True,2.1525598041934493,0.14233241127982166,0.28445615866336826,"[[0, 1, 3, 5], [[40.0, 75.0], [-2.0, 2.0], [""F""], [""A""]]]"
near_5pct_support,population,0.5,2000,100,0.05,True,28.171616598916955,1.1102075936353373e-07,0.2236067729249825,"[[0], [[86.7045727939896, 90.95953364569314]]]"
near_55pct_support,population,0.5,2000,1100,0.55,True,101.35347616437139,0.0,0.7416198487095663,"[[0], [[51.72959415501144, 90.95953364569314]]]"
empty_group_unknown_category,population,0.5,2000,0,0.0,False,,,0.0,"[[4], [[""STAGE_NAO_EXISTE""]]]"
full_population_100pct,population,0.5,2000,2000,1.0,False,,,0.0,"[[0], [[0.0, 90.95953364569314]]]"
high_censoring_subgroup,population,0.5,2000,1035,0.5175,True,21.072644613763963,4.421959889922e-06,0.7193715474507126,"[[5], [[""B""]]]"
one_numeric_attr,complement,0.5,2000,856,0.428,True,97.67266752536263,0.0,0.6542170893518451,"[[0], [[60.0, 90.0]]]"
one_categorical_attr,complement,0.5,2000,601,0.3005,True,111.36805645646464,0.0,0.5481788029466298,"[[4], [[""III"", ""IV""]]]"
four_attrs_mixed,complement,0.5,2000,220,0.11,True,2.1525598041934493,0.14233241127982166,0.28445615866336826,"[[0, 1, 3, 5], [[40.0, 75.0], [-2.0, 2.0], [""F""], [""A""]]]"
near_5pct_support,complement,0.5,2000,100,0.05,True,28.171616598916955,1.1102075936353373e-07,0.2236067729249825,"[[0], [[86.7045727939896, 90.95953364569314]]]"
near_55pct_support,complement,0.5,2000,1100,0.55,True,101.35347616437139,0.0,0.7416198487095663,"[[0], [[51.72959415501144, 90.95953364569314]]]"
empty_group_unknown_category,complement,0.5,2000,0,0.0,False,,,0.0,"[[4], [[""STAGE_NAO_EXISTE""]]]"
full_population_100pct,complement,0.5,2000,2000,1.0,False,,,0.0,"[[0], [[0.0, 90.95953364569314]]]"
high_censoring_subgroup,complement,0.5,2000,1035,0.5175,True,21.072644613763963,4.421959889922e-06,0.7193715474507126,"[[5], [[""B""]]]"
