Rule_Obj,Rule_Score
"[['X201288_at', 'X210314_x_at'], [[11.86748811, 13.18130379], [8.36042273, 10.43110937]]]",0.9408555648172906
"[['X211779_x_at', 'X202418_at'], [[9.464865123, 11.17861362], [9.449665215, 10.8177848]]]",0.9408458030516201
"[['X211762_s_at'], [[10.77002355, 12.56799468]]]",0.940734574463787
"[['X202418_at'], [[9.449665215, 10.80331034]]]",0.9401008078403592
"[['er', 'X202418_at'], [['positive', 'negative'], [9.721139507, 10.80331034]]]",0.9401008078403592
"[['X211762_s_at', 'er'], [[10.80766574, 12.55092906], ['positive', 'negative']]]",0.9385779215968805
"[['er', 'X202418_at', 'X201368_at'], [['positive'], [9.449665215, 11.07901801], [10.94480101, 13.69671277]]]",0.9383288723362764
"[['X201068_s_at', 'X202418_at'], [[11.04944249, 12.79103484], [9.920189318, 10.84589957]]]",0.9377507498700021
"[['er', 'X202418_at', 'X211779_x_at'], [['positive', 'negative'], [9.721139507, 10.80331034], [9.64706089, 11.17861362]]]",0.9377406018616825
"[['X201368_at', 'X209500_x_at'], [[11.32588487, 13.69671277], [8.93094014, 10.26396143]]]",0.9371409013118586
