Rule_Obj,Rule_Score
"[['X211762_s_at', 'er'], [[10.77002355, 12.58173585], ['positive', 'negative']]]",0.940734574463787
"[['X211762_s_at'], [[10.77002355, 12.58173585]]]",0.940734574463787
"[['X203306_s_at', 'X211762_s_at'], [[8.5290478, 10.35154502], [10.52638285, 12.4745226]]]",0.940298946419248
"[['er', 'X203306_s_at'], [['positive', 'negative'], [8.5290478, 10.02427484]]]",0.9400400844874462
"[['X211762_s_at', 'X202418_at'], [[9.805377256, 13.26745808], [10.63420884, 11.67262209]]]",0.9396158038789829
"[['X218478_s_at', 'X209835_x_at'], [[9.279103847, 10.60964108], [10.10056347, 11.29601283]]]",0.9393578448342973
"[['X218478_s_at', 'X209835_x_at', 'X201068_s_at', 'er'], [[9.279103847, 10.49887696], [10.04312672, 11.71541785], [11.48354575, 12.57291911], ['positive', 'negative']]]",0.9392154323822818
"[['X211762_s_at', 'X217815_at'], [[10.69791056, 12.84274083], [9.994698149, 11.60462372]]]",0.9387932284341831
"[['X218478_s_at', 'X202418_at'], [[9.279103847, 10.49887696], [9.721139507, 10.89458064]]]",0.9384517669392097
"[['X209835_x_at', 'X202418_at'], [[9.81650792, 12.0549061], [9.721139507, 10.89458064]]]",0.9382894182243605
